,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1下列属于孙国华作品的是：1.0 分
2,A、
3,《法的一般理论》
4,B、
5,《论法的和谐价值》
6,C、
7,《科学发展观和依法执政》
8,D、
9,以上都有
10,我的答案：D
11,2关怀老师原名1.0 分
12,A、
13,关家驹
14,B、
15,关怀
16,C、
17,关佳鞠
18,D、
19,关心
20,我的答案：A
21,3《法学辞典》中收录了关怀老师对于哪个部门法的定义？1.0 分
22,A、
23,经济法
24,B、
25,刑法
26,C、
27,民法
28,D、
29,劳动法
30,我的答案：D
31,4人民大学宣布复校是在：1.0 分
32,A、
33,1981年
34,B、
35,1980年
36,C、
37,1979年
38,D、
39,1978年
40,我的答案：D
41,5呼和浩特在民国时期称为1.0 分
42,A、
43,察哈尔
44,B、
45,热河
46,C、
47,归绥
48,D、
49,晋中
50,我的答案：C
51,6以下哪一部法律的起草赵中孚老师没有参加过？1.0 分
52,A、
53,企业破产法
54,B、
55,民法通则
56,C、
57,物权法
58,D、
59,妇女权益保障法
60,我的答案：C
61,7《违反劳动合同法的行为不可等闲视之》的作者是1.0 分
62,A、
63,郑祥生
64,B、
65,周孝正
66,C、
67,关怀
68,D、
69,吕世伦
70,我的答案：C
71,8中国政法大学三部的主任是：1.0 分
72,A、
73,陈守一
74,B、
75,冀贡泉
76,C、
77,冀朝鼎
78,D、
79,王汝琪
80,我的答案：B
81,9刚成立的中国政法大学分为三部，其中一部是：1.0 分
82,A、
83,培训司法干部
84,B、
85,对高年级学生短期培训
86,C、
87,专修科
88,D、
89,对刚入学低年级学生的教育
90,我的答案：A
91,10人民大学法学院最初是以那个国家教授为核心建立的？1.0 分
92,A、
93,日本法学家
94,B、
95,美国法学家
96,C、
97,英国法学家
98,D、
99,苏联法学家
100,我的答案：D
101,111969年吕世伦老师在五七干校从事的是1.0 分
102,A、
103,养牛
104,B、
105,种地
106,C、
107,养猪
108,D、
109,喂马
110,我的答案：C
111,12关怀老师在甘肃清水读了多久的书：1.0 分
112,A、
113,5年
114,B、
115,6年
116,C、
117,7年
118,D、
119,8年
120,我的答案：D
121,13四书不包括：1.0 分
122,A、
123,《大学》
124,B、
125,《中庸》
126,C、
127,《论语》
128,D、
129,《春秋》
130,我的答案：D
131,14人民大学宣布复校是在：1.0 分
132,A、
133,1981年
134,B、
135,1980年
136,C、
137,1979年
138,D、
139,1978年
140,我的答案：D
141,15关怀老师是关羽的第多少代传人？1.0 分
142,A、
143,62.0
144,B、
145,63.0
146,C、
147,64.0
148,D、
149,65.0
150,我的答案：C
151,16赵中孚老师对于教学的自我要求，不正确的是：1.0 分
152,A、
153,严格要求自己、忠于职守、做出榜样
154,B、
155,对待学生循循善诱
156,C、
157,教育即是教书
158,D、
159,从不迟到
160,我的答案：C
161,17孙国华老师主要学术研究领域是1.0 分
162,A、
163,法理学
164,B、
165,刑法学
166,C、
167,民法学
168,D、
169,经济法学
170,我的答案：A
171,18宪法是哪一年颁布的？1.0 分
172,A、
173,1954年
174,B、
175,1955年
176,C、
177,1956年
178,D、
179,1957年
180,我的答案：A
181,19同一用人单位与同一劳动者可以约定 试用期。1.0 分
182,A、
183,1次
184,B、
185,2次
186,C、
187,3次
188,D、
189,4次
190,我的答案：A
191,20新修订的《工会法》增加的内容是：1.0 分
192,A、
193,教育责任
194,B、
195,维护手段
196,C、
197,法律义务
198,D、
199,法律责任
200,我的答案：D
201,21关怀老师出版的书目不包括：1.0 分
202,A、
203,《经济法》
204,B、
205,《经济法文选》
206,C、
207,《经济立法与经济司法》
208,D、
209,《民法基础》
210,我的答案：D
211,22当前使用的工会法是哪年修订的？1.0 分
212,A、
213,1992年
214,B、
215,2001年
216,C、
217,1952年
218,D、
219,2002年
220,我的答案：B
221,23巫昌祯是以哪种法学著名的？1.0 分
222,A、
223,劳工法
224,B、
225,宪法
226,C、
227,婚姻法
228,D、
229,行政法
230,我的答案：C
231,24吕世伦老师初中时期文章的主要宣传的内容不包括1.0 分
232,A、
233,中苏友好
234,B、
235,人民政府
236,C、
237,解放战争
238,D、
239,抗日战争
240,我的答案：D
241,25许崇德老师中学毕业于：1.0 分
242,A、
243,田家炳中学
244,B、
245,浙江嘉兴中学
246,C、
247,安徽中学
248,D、
249,金陵中学
250,我的答案：B
251,26哪一年的工会法确认了工会的四项职能1.0 分
252,A、
253,1989.0
254,B、
255,1990.0
256,C、
257,1991.0
258,D、
259,1992.0
260,我的答案：D
261,27珍珠港事变发生在：1.0 分
262,A、
263,1940年
264,B、
265,1941年
266,C、
267,1942年
268,D、
269,1943年
270,我的答案：B
271,28民法教研室一成立，人大要求一切以什么为榜样：1.0 分
272,A、
273,美国
274,B、
275,日本
276,C、
277,苏联
278,D、
279,俄国
280,我的答案：C
281,291970年人民大学解散，吕世伦老师被派遣到1.0 分
282,A、
283,北京市法院
284,B、
285,北京医学院
286,C、
287,北京大学
288,D、
289,政法大学
290,我的答案：B
291,30吕世伦老师在人民日报上批判西方自然法学是在1.0 分
292,A、
293,1963年
294,B、
295,1964年
296,C、
297,1965年
298,D、
299,1966年
300,我的答案：A
301,311997年关怀老师在台湾政治大学讲授的什么内容？1.0 分
302,A、
303,苏维埃劳动法
304,B、
305,台湾劳动法
306,C、
307,大陆劳动法
308,D、
309,经济法
310,我的答案：C
311,32劳动法是哪一年开始起草的？1.0 分
312,A、
313,1955年
314,B、
315,1956年
316,C、
317,1957年
318,D、
319,1958年
320,我的答案：B
321,33太平洋战争发生在：1.0 分
322,A、
323,1942年
324,B、
325,1941年
326,C、
327,1940年
328,D、
329,1939年
330,我的答案：B
331,34吕世伦老师的祖母认为他们是什么人1.0 分
332,A、
333,日本人
334,B、
335,中国人
336,C、
337,大清人
338,D、
339,伪满洲人
340,我的答案：C
341,35许崇德是下列哪个学位博士点的建立人？1.0 分
342,A、
343,婚姻法
344,B、
345,劳动法
346,C、
347,法理学
348,D、
349,宪法和行政法
350,我的答案：D
351,36关怀老师自哪一年起在人民讲授劳动法？1.0 分
352,A、
353,1949年
354,B、
355,1950年
356,C、
357,1951年
358,D、
359,1952年
360,我的答案：B
361,37关怀老师平生发表的第一首诗发表在1.0 分
362,A、
363,西京日报
364,B、
365,人民日报
366,C、
367,光明日报
368,D、
369,半岛都市报
370,我的答案：A
371,38中国人民大学于哪一年复校？1.0 分
372,A、
373,1976.0
374,B、
375,1977.0
376,C、
377,1978.0
378,D、
379,1979.0
380,我的答案：C
381,39同一用人单位与同一劳动者可以约定 试用期。1.0 分
382,A、
383,1次
384,B、
385,2次
386,C、
387,3次
388,D、
389,4次
390,我的答案：A
391,40中共第一个婚姻法教研室是在哪个大学1.0 分
392,A、
393,中国人民大学
394,B、
395,北京大学
396,C、
397,北京师范大学
398,D、
399,中国政法大学
400,我的答案：D
401,41社会主义民主和法治问题出版于：1.0 分
402,A、
403,1980年
404,B、
405,1981年
406,C、
407,1982年
408,D、
409,1983年
410,我的答案：A
411,42除劳动法外，关怀老师还在哪个法学领域有突出贡献？1.0 分
412,A、
413,经济法
414,B、
415,刑法
416,C、
417,民法
418,D、
419,行政法
420,我的答案：A
421,43新中国第一任大法官是：1.0 分
422,A、
423,许崇德
424,B、
425,赵中孚
426,C、
427,张志让
428,D、
429,孙国华
430,我的答案：C
431,44马克思的优秀文章都是发表在：1.0 分
432,A、
433,《泰晤士报》
434,B、
435,《华盛顿邮报》
436,C、
437,《莱茵报》
438,D、
439,《洛杉矶时报》
440,我的答案：C
441,45最早发展起来的社会调整是：1.0 分
442,A、
443,规范调整
444,B、
445,个别调整
446,C、
447,利益调整
448,D、
449,心理调整
450,我的答案：B
451,46吕世伦老师尚未出版的著作是1.0 分
452,A、
453,西方法律思想史
454,B、
455,马列选读
456,C、
457,毛泽东、邓小平法律思想史
458,D、
459,列宁法律思想史
460,我的答案：C
