,题目
0,
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,法律关系的要素不包括？
5,1.0 分
6,窗体顶端
7,A、
8,主体
9,B、
10,客体
11,C、
12,适用
13,D、
14,内容
15,窗体底端
16,正确答案： C 我的答案：C
17,2
18,法律作用的直接对象是？
19,1.0 分
20,窗体顶端
21,A、
22,社会关系参加者的意志行为
23,B、
24,社会民众
25,C、
26,违反法律的人
27,D、
28,立法者
29,窗体底端
30,正确答案： A 我的答案：A
31,3
32,法和国家一般关系是
33,1.0 分
34,窗体顶端
35,A、
36,法高于国家
37,B、
38,国家权力大于法
39,C、
40,二者相互依存，互相支持
41,D、
42,二者相互独立，互不依赖
43,窗体底端
44,正确答案： C 我的答案：C
45,4
46,法律虚无主义的主要观点是？
47,1.0 分
48,窗体顶端
49,A、
50,法律是无形的，很难掌握。
51,B、
52,法律是有形的，但只能被统治阶级掌握
53,C、
54,法律是没有用途的。
55,D、
56,法律是理想的产物
57,窗体底端
58,正确答案： C 我的答案：C
59,5
60,下列不属于法的本质属性的有
61,1.0 分
62,窗体顶端
63,A、
64,国家强制性
65,B、
66,权威性
67,C、
68,人民性
69,D、
70,规范性
71,窗体底端
72,正确答案： C 我的答案：C
73,6
74,法系划分的标准是
75,1.0 分
76,窗体顶端
77,A、
78,法的历史传统
79,B、
80,法的历史类型
81,C、
82,法的阶级本质
83,D、
84,法的立法体制
85,窗体底端
86,正确答案： A 我的答案：A
87,7
88,在哪一法系中法学家作用巨大，也叫做法学家法？
89,0.0 分
90,窗体顶端
91,A、
92,英美法系
93,B、
94,大陆法系
95,C、
96,社会主义法系
97,D、
98,阿拉伯法系
99,窗体底端
100,正确答案： B 我的答案：A
101,8
102,婚姻登记机关审查的因素不包括？
103,0.0 分
104,窗体顶端
105,A、
106,年龄
107,B、
108,血亲关系
109,C、
110,疾病
111,D、
112,子女
113,窗体底端
114,正确答案： D 我的答案：C
115,9
116,在柏拉图《理想国》中，与国王相匹配的金属是：
117,1.0 分
118,窗体顶端
119,A、
120,白银
121,B、
122,货币
123,C、
124,青铜
125,D、
126,黄金
127,窗体底端
128,正确答案： D 我的答案：D
129,10
130,美国哪一个案件是著名的废除种族歧视案件？
131,0.0 分
132,窗体顶端
133,A、
134,马伯里诉麦迪逊案
135,B、
136,布朗案
137,C、
138,弗莱彻诉佩克案
139,D、
140,米兰达案
141,窗体底端
142,正确答案： B 我的答案：D
143,11
144,公民在法律面前一律平等是指
145,1.0 分
146,窗体顶端
147,A、
148,立法上平等
149,B、
150,守法上平等
151,C、
152,司法上平等
153,D、
154,法律的实施平等
155,窗体底端
156,正确答案： D 我的答案：D
157,12
158,当代中国法律体现了
159,1.0 分
160,窗体顶端
161,A、
162,统治阶级的意志
163,B、
164,中国人的意志
165,C、
166,全国人的意志
167,D、
168,全国人民的意志
169,窗体底端
