,题目
0,    马克思主义基本原理概论（2015版）
1,成绩： 99.0分
2, 
3,一、 单选题（题数：50，共 50.0 分）
4,1
5,不属于封建社会基础的是？
6, 
7,    A、
8,    铁器
9,    B、
10,    农村自然经济
11,    C、
12,    手工业
13,    D、
14,    银行家
15, 
16,我的答案：D
17,2
18,唯物辩证法包括主观辩证法与什么辩证法？
19, 
20,    A、
21,    科学辩证法
22,    B、
23,    相对辩证法
24,    C、
25,    唯心辩证法
26,    D、
27,    客观辩证法
28, 
29,我的答案：D
30,3
31,关于矛盾的同一性和斗争性说法不正确的是？
32, 
33,    A、
34,    事物存在和发展的前提
35,    B、
36,    相互吸引有利于自己的因素在相互作用中得到各自发展
37,    C、
38,    二者只能有一方面存在
39,    D、
40,    规定着事物转化的可能和发展趋势
41, 
42,我的答案：C
43,4
44,社会主义在俄国建立之后，首先进入了（）。
45, 
46,    A、
47,    新经济政策时期
48,    B、
49,    战时共产主义时期
50,    C、
51,    社会主义改造时期
52,    D、
53,    巩固苏维埃政权时期
54, 
55,我的答案：D
56,5
57,圣西门的事业制度的最高权力机构是（）。
58, 
59,    A、
60,    最高行政委员会和最高教育委员会
61,    B、
62,    最高立法委员会和最高教育委员会
63,    C、
64,    最高行政委员会和最高科学委员会
65,    D、
66,    最高立法委员会和最高科学委员会
67, 
68,我的答案：C
69,6
70,检验评价结果的标准是什么？
71, 
72,    A、
73,    创新
74,    B、
75,    实践
76,    C、
77,    思考
78,    D、
79,    分析
80, 
81,我的答案：B
82,7
83,美国制定宪法的基本原则是什么？
84, 
85,    A、
86,    顶层设计
87,    B、
88,    分权制衡
89,    C、
90,    底层设计
91,    D、
92,    互相监督
93, 
94,我的答案：B
95,8
96,商品资本通过什么方式来实现商品的价值满足人们的需要？
97, 
98,    A、
99,    买卖
100,    B、
101,    生产
102,    C、
103,    流通
104,    D、
105,    发展
106, 
107,我的答案：A
108,9
109,关于社会主义变革不正确的是？
110, 
111,    A、
112,    社会主义制度的自我完善、自我发展
113,    B、
114,    是刻不容缓的
115,    C、
116,    为了解放和发展生产力，促进社会全面进步
117,    D、
118,    改革的直接对象是束缚生产力发展的旧体制
119, 
120,我的答案：B
121,10
122,马克思主义政党的最高纲领是什么？
123, 
124,    A、
125,    在全宇宙实现共产主义
126,    B、
127,    在全世界实现资本主义
128,    C、
129,    在全世界实现共产主义
130,    D、
131,    在全世界实现社会主义
132, 
133,我的答案：C
134,11
135,雇佣工人的劳动可以分为必要劳动和哪种劳动？
136, 
137,    A、
138,    多余劳动
139,    B、
140,    剩余劳动
141,    C、
142,    富裕劳动
143,    D、
144,    充分劳动
145, 
146,我的答案：B
147,12
148,价值量是由生产商所耗费的什么决定的？
149, 
150,    A、
151,    生产力
152,    B、
153,    附加值
154,    C、
155,    劳动力
156,    D、
157,    劳动量
158, 
159,我的答案：D
160,13
161,继承前人的理论，必须怀有什么精神才能有创新？
162, 
163,    A、
164,    思考
165,    B、
166,    感恩
167,    C、
168,    批判
169,    D、
170,    学习
171, 
172,我的答案：C
173,14
174,思维与存在的关系问题属于哪个学科的基本问题？
175, 
