,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,漫画色彩运用的基本原理不包含下列哪一项？（）
4,1.0 分
5,窗体顶端
6,A、
7,用色大胆
8,B、
9,黑白灰的优势
10,C、
11,用色主次搭配
12,D、
13,不经常用黑色
14,窗体底端
15,我的答案：D
16,2
17,“牛鼻子”系列漫画使得“牛鼻子”的形象深入人心，其创作者是（）。
18,1.0 分
19,窗体顶端
20,A、
21,黄尧
22,B、
23,张光宇
24,C、
25,朋弟
26,D、
27,叶浅予
28,窗体底端
29,我的答案：A
30,3
31,（）创下了台湾漫画连载时间之最。
32,1.0 分
33,窗体顶端
34,A、
35,《醋溜族》
36,B、
37,《三毛流浪记》
38,C、
39,《小海豚找妈妈》
40,D、
41,《龟兔赛跑》
42,窗体底端
43,我的答案：A
44,4
45,1909年的《时事报》出版画册《戊申全年画报》的第20册，即（）是我国最早的一本漫画专辑。
46,1.0 分
47,窗体顶端
48,A、
49,义和团宣传画
50,B、
51,《寓意画》
52,C、
53,年画
54,D、
55,《东亚时局形势图》
56,窗体底端
57,我的答案：B
58,5
59,一些世界优秀的报纸设立了漫画专版，其中不包括（）。
60,1.0 分
61,窗体顶端
62,A、
63,《洛杉矶时报》
64,B、
65,《联合早报》
66,C、
67,《新海峡时报》
68,D、
69,《人民日报》
70,窗体底端
71,我的答案：D
72,6
73,下列对漫画中应用语言气泡的说法中，正确的是（）。
74,1.0 分
75,窗体顶端
76,A、
77,能够增加吸引力与读者的好奇心
78,B、
79,会遮挡画面，破坏画面美
80,C、
81,会使得漫画不伦不类
82,D、
83,会成为漫画的累赘
84,窗体底端
85,我的答案：A
86,7
87,漫画与油画、国画相比非常有难度，其难点在于（）。
88,1.0 分
89,窗体顶端
90,A、
91,构思
92,B、
93,创作形式
94,C、
95,构图
96,D、
97,不能重复
98,窗体底端
99,我的答案：D
100,8
101,下列事件与普利策无关的是（）。
102,1.0 分
103,窗体顶端
104,A、
105,1983年买下了《世界报》
106,B、
107,美国现代报业的奠基人
108,C、
109,开辟了“黄孩子”的漫画专栏
110,D、
111,《纽约新闻报》“黄孩子”专栏
112,窗体底端
113,我的答案：D
114,9
115,下列漫画形象是由女漫画家创作完成的是（）。
116,1.0 分
117,窗体顶端
118,A、
119,铁壁阿童木
120,B、
121,樱桃小丸子
122,C、
123,蜡笔小新
124,D、
125,史努比
126,窗体底端
127,我的答案：B
128,10
129,评议漫画的哪一种特性，说明评议漫画反应的问题一定要与大多数人的思想与生活相关？（）
130,1.0 分
131,窗体顶端
132,A、
133,时效性
134,B、
135,评议性
136,C、
137,群众性
138,D、
139,艺术性
140,窗体底端
141,我的答案：C
142,11
143,下列属于多人合作创作的动漫形象的是（）。
144,1.0 分
145,窗体顶端
146,A、
147,史努比
148,B、
149,大力水手
150,C、
151,蓝精灵
152,D、
153,机器猫
154,窗体底端
155,我的答案：D
156,12
157,科索布金的幽默漫画的特点，下面叙述正确的是（）。
158,1.0 分
159,窗体顶端
160,A、
161,不画人的眼仁
162,B、
163,黑色幽默
164,C、
165,改变事物的特质而进行创作
166,D、
167,以上都不正确
168,窗体底端
169,我的答案：C
170,13
171,台湾漫画发展迅速的原因中不包括（）。
172,1.0 分
173,窗体顶端
174,A、
175,漫画受到台湾民众的喜爱
176,B、
177,漫画连载成为习惯，连载频率高
178,C、
179,漫画中描写了许多国外趣事
180,D、
181,漫画连载使得作品与作者同样出名
182,窗体底端
183,我的答案：C
184,14
185,一般来讲，表现漫画动态的方式不包括下列哪一项？（）
186,1.0 分
187,窗体顶端
188,A、
189,气流线
190,B、
191,单面曝光
192,C、
193,瞬间图像
194,D、
195,模糊手法
196,窗体底端
197,我的答案：B
198,15
199,（）创造了成人绘本的新型式。
200,1.0 分
201,窗体顶端
202,A、
203,《醋溜族》
204,B、
205,《小海豚找妈妈》
206,C、
207,《向左走，向右走》
208,D、
209,《龟兔赛跑》
210,窗体底端
211,我的答案：C
212,16
213,被称为宝岛台湾的“漫画四大才子”之首的是（）。
214,1.0 分
215,窗体顶端
216,A、
217,鸡笼生
218,B、
219,敖幼祥
220,C、
221,萧言中
222,D、
223,蔡志忠
