,题目
0,1
1,人体内缺少（）会造成糖尿病。
2,1.0 分
3,窗体顶端
4,A、
5,锌
6,B、
7,铬
8,C、
9,硒
10,D、
11,钾
12,窗体底端
13,我的答案：B
14,2
15,下面人体中的元素属于常量元素的是（）。
16,0.0 分
17,窗体顶端
18,A、
19,钾
20,B、
21,硫
22,C、
23,铁
24,D、
25,钠
26,窗体底端
27,我的答案：A
28,3
29,2003年盘点的中国感染传染病中，（）是死亡之首。
30,1.0 分
31,窗体顶端
32,A、
33,艾滋病
34,B、
35,乙肝病毒
36,C、
37,SARS病毒
38,D、
39,狂犬病病毒
40,窗体底端
41,我的答案：D
42,4
43,酶的化学本质是（）。
44,1.0 分
45,窗体顶端
46,A、
47,蛋白质
48,B、
49,催化活性的RNA和DNA
50,C、
51,金属离子和小分子
52,D、
53,蛋白质、催化活性的RNA和DNA
54,窗体底端
55,我的答案：D
56,5
57,下面不属于DNA特点的是（）。
58,1.0 分
59,窗体顶端
60,A、
61,通过脱氧核糖形成
62,B、
63,有尿嘧啶
64,C、
65,有胸腺嘧啶
66,D、
67,双螺旋结构
68,窗体底端
69,我的答案：B
70,6
71,植物界中进化水平最高的是（）。
72,1.0 分
73,窗体顶端
74,A、
75,苔藓植物
76,B、
77,被子植物
78,C、
79,蕨类植物
80,D、
81,裸子植物
82,窗体底端
83,我的答案：B
84,7
85,非特异性免疫反应的第二道防线不包含（）。
86,1.0 分
87,窗体顶端
88,A、
89,巨噬细胞
90,B、
91,吞噬细胞
92,C、
93,系统黏膜
94,D、
95,干扰素
96,窗体底端
97,我的答案：C
98,8
99,下面关于病毒的说法不正确的是（）。
100,1.0 分
101,窗体顶端
102,A、
103,比细菌小得多
104,B、
105,具有细胞核
106,C、
107,不能独立生存
108,D、
109,包含蛋白质和核酸
110,窗体底端
111,我的答案：B
112,9
113,下面不属于种群之间互利共生关系的是（）。
114,0.0 分
115,窗体顶端
116,A、
117,白蚁消化道中的原生生物帮助白蚁消化木屑
118,B、
119,蚂蚁为蚜虫放哨
120,C、
121,原生动物鞭毛虫促进牛的消化
122,D、
123,牛尾鸟帮助犀牛消除寄生的虫子
124,窗体底端
125,我的答案：B
126,10
127,（）可以使心脏跳动减慢。
128,1.0 分
129,窗体顶端
130,A、
131,五羟色胺
132,B、
133,乙酰胆碱
134,C、
135,γ氨基丁酸
136,D、
137,肾上腺素
138,窗体底端
139,我的答案：B
140,11
141,20世纪人类科学史上的三大工程不包括（）。
142,1.0 分
143,窗体顶端
144,A、
145,曼哈顿原子弹计划
146,B、
147,计算机信息工程计划
148,C、
