,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,有哪些组成会导致引致成本的形成？
3,1.0 分
4,窗体顶端
5,A、
6,强制储蓄和宏观调控
7,B、
8,提高税率和降低准备金率
9,C、
10,提高资源利用率和税率
11,D、
12,国家的过度储蓄，强制性储蓄
13,窗体底端
14,正确答案： D 我的答案：D
15,2
16,传统的所有制理论当中忽略了哪两个根本性的问题？
17,1.0 分
18,窗体顶端
19,A、
20,私有制的范围和公有制的形式
21,B、
22,公有制的范围和私有制的形式
23,C、
24,公有制的范围和公有制的形式
25,D、
26,私有制的范围私有制的形式
27,窗体底端
28,正确答案： C 我的答案：C
29,3
30,未来解决中小企业的融资困难问题，我国采取了什么做法？
31,1.0 分
32,窗体顶端
33,A、
34,加大信贷额度
35,B、
36,降低贷款利率
37,C、
38,提供无息贷款
39,D、
40,建立多层次的资本市场
41,窗体底端
42,正确答案： D 我的答案：D
43,4
44,贸易保护手段或方式一般不包括以下哪种？
45,1.0 分
46,窗体顶端
47,A、
48,关税手段
49,B、
50,非关税手段，比如绿色壁垒
51,C、
52,经济爱国主义的贸易保护
53,D、
54,倡导抵制洋货
55,窗体底端
56,正确答案： D 我的答案：D
57,5
58,中国在对美贸易中一直处于顺差，积累了大量的美元资产，其中主要是？
59,1.0 分
60,窗体顶端
61,A、
62,美国企业债券
63,B、
64,美国金融债券
65,C、
66,美国国债
67,D、
68,美国股票和衍生品
69,窗体底端
70,正确答案： C 我的答案：C
71,6
72,以下哪项不属于中国市场经济成功的转型形成的经济关系
73,1.0 分
74,窗体顶端
75,A、
76,独立
77,B、
78,自主
79,C、
80,竞争
81,D、
82,单一
83,窗体底端
84,正确答案： D 我的答案：D
85,7
86,推行市场经济改革的过程中，必须发挥地方政府的作用，给各级地方政府相对独立的权利，这种做法称为？
87,1.0 分
88,窗体顶端
89,A、
90,行政性分权
91,B、
92,经济性分权
93,C、
94,政治性分权
95,D、
96,决策分权
97,窗体底端
98,正确答案： A 我的答案：A
99,8
100,我国非正式制度的特点
101,1.0 分
102,窗体顶端
103,A、
104,对人一视同仁
105,B、
106,讲究原则
107,C、
108,对熟人和陌生人采取不同的原则
