,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,除了基础设施，农村还有（）严重落后。
4,1.0 分
5,窗体顶端
6,A、
7,文化
8,B、
9,卫生
10,C、
11,科技
12,D、
13,以上都是
14,窗体底端
15,正确答案： D 我的答案：D
16,2
17,婚姻家庭与时代背景息息相关，当今社会婚姻家庭问题反映的时代烙印是（）。
18,1.0 分
19,窗体顶端
20,A、
21,爱情至上
22,B、
23,理性思考
24,C、
25,物质化和功利化
26,D、
27,盲目性
28,窗体底端
29,正确答案： C 我的答案：C
30,3
31,十一届三中全会召开的时间是（）。
32,1.0 分
33,窗体顶端
34,A、
35,1979-12-19
36,B、
37,1979年12月19日-23日
38,C、
39,1978年12月19日-23日
40,D、
41,1978-12-19
42,窗体底端
43,正确答案： C 我的答案：C
44,4
45,官员腐败的心理现象不包括（）。
46,1.0 分
47,窗体顶端
48,A、
49,侥幸心理
50,B、
51,法不责众心理
52,C、
53,冒险心理
54,D、
55,从众心理
56,窗体底端
57,正确答案： D 我的答案：D
58,5
59,“三权分立”制度的根本目的是（）。
60,1.0 分
61,窗体顶端
62,A、
63,对最高领导者进行监督
64,B、
65,对立法者进行监督
66,C、
67,对权利进行制约
68,D、
69,实现民主政治
70,窗体底端
71,正确答案： C 我的答案：C
72,6
73,大学生就业困难的原因有哪些？（）
74,1.0 分
75,窗体顶端
76,A、
77,国家制度设计问题
78,B、
79,传统观念习俗
80,C、
81,大学生自身的问题
82,D、
83,以上都是
84,窗体底端
85,正确答案： D 我的答案：D
86,7
87,下列选项中，属于道德范畴的是（）。
88,1.0 分
89,窗体顶端
90,A、
91,见到行人被车撞却不上前救助
92,B、
93,醉酒驾驶
94,C、
95,公交车上行窃
96,D、
97,狩猎国家保护动物
98,窗体底端
99,正确答案： A 我的答案：A
100,8
101,婚姻的脆弱体现在（）。
102,1.0 分
103,窗体顶端
104,A、
105,一方身体突然变差，另一方不愿意照顾
106,B、
107,家庭突然变得贫穷导致离婚
108,C、
109,一切都转化成物质来计算
110,D、
111,以上都是
112,窗体底端
113,正确答案： D 我的答案：D
114,9
115,新村运动发生在（）。
116,1.0 分
117,窗体顶端
118,A、
119,日本
120,B、
121,新加坡
122,C、
123,韩国
124,D、
125,台湾
126,窗体底端
127,正确答案： C 我的答案：C
128,10
129,爱是一种能力，在交往中这种能力体现在（）。
130,1.0 分
131,窗体顶端
132,A、
133,对对方的独占能力
134,B、
135,为感情的维系提供物质基础
136,C、
137,为避免审美疲劳坚持异地
138,D、
139,为对方安排一个好工作
140,窗体底端
141,正确答案： B 我的答案：B
142,11
143,关于权利和腐败的说法正确的是（）。
144,1.0 分
145,窗体顶端
146,A、
147,只有权利可以遏制腐败
148,B、
149,腐败导致了权利的集中
150,C、
151,将权利进行集中，可以有效遏制腐败
152,D、
153,分权可有效遏制腐败
154,窗体底端
155,正确答案： D 我的答案：D
156,12
157,当代中国道德失范的基本原因是（）。
158,1.0 分
159,窗体顶端
160,A、
161,法制不健全，政治文明程度不高
162,B、
163,市场经济制度体系不完善
164,C、
165,党风、政风不正
166,D、
167,道德教育空泛
168,窗体底端
169,正确答案： A 我的答案：A
170,13
171,如何理解官员腐败的补偿心理？（）
172,1.0 分
173,窗体顶端
174,A、
175,利用腐败补偿工作的艰辛
176,B、
177,利用腐败满足贪欲
178,C、
179,利用腐败弥补缺失的物质条件
180,D、
181,利用腐败补偿社会财富和资源的分配不公
182,窗体底端
183,正确答案： D 我的答案：D
184,14
185,在择业和就业中，大学生应该摒弃（）。
186,1.0 分
187,窗体顶端
188,A、
189,经验感
190,B、
191,江湖感
192,C、
193,虚荣心
194,D、
195,高情商
196,窗体底端
197,正确答案： C 我的答案：C
198,15
199,“代际公平”是指当代人和后代人在利用自然资源、满足自身利益、谋求生存与发展上权利均等。下列关于“代际公平”的说法，错误的是（）。
200,1.0 分
201,窗体顶端
202,A、
203,代际公平可促进环境和资源的可持续发展
204,B、
205,后代人也有享有地球资源的权利
206,C、
207,当代人要为后代人类保存自然资源
208,D、
209,后代人类可任意利用地球的一切资源
210,窗体底端
211,正确答案： D 我的答案：D
212,16
