,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,十一届三中全会召开的时间是（）。
3,窗体顶端
4,A、
5,1979-12-19
6,B、
7,1979年12月19日-23日
8,C、
9,1978年12月19日-23日
10,D、
11,1978-12-19
12,窗体底端
13,我的答案：C
14,2
15,“不患寡而患不均”体现了中国人对（）的不满。
16,窗体顶端
17,A、
18,贫穷
19,B、
20,身份贵贱
21,C、
22,贫富差距
23,D、
24,战争
25,窗体底端
26,我的答案：C
27,3
28,根据李银河的统计，现在我国同性恋人数有（）。
29,窗体顶端
30,A、
31,400万
32,B、
33,2000万
34,C、
35,超过4000万
36,D、
37,接近4000万
38,窗体底端
39,我的答案：C
40,4
41,在择业和就业中，大学生应该摒弃（）。
42,窗体顶端
43,A、
44,经验感
45,B、
46,江湖感
47,C、
48,虚荣心
49,D、
50,高情商
51,窗体底端
52,我的答案：C
53,5
54,腐败的三要素不包括（）。
55,窗体顶端
56,A、
57,能够运用公共权力的主体
58,B、
59,违反公共规则的事实
60,C、
61,谋取私利的行为
62,D、
63,以权谋私
64,窗体底端
65,我的答案：D
66,6
67,学习和了解当代中国社会问题的意义是什么？（）
68,窗体顶端
69,A、
70,帮助大学生更好的面对社会，做好思想准备
71,B、
72,帮助大学生学会思考社会问题
73,C、
74,帮助大学生在未来解决社会问题做准备
75,D、
76,以上都是
77,窗体底端
78,我的答案：D
79,7
80,下列选项中，属于道德范畴的是（）。
81,窗体顶端
82,A、
83,见到行人被车撞却不上前救助
84,B、
85,醉酒驾驶
86,C、
87,公交车上行窃
88,D、
89,狩猎国家保护动物
90,窗体底端
91,我的答案：A
92,8
93,婚姻家庭与时代背景息息相关，当今社会婚姻家庭问题反映的时代烙印是（）。
94,窗体顶端
95,A、
96,爱情至上
97,B、
98,理性思考
99,C、
100,物质化和功利化
101,D、
102,盲目性
103,窗体底端
104,我的答案：C
105,9
106,腐败代价论是指（）。
107,窗体顶端
108,A、
109,腐败行为是国家制度缺陷所带来社会代价。
110,B、
111,腐败行为是人类道德进步所必须付出的代价。
112,C、
113,腐败行为是经济发展和社会进步必须付出的代价。
114,D、
115,腐败行为是权利缺少监管所付出的代价。
