,题目
0,
1, 
2,一、单选题（共 35 道试题，共 70 分。）
3, 
4,1.  把目的和手段结合起来就是
5,A. 创造
6,B. 战争
7,C. 科学
8,D. 实践
9,      满分：2  分
10,2.  对于士气之类的因数，如何控制
11,A. 根据经验
12,B. 多鼓励
13,C. 奖惩分明
14,D. 惩罚
15,      满分：2  分
16,3.  大战略中的节制包括
17,A. 政治节制和语言节制
18,B. 政治节制和情感节制
19,C. 政治节制和自我节制
20,D. 政治节制和战略节制
21,      满分：2  分
22,4.  克劳塞维茨出生于那一年
23,A. 1831
24,B. 1835
25,C. 1780
26,D. 1785
27,      满分：2  分
28,5.  下面那一项不是完整的叙述
29,A. 哲理
30,B. 文学透视
31,C. 历史
32,D. 统治者
33,      满分：2  分
34,6.  战争“三位一体”所涉及的对象不包括
35,A. 政府
36,B. 人民
37,C. 工人
38,D. 将领及其军队
39,      满分：2  分
40,7.  周公说“伟大和漫长的历史性事业必然需要多长时间非常伟大的政治/战略领导”
41,A. 一代
42,B. 二代
43,C. 三代
44,D. 至少两三代
45,      满分：2  分
46,8.  下面哪一位总括周族政治经验，并为帝国治理树立信条
47,A. 周文王
48,B. 姬发
49,C. 周公
50,D. 比干
51,      满分：2  分
52,9.  本讲中举“尧虽贤，兴事业不成，得禹而九州宁”的目的是说
53,A. 皇帝的重要性
54,B. 将相的重要性
55,C. 皇帝不重要
56,D. 将相不重要
57,      满分：2  分
58,10.  大战略必须经常重新审视、调整和修改的愿意之一是
59,A. 实际需要
60,B. 领导决策
61,C. 信息经常不健全
62,D. 改变思维
63,      满分：2  分
64,11.  “五事”指的是
65,A. 貌、言、视、听和思
66,B. 相、貌、言、视和听
67,C. 衣、食、住、行和走
68,D. 衣、食、住、行和家
69,      满分：2  分
70,12.  现实世界的真正运作是靠什么
71,A. 自然科学
72,B. 几个理论的叠加
73,C. 二十个理论的叠加
74,D. 同时具有所有各种理论各自简化出来的机理
75,      满分：2  分
76,13.  在革命主义思想者那里，国内与国外的关系式
77,A. 两个不同的部分
78,B. 国内更近
79,C. 国外更近
80,D. 没有真正的区别
81,      满分：2  分
82,14.  下面那一项不是经典鉴定得自的方面
83,A. 文学
84,B. 哲学
85,C. 历史
86,D. 法律
87,      满分：2  分
88,15.  战争中的精神因素
89,A. 可以忽略
90,B. 绝不能被排除
91,C. 无视即可
92,D. 不伤大雅
93,      满分：2  分
94,16.  依靠克劳塞维茨，最尊重的两样无形的东西是
95,A. 智慧和观察力
96,B. 智慧和创造力
97,C. 智慧和领导力
98,D. 智慧和判断力
99,      满分：2  分
100,17.  司马迁的史记里面所指的“国际”战争开始于那一事件
101,A. 卫青、霍去病打赢三大远征战役
102,B. 蒙恬率军三十万击退匈奴
103,C. 蒙恬率百万大军击退匈奴
104,D. 卫青、霍去病打赢五大远征战役
105,      满分：2  分
