,题目
0,第一部从社会心理学角度分析纳粹心态的书是：（）。
1,1.0 分
2,窗体顶端
3,A、
4,《新教伦理与资本主义》
5, 
6,B、
7,《逃避自由》
8, 
9,C、
10,《自杀论》
11, 
12,D、
13,《独裁论》
14, 
15,窗体底端
16,正确答案： B 我的答案：B
17,2
18,下列关于通货膨胀产生的影响正确的有：（）。
19,1.0 分
20,窗体顶端
21,A、
22,中产阶级的利益丧失
23, 
24,B、
25,父母权威丧失
26, 
27,C、
28,青年神话
29, 
30,D、
31,以上都有
32, 
33,窗体底端
34,正确答案： D 我的答案：D
35,3
36,《作为内心经历的战斗》的作者是（）。
37,1.0 分
38,窗体顶端
39,A、
40,布鲁克
41, 
42,B、
43,希特勒
44, 
45,C、
46,奥斯本格勒
47, 
48,D、
49,恩荣格尔
50, 
51,窗体底端
52,正确答案： D 我的答案：D
53,4
54,下列国家中，（）不属于被希特勒认为属于日耳曼人的。
55,1.0 分
56,窗体顶端
57,A、
58,比利时
59, 
60,B、
61,法国
62, 
63,C、
64,挪威
65, 
66,D、
67,丹麦
68, 
69,窗体底端
70,正确答案： B 我的答案：B
71,5
72,妇女的就业率在魏玛共和国时代的发展趋势是：（）。
73,1.0 分
74,窗体顶端
75,A、
76,下降
77, 
78,B、
79,忽上忽下
80, 
81,C、
82,上升
83, 
84,D、
85,无规律
86, 
87,窗体底端
88,正确答案： C 我的答案：C
89,6
90,下列关于福利制度的描述正确的是：（）。
91,1.0 分
92,窗体顶端
93,A、
94,为国家调整经济结构提供“时间差”
95, 
96,B、
97,避免大的社会冲突
98, 
99,C、
100,维持现有社会的稳定
101, 
102,D、
103,以上都有
104, 
105,窗体底端
106,正确答案： D 我的答案：D
107,7
108,现代女性与传统女性相比（）。
109,1.0 分
110,窗体顶端
111,A、
112,压力较小
113, 
114,B、
115,压力更大
116, 
117,C、
118,压力相同
119, 
120,D、
121,无法比较
122, 
123,窗体底端
124,正确答案： B 我的答案：B
125,8
126,首次提出民族共同体的是：（）。
127,1.0 分
128,窗体顶端
129,A、
130,希特勒
131, 
132,B、
133,俾斯麦
134, 
135,C、
136,讲坛社会主义者
137, 
138,D、
139,恩格斯
140, 
141,窗体底端
142,正确答案： C 我的答案：C
143,9
144,所谓“普鲁士式道路”，狭义地说就是普鲁士废除农奴制，发展资本主义为统一和现代化创造条件的独特方式。其独特性在于（）。
145,1.0 分
146,窗体顶端
147,A、
148,废除农奴制并取消一切人身依附关系
149, 
150,B、
151,在保留容克地主特权前提下发展资本主义
152, 
153,C、
154,废除枢密院设立近代中央政府国务院
155, 
156,D、
157,确立了城市自治制度并建立近代教育体制
158, 
159,窗体底端
160,正确答案： B 我的答案：B
161,10
162,在德国职员阶层中，具有的情绪有：（）。
163,1.0 分
164,窗体顶端
165,A、
166,反犹主义
167, 
168,B、
169,反马克思主义
170, 
171,C、
172,反大日耳曼主义
173, 
174,D、
175,以上都有
176, 
177,窗体底端
