,题目
0,1
1,2.0 分
2,窗体顶端
3,A、
4,求职者的组织行为、洞察力
5, 
6,B、
7,求职者的倾听、说服力
8, 
9,C、
10,求职者的感染力、团队意识
11, 
12,D、
13,求职者的成熟度
14, 
15,窗体底端
16,正确答案： ABCD 我的答案：ABCD
17,2
18,2.0 分
19,窗体顶端
20,A、
21,清楚自己想从工作中得到什么（工作价值追求）
22, 
23,B、
24,澄清自己的兴趣性格（职业人格）
25, 
26,C、
27,评价自己的优势劣势
28, 
29,D、
30,了解社会各行各业需要什么样的人才
31, 
32,窗体底端
33,正确答案： ABCD 我的答案：ABCD
34,3
35,2.0 分
36,窗体顶端
37,A、
38,简洁
39, 
40,B、
41,突出优势信息
42, 
43,C、
44,尽可能详细
45, 
46,D、
47,直观
48, 
49,窗体底端
50,正确答案： ABD 我的答案：ABD
51,4
52,2.0 分
53,窗体顶端
54,A、
55,与他们和谐相处
56, 
57,B、
58,对号入座避免消极面过分暴露
59, 
60,C、
61,深度理解自己与他人
62, 
63,D、
64,跟上潮流
65, 
66,窗体底端
67,正确答案： ABC 我的答案：ABC
68,5
69,2.0 分
70,窗体顶端
71,A、
72,企业文化、用人标准
73, 
74,B、
75,成立时间、员工数量与结构
76, 
77,C、
78,负责人、资本额、营业额
79, 
80,D、
81,产品、关系企业、人事制度
82, 
83,窗体底端
84,正确答案： ABCD 我的答案：ABCD
85,6
86,2.0 分
87,窗体顶端
88,A、
89,总是主动握手
90, 
91,B、
92,握住一分钟以上
93, 
94,C、
95,中指朝上
96, 
97,D、
98,有一定力度
99, 
100,E、
101,握手时保持目光接触
102, 
103,窗体底端
104,正确答案： DE 我的答案：DE
105,7
106,2.0 分
107,窗体顶端
108,A、
109,一页为佳；
110, 
111,B、
112,如果两页第二页要超过23；
113, 
114,C、
115,多多益善；
116, 
117,D、
118,两页以上；
119, 
120,窗体底端
121,正确答案： AB 我的答案：AB
122,8
123,2.0 分
124,窗体顶端
125,A、
126,用人单位接收毕业生报到凭证；
127, 
128,B、
129,档案接收；
130, 
131,C、
132,上户口；
133, 
134,D、
135,安排提升
136, 
137,窗体底端
138,正确答案： ABC 我的答案：ABC
139,9
140,2.0 分
141,窗体顶端
142,A、
143,加强对劳动法规和大学生就业政策的学习；
144, 
145,B、
146,通过正规渠道获取招聘信息；
147, 
148,C、
149,不要缴纳诸如面试费等费用；
150, 
151,D、
152,不要被职位的名称所迷惑；
153, 
154,E、
155,加强自我保护意识，防止个人资料泄密。
156, 
157,窗体底端
158,正确答案： ABCDE 我的答案：ABCDE
159,10
160, 
161,2.0 分
162,窗体顶端
163,A、
164,主要形成于后天
165, 
166,B、
167,稳定的行为习惯
168, 
169,C、
170,与工作结合成工作风格
171, 
172,D、
173,一旦形成不可改变
174, 
175,窗体底端
176,正确答案： ABC 我的答案：ABC
177,11
178,2.0 分
179,窗体顶端
180,A、
181,封面
182, 
183,B、
184,求职信
185, 
186,C、
187,简历
188, 
189,D、
190,附件
191, 
192,窗体底端
193,正确答案： ABCD 我的答案：ABCD
194,12
195,2.0 分
196,窗体顶端
197,A、
198,Ａ简洁
199, 
200,B、
201,Ｂ突出优势信息
202, 
203,C、
204,Ｃ尽可能详细
205, 
206,D、
207,Ｄ直观
208, 
209,窗体底端
210,正确答案： AD 我的答案：AD
211,13
212,2.0 分
213,窗体顶端
214,A、
215,民工荒与返乡潮
216, 
217,B、
218,“富士康”效应
219, 
220,C、
221,“40、50”问题与结构性失业
222, 
223,D、
224,大学生就业容易
225, 
226,E、
227,职场马太效应
228, 
229,F、
230,劳动力市场无序
231, 
232,窗体底端
233,正确答案： ABCEF 我的答案：ABCEF
234,14
235,2.0 分
236,窗体顶端
237,A、
238,甄别虚假就业信息；
239, 
240,B、
241,不相信口头承诺；
242, 
243,C、
244,外文合同要中文对照；
245, 
246,D、
247,看清楚再签名
248, 
249,窗体底端
250,正确答案： ABCD 我的答案：ABCD
251,15
252,2.0 分
253,窗体顶端
254,A、
255,两者一回事；
256, 
257,B、
258,见习期有强制性；
259, 
260,C、
261,见习期可延长；
262, 
263,D、
264,试用期可延长
265, 
266,窗体底端
267,正确答案： BC 我的答案：BC
268,16
269, 
270,2.0 分
271,窗体顶端
272,A、
273,智力是能力的基础
274, 
275,B、
276,能力是智力的表现形式
277, 
278,C、
279,高智商者必定能力强
280, 
281,D、
282,职业能力强的人必定高智商
283, 
284,窗体底端
285,正确答案： AB 我的答案：AB
286,17
287,2.0 分
288,窗体顶端
289,A、
290,心理承受能力；
291, 
292,B、
293,抗高压能力；
294, 
295,C、
296,C应变能力；
297, 
298,D、
299,D专业知识；
300, 
301,窗体底端
302,正确答案： ABC 我的答案：ABC
303,18
304,2.0 分
305,窗体顶端
306,A、
307,领导者胜出的几率较大，所以都应该充当领导者角色
308, 
309,B、
310,讨论过程中，需要注意与其他成员的配合，而不是一个人独自表现
311, 
312,C、
313,如果对于论题不熟悉，就应该尽可能少说话，以免犯错误
314, 
315,D、
316,在讨论过程中，应该尽可能选择自己擅长的角色
317, 
318,窗体底端
319,正确答案： AC 我的答案：AC
320,19
321,2.0 分
322,窗体顶端
323,A、
324,公文筐问题
325, 
326,B、
327,无领导小组讨论
328, 
329,C、
330,角色扮演
331, 
332,D、
333,管理游戏
334, 
335,窗体底端
336,正确答案： ABCD 我的答案：ABCD
337,20
338,2.0 分
339,窗体顶端
340,A、
341,偷听
342, 
343,B、
344,把办公室当家
345, 
346,C、
347,过分打扮
348, 
349,D、
350,烟酒不离口
351, 
352,E、
353,大声打电话
354, 
355,窗体底端
356,正确答案： ABCDE 我的答案：ABCDE
357,1
358,3.0 分
359,窗体顶端
360,A、
361,动机适度
362, 
363,B、
364,谨慎不等于不敢尝试
365, 
366,C、
367,利用大满贯疗法
368, 
369,D、
370,不敢尝试
371, 
372,窗体底端
373,正确答案： D 我的答案：D
374,2
375,3.0 分
376,窗体顶端
377,A、
378,网络招聘
379, 
380,B、
381,举办招聘会
382, 
383,C、
384,熟人推荐
385, 
386,D、
387,社会招聘
388, 
389,窗体底端
390,正确答案： A 我的答案：A
391,3
392,3.0 分
393,窗体顶端
394,A、
395,寻求帮助是行为
396, 
397,B、
398,依赖是一种消极心态
399, 
400,C、
401,独立自主者才能最终赢得成功
402, 
403,D、
404,依赖是一种积极心态
405, 
406,窗体底端
407,正确答案： D 我的答案：D
408,4
409,3.0 分
410,窗体顶端
411,A、
412,事先了解用人单位；
413, 
414,B、
415,认真听企业宣讲；
416, 
417,C、
418,了解需求岗位、应聘要求；
419, 
420,D、
421,制作个性化求职简历；
422, 
423,E、
424,可以应聘不同岗位；
425, 
426,F、
427,注意仪表；
428, 
429,窗体底端
430,正确答案： E 我的答案：E
431,5
432,3.0 分
433,窗体顶端
434,A、
435,教育背景
436, 
437,B、
438,实践经历
439, 
440,C、
441,期待薪酬
442, 
443,D、
444,求职意向
445, 
446,窗体底端
447,正确答案： C 我的答案：C
448,6
449,3.0 分
450,窗体顶端
451,A、
452,真实性原则
453, 
454,B、
455,就近性原则
456, 
457,C、
458,完整性原则
459, 
460,D、
461,针对性原则
462, 
463,窗体底端
464,正确答案： B 我的答案：B
465,7
466,3.0 分
467,窗体顶端
468,A、
469,选择逃避
470, 
471,B、
472,老中青相互带
473, 
474,C、
475,及时宣泄
476, 
477,D、
478,参加心理文化活动
479, 
480,窗体底端
481,正确答案： A 我的答案：A
482,8
483,3.0 分
484,窗体顶端
485,A、
486,表示尊重，有针对性的回答面试问题。
487, 
488,B、
489,不需要了解
490, 
491,C、
492,仅仅表示尊重
493, 
494,D、
495,只是为了帮助自己回答面试问题
496, 
497,窗体底端
498,正确答案： A 我的答案：A
499,9
500,3.0 分
501,窗体顶端
502,A、
503,找工作也是一种工作，需要早作准备，成功，绝非偶然，机遇，偏爱有准备的头脑。
504, 
505,B、
506,找工作虽然一种工作，但无需早作准备，成功，绝非偶然，机遇，偏爱有准备的头脑。
507, 
508,C、
509,找工作不是一种工作，但是需要早作准备，成功，绝非偶然，机遇，偏爱有准备的头脑。
510, 
511,D、
512,找工作不是一种工作，也不需要早作准备，成功，绝非偶然，机遇，偏爱有准备的头脑。
513, 
514,窗体底端
515,正确答案： A 我的答案：A
516,10
517,3.0 分
518,窗体顶端
519,A、
520,相关证件
521, 
522,B、
523,纸笔
524, 
525,C、
526,照片
527, 
528,D、
529,红包
530, 
531,E、
532,公文包或文件夹
533, 
534,窗体底端
535,正确答案： D 我的答案：D
536,11
537,3.0 分
538,窗体顶端
539,A、
540,待遇第一
541, 
542,B、
543,两者兼顾
544, 
545,C、
546,坐等机遇
547, 
548,D、
549,藐视待遇
550, 
551,窗体底端
552,正确答案： B 我的答案：B
553,12
554,3.0 分
555,窗体顶端
556,A、
557,赞同。自卑者可以变得自信，自负者难以回落到自信。
558, 
559,B、
560,不赞同。自卑者可以变得自信，自负者也能回落到自信。
561, 
562,C、
563,不赞同。自卑者不能变得自信，自负者难以回落到自信。
564, 
565,D、
566,赞同。自卑者可以变得自信，自负者也可以回落到自信。
567, 
568,窗体底端
569,正确答案： A 我的答案：A
570,13
571,3.0 分
572,窗体顶端
573,A、
574,利益关系不一样
575, 
576,B、
577,隶属关系不一样
578, 
579,C、
580,评价标准不一样
581, 
582,D、
583,社会属性不一样
584, 
585,窗体底端
586,正确答案： D 我的答案：D
587,14
588, 
589,3.0 分
590,窗体顶端
591,A、
592,观、听、问
593, 
594,B、
595,观、听、递、记
596, 
597,C、
598,观、听、问、递
599, 
600,D、
601,观、听、问、递、记
602, 
603,窗体底端
604,正确答案： D 我的答案：D
605,15
606,3.0 分
607,窗体顶端
608,A、
609,一般情况可以不写
610, 
611,B、
612,如果需要写则能突出与应聘公司的相关性
613, 
614,C、
615,如果需要写则能突出与工作岗位的相关性
616, 
617,D、
618,写不写都不能则能突出与应聘公司或工作岗位的相关性
619, 
620,窗体底端
621,正确答案： D 我的答案：D
622,16
623,3.0 分
624,窗体顶端
625,A、
626,目标任务
627, 
628,B、
629,原则
630, 
631,C、
632,时间
633, 
634,D、
635,行动方案
636, 
637,窗体底端
638,正确答案： A 我的答案：A
639,17
640,3.0 分
641,窗体顶端
642,A、
643,毕业生自带；
644, 
645,B、
646,用人单位自取；
647, 
648,C、
649,不是所有用人单位都可以接收档案；
650, 
651,D、
652,只有政府部门可以接收毕业生档案
653, 
654,窗体底端
655,正确答案： C 我的答案：C
656,18
657,3.0 分
658,窗体顶端
659,A、
660,从事一项工作，如果能得到家人支持或注重处理好生活、工作的关系更有利于成功
661, 
662,B、
663,从事一项工作，如果不能得到家人支持就不能成功
664, 
665,C、
666,从事一项工作，就要放弃生活
667, 
668,D、
669,从事一项工作，能不能得到家人支持或注重处理好生活、工作的关系并不重要
670, 
671,窗体底端
672,正确答案： A 我的答案：A
673,19
674,3.0 分
675,窗体顶端
676,A、
677,态度和心情无关
678, 
679,B、
680,知、情、意、行相互作用
681, 
682,C、
683,态度决定心情
684, 
685,D、
686,心情影响行为和行动
687, 
688,窗体底端
689,正确答案： A 我的答案：A
690,20
691,3.0 分
692,窗体顶端
693,A、
694,知、情、意、行相互作用，态度决定心情，心情影响行为和行动。
695, 
696,B、
697,好的心情就会有好的结果
698, 
699,C、
700,虽然心情不会影响行为，但是好心情总是好的
701, 
702,D、
703,做好准备会奠定好的基础
704, 
705,窗体底端
706,正确答案： A 我的答案：A
707, 
708,           微信公众号：琢磨俗僧
709,      Copyright  © 2016~2020 超星尔雅题库 版权所有　
710,本站所有资源均来自互联网，本站只负责收集和整理，均不承担任何法律责任，如有侵权等其它行为
711,请发邮件至：cxeytk@foxmail.com
712,
