,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,叶航教授认为全球的通货膨胀的一个主要原因是什么？
3,1.0 分
4,窗体顶端
5,A、
6,日元贬值
7,B、
8,英镑贬值
9,C、
10,卢布贬值
11,D、
12,美元的贬值
13,窗体底端
14,正确答案： D 我的答案：D
15,2
16,索罗模型的方程式是什么？
17,1.0 分
18,窗体顶端
19,A、
20,f(k)=k’+nks
21,B、
22,s·f(k)=ks+nk
23,C、
24,s·f(k)=k’+nk
25,D、
26,f(k)=k/s+nk
27,窗体底端
28,正确答案： C 我的答案：C
29,3
30,索洛模型中f(x)表示的是什么生产函数？
31,0.0 分
32,窗体顶端
33,A、
34,发散形式
35,B、
36,集约形式
37,C、
38,资本密集形式
39,D、
40,劳动密集形式
41,窗体底端
42,正确答案： B 我的答案：D
43,4
44,货币学派认为在长期中，货币数量的增加会：
45,1.0 分
46,窗体顶端
47,A、
48,降低就业量
49,B、
50,增加就业量
51,C、
52,不确定
53,D、
54,不影响就业量
55,窗体底端
56,正确答案： D 我的答案：D
57,5
58,我国之前著名的“四万个亿”属于:
59,1.0 分
60,窗体顶端
61,A、
62,货币政策
63,B、
64,金融政策
65,C、
66,财政政策
67,D、
68,产品政策
69,窗体底端
70,正确答案： C 我的答案：C
71,6
72,资本主义危机的特征是：
73,1.0 分
74,窗体顶端
75,A、
76,生产过剩
77,B、
78,需求过剩
79,C、
80,生产不足
81,D、
82,需求不足
83,窗体底端
84,正确答案： A 我的答案：A
85,7
86,相对于两部门模型，三部门模型增加了哪个部门：
87,1.0 分
88,窗体顶端
89,A、
90,市场
91,B、
92,银行
93,C、
94,政府
95,D、
96,外资企业
97,窗体底端
98,正确答案： C 我的答案：C
99,8
100,在宏观经济非均衡模型里，有几条线？（）
101,1.0 分
102,窗体顶端
103,A、
104,0
105,B、
106,4
107,C、
108,3
109,D、
110,2
111,窗体底端
112,正确答案： D 我的答案：D
113,9
114,如果IS方程为r=100-0.04Y，LM曲线方程为r=-60+0.04Y，那么均衡产出时的利率是多少？
115,1.0 分
116,窗体顶端
117,A、
118,0.02
119,B、
120,0.05
121,C、
122,0.2
123,D、
124,0.4
