,题目
0,
1,一、 单选题（题数：50，共 50.0 分） 
2,1 自然选择在自然状态下是一个（）过程。1.0 分
3,A、快速
4,B、缓慢的渐进的
5,C、周期性
6,D、都不对
7, 正确答案： B 我的答案：B
8,2瓦特的教育背景是（）。
9,1.0 分
10,A、小学
11,B、中学
12,C、大学
13, D、没上过学
14,正确答案： B 我的答案：B
15,3《几何原本》最早于（）传到了中国。
16,1.0 分
17,13世纪 A、
18,14世纪 B、
19,15世纪 C、
20, D、16世纪
21, 正确答案： A 我的答案：A
22,4（）在奥林匹克的发源地建立学园。
23,1.0 分
24, 柏拉图 A、
25, B、苏格拉底 
26, 达芬奇 C、
27,孔子 D、
28,正确答案： A 我的答案：A
29,5古希腊原子论最伟大的代表人物是（）。
30,1.0 分
31, A、阿那克萨哥拉
32,留基伯 B、
33, C、恩培多克勒
34, D、德谟克利特
35,正确答案： D 我的答案：D
36,6乔治·萨顿出版的关于科学史的著作是（）。
37,1.0 分
38, A、Dynamis 
39,Isis B、
40, C、Centaurus
41,D、Lychnos
42,正确答案： B 我的答案：B
43,7爱因斯坦奇迹年指的是（）。
44,1.0 分
45,1905年 A、
46,1906年 B、
47,1907年 C、
48,1908年 D、
49,正确答案： A 我的答案：A
50,8近代科学诞生的初期，科学与技术的关系是（）。
51,1.0 分
52,科学占主导地位，技术为科学服务
53, B、技术占主导地位，科学为科学服务
54, C、科学和技术平分秋色
55, D、科学和技术尚未融合
56,正确答案： A 我的答案：A
57,9拉瓦锡的元素理论引导化学挣脱了四元素理论，和物理学界统一，进入了（）的时代。 1.0 分
58, A、光子理论 
59, B、质子理论
60, C、原子理论
61, D、分子理论
62,正确答案： C 我的答案：C
63,10英国学者（）提出了两种文化的问题。
64,1.0 分
65,斯诺 A、
66,多尔 B、
67,沃森 C、
68,亨特 D、
69,正确答案： A 我的答案：A
70,11四根说认为，万物是由（）组成的。
71,1.0 分
72, A、火、气、土、金
73, B、火、木、土、金
74, C、火、木、土、水
75, D、火、气、土、水
76,正确答案： D 我的答案：D
77,12现阶段，干细胞主要被用于（）的研究。 1.0 分
78,治疗性 A、
79,繁殖性 B、
80,传播性 C、
81,生物性 D、
82, 正确答案： A 我的答案：A
83,13做肺炎双球菌实验的这位科学家来自哪个国家？ 1.0 分
84, 美国 A、
85, 德国 B、
86, 法国 C、
87,英国 D、
88,正确答案： D 我的答案：D
89,14 早期技术讲求实用，一是满足生活需要，一是满足（）。 1.0 分
90, A、生产需要
91, B、学习需要
92, C、军事需要
93, D、交流需要
94, 正确答案： C 我的答案：C
95,15勾股定理是由谁发明的？（）
96,1.0 分
97, A、德谟克利特 
98, B、巴门尼德
99, C、毕达哥拉斯
100, D、亚里士多德
101, 
102,正确答案： C 我的答案：C
103,16把正切、余切、余割引入三角学之中，并编制了五位数的三角函数表的人是（）。 1.0 分
104,维尔纳 A、
105,缪勒 B、
106, C、雷提库斯
107,韦达 D、
108,正确答案： C 我的答案：C
109,17 《动物和植物在家养下的变异》这本书是谁写的？（）
110,1.0 分
111, A、奥尔特曼
112,达尔文 B、
113,孟德尔 C、
114,竺可桢 D、
115,正确答案： B 我的答案：B
116,18赞同拉马克学说的人认为，魏斯曼关于老鼠尾巴的实验的主要问题在于（）。 1.0 分
117, A、实验的时间短
118,B、老鼠属于低等动物
119, C、实验是通过外部强制手段进行的
120, D、实验本身的过程缺乏严谨性
121, 正确答案： C 我的答案：C
122,19中国传统得以延续的原因不包括以下哪一项？（）
123,1.0 分
124, A、从古到今拥有传承机制 
125, B、与其他文化缺乏交流 
126, C、没有发达的交通和通信设施 
127, D、拥有内陆地域的天然屏障
128,正确答案： B 我的答案：B
129,20 下列关于英国人类学家马林诺夫斯基对文明和文化的观点，正确的是（）。 1.0 分
130, A、文明是人类所创造的一切物质和非物质成就
131,B、文化是指文明发展中的进步方面
132, C、任何民族都有自己的文化，但不一定有文明
133, D、文化是从属于文明的一个分概念 
134,正确答案： C 我的答案：C
135,21哪个古代国家没有专为集会设置的公共场所？（）
136,1.0 分
137,古印度 A、
138,古希腊 B、
139,古埃及 C、
140,古中国 D、
141,正确答案： D 我的答案：D
