,题目
0,1
1,（）年中央研究院成立标志着中国科技体制化起步。
2, 
3,窗体顶端
4,A、
5,1925
6,B、
7,1926
8,C、
9,1927
10,D、
11,1928
12,窗体底端
13,我的答案：D
14,2
15,《直指算法统宗》主要记载了对于（）的研究。
16, 
17,窗体顶端
18,A、
19,代数
20,B、
21,几何
22,C、
23,珠算
24,D、
25,方程
26,窗体底端
27,我的答案：C
28,3
29,近年来，在国际上出现的“科学课程”又被译做（）。
30, 
31,窗体顶端
32,A、
33,综合理科
34,B、
35,综合文科
36,C、
37,综合工科
38,D、
39,都不对
40,窗体底端
41,我的答案：A
42,4
43,现阶段，干细胞主要被用于（）的研究。
44, 
45,窗体顶端
46,A、
47,治疗性
48,B、
49,繁殖性
50,C、
51,传播性
52,D、
53,生物性
54,窗体底端
55,我的答案：A
56,5
57,瓦特对纽可门机的改进主要是（）。
58, 
59,窗体顶端
60,A、
61,缩小了机器的体积
62,B、
63,降低了废物的排放
64,C、
65,降低了维护的成本
66,D、
67,保留了冷却消耗的热量
68,窗体底端
69,我的答案：D
70,6
71,经院哲学的巅峰人物是（）。
72, 
73,窗体顶端
74,A、
75,罗西亚
76,B、
77,亚里士多德
78,C、
79,伏尔泰
80,D、
81,托马斯.阿奎那
82,窗体底端
83,我的答案：D
84,7
85,随着古代文明的衰落，中世纪欧洲科学史在探索的形式、对象、内容和成果上都是以（）为中心展开的。
86, 
87,窗体顶端
88,A、
89,政治
90,B、
91,神学
92,C、
93,法律
94,D、
95,经济
96,窗体底端
97,我的答案：B
98,8
99,英国学者（）提出了两种文化的问题。
100, 
101,窗体顶端
102,A、
103,斯诺
104,B、
105,多尔
106,C、
107,沃森
108,D、
109,亨特
110,窗体底端
111,我的答案：A
112,9
113,早期技术讲求实用，一是满足生活需要，一是满足（）。
114, 
115,窗体顶端
116,A、
117,生产需要
118,B、
119,学习需要
120,C、
121,军事需要
122,D、
123,交流需要
124,窗体底端
125,我的答案：C
126,10
127,下列哪项不是中国古代技术的主要成就？（）
128, 
129,窗体顶端
130,A、
131,织染
132,B、
133,冶铸
134,C、
135,建筑
136,D、
137,天文
138,窗体底端
139,我的答案：D
140,11
141,把正切、余切、余割引入三角学之中，并编制了五位数的三角函数表的人是（）。
142, 
143,窗体顶端
144,A、
145,维尔纳
146,B、
147,缪勒
148,C、
149,雷提库斯
150,D、
151,韦达
152,窗体底端
153,我的答案：C
154,12
155,四根说认为，万物是由（）组成的。
156, 
157,窗体顶端
158,A、
159,火、气、土、金
160,B、
161,火、木、土、金
162,C、
163,火、木、土、水
164,D、
165,火、气、土、水
166,窗体底端
167,我的答案：D
168,13
169,文艺复兴时期的主要思想家一般会集中传统的学者和传统的（）两种气质。
170, 
171,窗体顶端
172,A、
173,政客
174,B、
175,商人
176,C、
177,工匠
178,D、
179,市民
180,窗体底端
181,我的答案：C
182,14
183,符合严格定义上的科学起源于（）。
184, 
185,窗体顶端
186,A、
187,古希腊
188,B、
189,古中国
190,C、
191,文艺复兴
192,D、
193,启蒙运动
194,窗体底端
195,我的答案：C
196,15
197,赞同拉马克学说的人认为，魏斯曼关于老鼠尾巴的实验的主要问题在于（）。
198, 
199,窗体顶端
200,A、
201,实验的时间短
202,B、
203,老鼠属于低等动物
204,C、
205,实验是通过外部强制手段进行的
206,D、
207,实验本身的过程缺乏严谨性
208,窗体底端
209,我的答案：C
210,16
211,俄罗斯科学院建立于（）。
212, 
213,窗体顶端
214,A、
215,1724年2月8日
216,B、
217,1744年2月8日
218,C、
219,1764年2月8日
220,D、
221,1784年2月8日
222,窗体底端
223,我的答案：A
224,17
225,以色列是灭亡后用了多少年复国的？（）
226, 
227,窗体顶端
228,A、
229,500年
230,B、
231,1000年
232,C、
233,1500年
234,D、
235,2000年
236,窗体底端
237,我的答案：D
238,18
239,从（）开始，才有人专门地去关注科学过去的历史发展。
240, 
241,窗体顶端
242,A、
243,15世纪
244,B、
245,16世纪
246,C、
247,17世纪
248,D、
249,18世纪
250,窗体底端
251,我的答案：D
252,19
253,俄罗斯建立科学院的第一步是建立了一座（）。
254, 
255,窗体顶端
256,A、
257,大学
258,B、
259,图书馆
260,C、
261,博物馆
262,D、
263,研究所
264,窗体底端
265,我的答案：C
266,20
267,哪个古代国家没有专为集会设置的公共场所？（）
268, 
269,窗体顶端
270,A、
271,古印度
272,B、
273,古希腊
274,C、
275,古埃及
276,D、
277,古中国
278,窗体底端
279,我的答案：D
280,21
281,古希腊原子论最伟大的代表人物是（）。
282, 
283,窗体顶端
284,A、
285,阿那克萨哥拉
286,B、
287,留基伯
288,C、
289,恩培多克勒
290,D、
291,德谟克利特
292,窗体底端
293,我的答案：D
294,22
295,布莱克发现了（）。
296, 
297,窗体顶端
298,A、
299,二氧化碳
300,B、
301,一氧化碳
302,C、
303,氧气
304,D、
305,氢气
306,窗体底端
307,我的答案：A
308,23
309,帮助利玛窦得到皇帝重视的物品是其送给皇帝的（）。
310, 
311,窗体顶端
312,A、
313,地球仪
314,B、
315,圣母像
316,C、
317,报时钟
318,D、
319,十字架
320,窗体底端
321,我的答案：C
322,24
323,勾股定理是由谁发明的？（）
324, 
325,窗体顶端
326,A、
327,德谟克利特
328,B、
329,巴门尼德
330,C、
331,毕达哥拉斯
332,D、
333,亚里士多德
334,窗体底端
335,我的答案：C
336,25
337,哈拉巴文明消失于（）左右。
338, 
339,窗体顶端
340,A、
341,公元前1700年
342,B、
343,公元前700年
344,C、
345,公元1700年
346,D、
347,公元700年
348,窗体底端
349,我的答案：A
350,26
351,《几何原本》最早于（）传到了中国。
352, 
353,窗体顶端
354,A、
355,13世纪
356,B、
357,14世纪
358,C、
359,15世纪
360,D、
361,16世纪
362,窗体底端
363,我的答案：A
364,27
365,综合性科学史出现于哪个世纪？（）
366,0.0 分
367,窗体顶端
368,A、
369,十五世纪初十六世纪末
370,B、
371,十六世纪初十七世纪末
372,C、
373,十九世纪末二十世纪初
374,D、
375,二十世纪末
376,窗体底端
377,我的答案：D
378,28
379,瓦特的教育背景是（）。
380, 
381,窗体顶端
382,A、
383,小学
384,B、
385,中学
386,C、
387,大学
388,D、
389,没上过学
390,窗体底端
391,我的答案：B
392,29
393,做肺炎双球菌实验的这位科学家来自哪个国家？
394, 
395,窗体顶端
396,A、
397,美国
398,B、
399,德国
400,C、
401,法国
402,D、
403,英国
404,窗体底端
405,我的答案：D
406,30
407,RNA的类型不包括（）。
408, 
409,窗体顶端
410,A、
411,信使RNA
412,B、
413,转运RNA
414,C、
415,核糖体RNA
416,D、
417,传输RNA
418,窗体底端
419,我的答案：D
420,31
421,开普勒第一个选择计算的行星轨道是哪个行星（）。
422, 
423,窗体顶端
424,A、
425,金星
426,B、
427,水星
428,C、
429,月亮
430,D、
431,火星
432,窗体底端
433,我的答案：D
434,32
435,下列是拉瓦锡的贡献的是（）。
436, 
437,窗体顶端
438,A、
439,脱燃素气体
440,B、
441,指示剂
442,C、
443,空气是燃烧的必要条件
444,D、
445,氧化还原理论
446,窗体底端
447,我的答案：D
448,33
449,拉瓦锡的元素理论引导化学挣脱了四元素理论，和物理学界统一，进入了（）的时代。
450, 
451,窗体顶端
452,A、
453,光子理论
454,B、
455,质子理论
456,C、
457,原子理论
458,D、
459,分子理论
460,窗体底端
461,我的答案：C
462,34
463,中国传统得以延续的原因不包括以下哪一项？（）
464, 
465,窗体顶端
466,A、
467,从古到今拥有传承机制
468,B、
469,与其他文化缺乏交流
470,C、
471,没有发达的交通和通信设施
472,D、
473,拥有内陆地域的天然屏障
474,窗体底端
475,我的答案：B
476,35
477,欧洲文明由阿拉伯向欧洲本土的回归引起了欧洲的（）。
478, 
479,窗体顶端
480,A、
481,宗教改革运动
482,B、
483,文艺复兴运动
484,C、
485,启蒙运动
486,D、
487,法国大革命
488,窗体底端
489,我的答案：B
490,36
491,下列关于英国人类学家马林诺夫斯基对文明和文化的观点，正确的是（）。
492, 
493,窗体顶端
494,A、
495,文明是人类所创造的一切物质和非物质成就
496,B、
497,文化是指文明发展中的进步方面
498,C、
499,任何民族都有自己的文化，但不一定有文明
500,D、
501,文化是从属于文明的一个分概念
502,窗体底端
503,我的答案：C
504,37
505,燃素说被证明是错误的主要是因为（）方面的发现。
506, 
507,窗体顶端
508,A、
509,固体
510,B、
511,液体
512,C、
513,气体
514,D、
515,混合物
516,窗体底端
517,我的答案：C
518,38
519,下列观点中，符合第谷的理论的是（）。
520, 
521,窗体顶端
522,A、
523,地球围绕太阳旋转
524,B、
525,太阳围绕地球旋转
526,C、
527,行星围绕地球旋转
528,D、
529,行星和地球轨道互不干涉
530,窗体底端
531,我的答案：B
532,39
533,自然选择在自然状态下是一个（）过程。
534, 
535,窗体顶端
536,A、
537,快速
538,B、
539,缓慢的渐进的
540,C、
541,周期性
542,D、
543,都不对
544,窗体底端
545,我的答案：B
546,40
547,狭义的科学是十八、十九世纪在（）发展起来的。
548, 
549,窗体顶端
550,A、
551,日本
552,B、
553,西欧
554,C、
555,美国
556,D、
557,中国
558,窗体底端
559,我的答案：B
560,41
561,亚里士多德认为生物形成了一个连续的序列，那么从植物到人共构成多少个等级？（）
562, 
563,窗体顶端
564,A、
565,9.0
566,B、
567,10.0
568,C、
569,11.0
570,D、
571,12.0
572,窗体底端
573,我的答案：C
574,42
575,爱因斯坦奇迹年指的是（）。
576, 
577,窗体顶端
578,A、
579,1905年
580,B、
581,1906年
582,C、
583,1907年
584,D、
585,1908年
586,窗体底端
587,我的答案：A
588,43
589,生命的特征不包括
590, 
591,窗体顶端
592,A、
