,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,亚当斯密、大卫李嘉图都是（）最典型的代表。
3,1.0 分
4,窗体顶端
5,ØA、
6,社会经济学
7,ØB、
8,国家经济学
9,ØC、
10,政治经济学
11,ØD、
12,古典经济学
13,窗体底端
14,我的答案：D
15,2
16,解决农业问题的正确思路是（）。
17,1.0 分
18,窗体顶端
19,ØA、
20,在农业内部解决农业问题
21,ØB、
22,吸引更多的资源到农业领域
23,ØC、
24,加强对农业人力资本的投入
25,ØD、
26,以上都对
27,窗体底端
28,我的答案：D
29,3
30,新自由主义经济学认为（）。
31,1.0 分
32,窗体顶端
33,ØA、
34,国家对经济进行干涉没有好处
35,ØB、
36,国家干涉对稳定的破坏大于其调整作用
37,ØC、
38,国家最好不要插手制定经济政策
39,ØD、
40,以上都对
41,窗体底端
42,我的答案：D
43,4
44,迈克尔•波特在《国家竞争优势》中认为（）对企业竞争模式的影响不下于市场的需求程度。
45,0.0 分
46,窗体顶端
47,ØA、
48,技术革新
49,ØB、
50,国际贸易
51,ØC、
52,社会文化
53,ØD、
54,民族情感
55,窗体底端
56,我的答案：A
57,5
58,李斯特的保护贸易观点认为（）。
59,1.0 分
60,窗体顶端
61,ØA、
62,先自由贸易，后保护贸易
63,ØB、
64,完全拒绝自由贸易
65,ØC、
66,先保护贸易，后自由贸易
67,ØD、
68,自由贸易和保护贸易一起进行
69,窗体底端
70,我的答案：C
71,6
72,熊彼特认为企业家其功能和最大的本领在于创造发生了质变的（）。
73,1.0 分
74,窗体顶端
75,ØA、
76,新型领导力
77,ØB、
78,新型组织模式
79,ØC、
80,新型经营模式
81,ØD、
82,新型生产力
83,窗体底端
84,我的答案：D
85,7
86,中国经济体制现在的状况是（）。
87,1.0 分
88,窗体顶端
89,ØA、
90,政府投资
91,ØB、
92,支持垄断
93,ØC、
94,低层次的重复建设
95,ØD、
96,以上都对
97,窗体底端
98,我的答案：D
99,8
100,亚当斯密认为当交易的盈利高于通常情况时，（）就会变成一个普遍性的错误。
101,1.0 分
102,窗体顶端
103,ØA、
104,通货膨胀
105,ØB、
106,过度交易
107,ØC、
108,欺瞒消费
109,ØD、
