,题目
0,
1, 
2,一、 单选题（题数：50，共 50 分） 
3,1 
4,《海国图志》第三部有（）卷。
5,1.0 分 
6,A、 
7,50.0 
8, 
9,B、 
10,60.0 
11, 
12,C、 
13,80.0 
14, 
15,D、 
16,100.0 
17, 
18,正确答案： D 我的答案 ：D 
19,2 
20,《海外新话拾遗》分为几卷
21,1.0 分 
22,A、 
23,四卷 
24, 
25,B、 
26,五卷 
27, 
28,C、 
29,六卷 
30, 
31,D、 
32,七卷 
33, 
34,正确答案： B 我的答案 ：B 
35,3 
36,《我的日本观》的作者
37,1.0 分 
38,A、 
39,戴季陶 
40, 
41,B、 
42,胡适 
43, 
44,C、 
45,黄遵宪 
46, 
47,D、 
48,刘师培 
49, 
50,正确答案： A 我的答案 ：A 
51,4 
52,1884年，日本学者岗千仞访华时间
53,1.0 分 
54,A、 
55,450天 
56, 
57,B、 
58,405天 
59, 
60,C、 
61,350天 
62, 
63,D、 
64,501天 
65, 
66,正确答案： C 我的答案 ：C 
67,5 
68,甲午战争后中日签订了什么条约？
69,1.0 分 
70,A、 
71,《南京条约》 
72, 
73,B、 
74,《马关条约》 
75, 
76,C、 
77,《北京条约》 
78, 
79,D、 
80,《青岛条约》 
81, 
82,正确答案： B 我的答案 ：B 
83,6 
84,光绪进行变革的蓝本是什么？
85,1.0 分 
86,A、 
87,《日本变政考》 
88, 
89,B、 
90,《日本近事记》 
91, 
92,C、 
93,《东倭考》 
94, 
95,D、 
96,《东游日记》 
97, 
98,正确答案： A 我的答案 ：A 
99,7 
100,中国近代史而言，与中国关系最为密切、最为复杂，对中国近代历史影响最大、最深远的国家关系是：
101,1.0 分 
102,A、 
103,A中美 
104, 
105,B、 
106,B中日 
107, 
108,C、 
109,C中俄 
110, 
111,D、 
112,D中印 
113, 
114,正确答案： B 我的答案 ：B 
115,8 
116,中日两次维新的目标是什么？
117,1.0 分 
118,A、 
119,君主立宪制资产阶级国家 
120, 
121,B、 
122,民主共和制 
123, 
124,C、 
125,军事统治 
126, 
127,D、 
128,宗教国家 
129, 
130,正确答案： A 我的答案 ：A 
131,9 
132,1854-1856年间《海国图志》在日本各种版本的总数是多少？
133,1.0 分 
134,A、 
135,20种 
136, 
137,B、 
138,21种 
139, 
140,C、 
141,22种 
142, 
143,D、 
144,23种 
145, 
146,正确答案： B 我的答案 ：B 
147,10 
148,日本访华旅行记《观光游记》的作者
149,1.0 分 
150,A、 
151,A川端康成 
152, 
153,B、 
154,B佐久间象山 
155, 
156,C、 
157,C冈千仞 
158, 
159,D、 
160,D吉野作造 
161, 
162,正确答案： C 我的答案 ：C 
163,11 
164,以下选项不属于《海外新话》卷首内容的是？
165,1.0 分 
166,A、 
167,《英吉利纪略》 
168, 
169,B、 
170,《坤舆略图》 
171, 
172,C、 
173,《清国沿海略图》 
174, 
175,D、 
176,《东游日记》 
