,题目
0,一、单选题
1, 
2,1《孙子兵法》共（）篇。
3,A、
4,9
5,B、
6,11
7,C、
8,13
9,D、
10,15
11,我的答案：C
12,2（）精神是企业家精神的本性。
13,A、
14,冒险精神
15,B、
16,诚信精神
17,C、
18,以人为本的服务精神
19,D、
20,竞争精神
21,我的答案：A
22,3胡雪岩作为商人所获得的朝廷的荣誉和恩赐不包括（）。
23,A、
24,被准许紫禁城骑马
25,B、
26,被赐予二品顶戴（红顶）
27,C、
28,赐予穿黄马褂
29,D、
30,被授予免死金牌
31,我的答案：D
32,4企业管理过程中的精神激励包括（）。
33,A、
34,公平激励机制
35,B、
36,树立进取的价值观念
37,C、
38,文化修养和奖励表彰
39,D、
40,以上三项
41,我的答案：D
42,5下列选项中不是《离骚》一文特点的是（）。
43,A、
44,明快清丽
45,B、
46,想象丰富
47,C、
48,情感炽烈
49,D、
50,语言瑰丽
51,我的答案：B
52,6“昔之善战者，先为不可胜，以待敌之可胜，不可胜在己，可胜在敌，故善战者，能为不可胜，不能使敌之必可胜，故曰，胜可知，而不可为”表明了（）在刚柔方面的观点。
53,A、
54,老子
55,B、
56,韩非子
57,C、
58,孙子
59,D、
60,荀子
61,我的答案：C
62,7金融危机时期，美国大量投资的资金来源于（）。
63,A、
64,发行国债
65,B、
66,大量印刷钞票
67,C、
68,政府扶持
69,D、
70,A和B
71,我的答案：D
72,8下列不属于元曲四大家的是（）。
73,A、
74,关汉卿
75,B、
76,马致远
77,C、
78,白朴
79,D、
80,汤显祖
81,我的答案：D
82,9“碧云天，黄花地，西风紧……”描写的是哪个季节的景色？（）
83,A、
84,春
85,B、
86,夏
87,C、
88,秋
89,D、
90,冬
91,我的答案：C
92,10“恩所加则思无因喜以谬赏，罚所及则思无因怒而滥刑”语出（），意为奖罚要按章办事。
93,A、
94,唐太宗
95,B、
96,魏征
97,C、
98,房玄龄
99,D、
100,唐高宗
101,我的答案：B
102,11明孝陵是明朝（）的坟墓。
103,A、
104,朱棣
105,B、
106,朱允炆
107,C、
108,朱元璋
109,D、
110,朱由检
111,我的答案：C
112,12“莫不以为诚而信之”是（）人经商的重要特点。
113,A、
114,安徽人
115,B、
116,山西人
117,C、
118,蒙古人
119,D、
120,江西人
121,我的答案：B
122,13企业竞争的本质是（）。
123,A、
124,争名
125,B、
126,争利
127,C、
128,争权
129,D、
130,争地位
131,我的答案：B
