,题目
0,
1,
2, 
3,一、 单选题（题数：50，共 50.0 分）
4,1
5,哪一年，日本出现短暂经济衰退？（）
6,0.0 分
7,窗体顶端
8,A、
9,1985
10,B、
11,1986
12,C、
13,1987
14,D、
15,1988
16,窗体底端
17,我的答案：B
18,2
19,野田佳彦成为日本五年来的第几位首相？（）
20,1.0 分
21,窗体顶端
22,A、
23,3
24,B、
25,4
26,C、
27,5
28,D、
29,6
30,窗体底端
31,我的答案：D
32,3
33,哪一年，日本提出与世界共存经济运行计划，将年工作时间调到1800小时？（）
34,1.0 分
35,窗体顶端
36,A、
37,1960
38,B、
39,1970
40,C、
41,1985
42,D、
43,1988
44,窗体底端
45,我的答案：D
46,4
47,关于日本地理位置的描述错误的是（ ）。
48,1.0 分
49,窗体顶端
50,A、
51,位于亚洲大陆东侧
52,B、
53,南北成弓状
54,C、
55,大约3600km
56,D、
57,四个大岛
58,窗体底端
59,我的答案：C
60,5
61,日本人口大约多少？（ ）
62,1.0 分
63,窗体顶端
64,A、
65,1亿
66,B、
67,1.26亿
68,C、
69,1.56亿
70,D、
71,1.97亿
72,窗体底端
73,我的答案：B
74,6
75,皇后美智子曾几次登上过美国《时代周刊》封面？（）
76,1.0 分
77,窗体顶端
78,A、
79,1
80,B、
81,2
82,C、
83,3
84,D、
85,4
86,窗体底端
87,我的答案：B
88,7
89,皇后美智子曾几次登上过美国《时代周刊》封面？（）
90,1.0 分
91,窗体顶端
92,A、
93,1
94,B、
95,2
96,C、
97,3
98,D、
99,4
100,窗体底端
101,我的答案：B
102,8
103,日本外交原则包括（）。
104,1.0 分
105,窗体顶端
106,A、
107,致力于国际社会的和平与安全
108,B、
109,成为西方的一员，建立繁荣国家
110,C、
111,对亚洲和太平洋地区做出贡献
112,D、
113,以上都是
114,窗体底端
115,我的答案：D
116,9
117,日本最早获得诺贝尔奖的人是（）。。
118,0.0 分
119,窗体顶端
120,A、
121,川端康成
122,B、
123,蒋传玲于奈
124,C、
125,佐藤荣作
126,D、
127,汤川秀树
128,窗体底端
129,我的答案：A
130,10
131,“日之丸”在哪一年被定为日本国旗？（）
132,1.0 分
133,窗体顶端
134,A、
135,1850
136,B、
137,1860
138,C、
139,1870
140,D、
141,1880
142,窗体底端
143,我的答案：C
144,11
145,最早的说法是，汉字由中国传入日本大约在什么时间？（）
146,0.0 分
147,窗体顶端
148,A、
149,公元前8世纪
150,B、
151,公元前9世纪
152,C、
153,公元前10世纪
154,D、
155,公元前12世纪
156,窗体底端
157,我的答案：B
158,12
159,日本最大的湖是（ ）。
160,1.0 分
161,窗体顶端
162,A、
163,中禅寺湖
164,B、
165,西湖
166,C、
167,田深湖
168,D、
169,琵琶湖
170,窗体底端
171,我的答案：D
172,13
173,麻生太郎曾作为射击选手，参加过多少届国际奥林匹克运动会。（）
174,1.0 分
175,窗体顶端
176,A、
