,题目
0, 成绩： 100.0分
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,查德威克是谁的学生
5,1.0 分
6,窗体顶端
7,A、
8,玻特
9,B、
10,卢瑟福
11,C、
12,波尔
13,D、
14,皮埃尔·居里
15,窗体底端
16,我的答案：B
17,2
18,爱因斯坦发给《物理评论》的关于引力波的论文的审稿人是
19,1.0 分
20,窗体顶端
21,A、
22,弗里德曼
23,B、
24,英费尔德
25,C、
26,罗伯特
27,D、
28,朗道
29,窗体底端
30,我的答案：C
31,3
32,太阳要形成黑洞，引力半径要达到（）公里。
33,1.0 分
34,窗体顶端
35,A、
36,9
37,B、
38,7
39,C、
40,5
41,D、
42,3
43,窗体底端
44,我的答案：D
45,4
46,“液滴模型”是谁提出来的？（）
47,1.0 分
48,窗体顶端
49,A、
50,哈恩
51,B、
52,麦特娜
53,C、
54,约里奥夫妇
55,D、
56,波尔
57,窗体底端
58,我的答案：D
59,5
60,著名天文学家哈勃是哪个国家的人？（）
61,1.0 分
62,窗体顶端
63,A、
64,苏联
65,B、
66,英国
67,C、
68,美国
69,D、
70,意大利
71,窗体底端
72,我的答案：C
73,6
74,时空隧道可能会影响
75,1.0 分
76,窗体顶端
77,A、
78,同一律
79,B、
80,排中律
81,C、
82,矛盾律
83,D、
84,因果律
85,窗体底端
86,我的答案：D
87,7
88,以下哪位是开普勒的老师？（）
89,1.0 分
90,窗体顶端
91,A、
92,伽利略
93,B、
94,第谷
95,C、
96,布鲁诺
97,D、
98,牛顿
99,窗体底端
100,我的答案：B
101,8
102,"""无条件投降“概念是谁提出来的？（）"
103,1.0 分
104,窗体顶端
105,A、
106,斯大林
107,B、
108,丘吉尔
109,C、
110,蒋介石
111,D、
112,罗斯福
113,窗体底端
114,我的答案：D
115,9
116,物理学家拉普拉斯是哪个国家的人？（）
117,1.0 分
118,窗体顶端
119,A、
120,德国
121,B、
122,英国
123,C、
124,奥地利
125,D、
126,法国
127,窗体底端
128,我的答案：D
129,10
130,下面哪项不属于电磁学定律？（）
131,1.0 分
132,窗体顶端
133,A、
134,库仑定律
135,B、
136,安培定律
137,C、
138,能斯特定理
139,D、
140,电磁感应定律
141,窗体底端
142,我的答案：C
143,11
144,以下哪个人没有提出“热力学第二定律”？（）
145,1.0 分
146,窗体顶端
147,A、
148,卡诺
149,B、
150,克劳修斯
151,C、
152,迈尔
153,D、
154,詹姆逊
155,窗体底端
156,我的答案：C
157,12
158,牛顿的遗体葬在哪儿？（）
159,1.0 分
160,窗体顶端
161,A、
162,剑桥大学
163,B、
164,牛津大学
165,C、
166,威斯特敏特
167,D、
168,利物浦
169,窗体底端
170,我的答案：C
171,13
172,第一个获得诺贝尔物理学奖的人是谁？（）
173,1.0 分
174,窗体顶端
175,A、
176,居里夫人
177,B、
178,爱因斯坦
179,C、
180,伦琴
181,D、
182,洛伦兹
183,窗体底端
184,我的答案：C
185,14
186,“惯性起源于遥远星系施加的影响，是一种相互作用”，这是什么原理？（）
187,1.0 分
188,窗体顶端
189,A、
190,马赫原理
191,B、
192,等效原理
193,C、
194,惯性原理
195,D、
196,开普勒定律
197,窗体底端
198,我的答案：A
199,15
200,根据大爆炸宇宙模型推算，宇宙年龄大约是多少年？（）
201,1.0 分
202,窗体顶端
203,A、
204,50亿年
205,B、
206,70亿年
207,C、
208,100亿年
209,D、
210,140亿年
211,窗体底端
212,我的答案：D
213,16
214,银河系的直径约多少光年？（）
215,1.0 分
216,窗体顶端
217,A、
218,6万
219,B、
220,8万
221,C、
222,10万
223,D、
224,18万
225,窗体底端
226,我的答案：C
227,17
228,物理学家杨振宁第一任夫人是哪位国军将领的女儿？（）
229,1.0 分
230,窗体顶端
231,A、
232,黄维
233,B、
234,张灵甫
235,C、
236,杜聿明
237,D、
238,陈诚
239,窗体底端
240,我的答案：C
241,18
242,符合狭义相对论的力是
243,1.0 分
244,窗体顶端
245,A、
246,万有引力
247,B、
248,强力
249,C、
250,电磁力
251,D、
252,弱力
253,窗体底端
254,我的答案：C
255,19
256,一个黑洞不能分裂成两个黑洞是因为
257,1.0 分
258,窗体顶端
259,A、
260,黑洞的质量只能随时间增大，不能减小
261,B、
262,黑洞的半径只能随时间增大，不能减小
263,C、
264,黑洞的表面积只能随时间增大，不能减小
265,D、
266,黑洞的体积只能随时间增大，不能减小
267,窗体底端
268,我的答案：C
269,20
270,牛顿在以下哪个理论体系中没有直接贡献？（）
271,1.0 分
272,窗体顶端
273,A、
274,万有引力定理
275,B、
276,色彩理论
277,C、
278,量子理论
279,D、
280,微积分
281,窗体底端
282,我的答案：C
283,21
284,蟹状星云是在多少年发现的？（）
285,1.0 分
286,窗体顶端
287,A、
288,1731年
289,B、
290,1741年
291,C、
292,1751年
293,D、
294,1761年
295,窗体底端
296,我的答案：A
297,22
298,以下不属于伽利略的成就的是
299,1.0 分
300,窗体顶端
301,A、
302,重述惯性定律
303,B、
304,发现万有引力
305,C、
306,阐述相对性原理
307,D、
308,自由落体定律
309,窗体底端
310,我的答案：B
311,23
312,等效原理指的是引力场和（）是等效的
313,1.0 分
314,窗体顶端
315,A、
316,磁场
317,B、
318,电场
319,C、
320,惯性场
321,D、
322,非惯性场
323,窗体底端
324,我的答案：C
325,24
326,以下哪位不是研究量子论的专家
327,1.0 分
328,窗体顶端
329,A、
330,波尔
331,B、
332,玻恩
333,C、
334,索末菲
335,D、
336,希尔伯特
337,窗体底端
338,我的答案：D
339,25
340,“热力学第三定律”的发现者是谁？（）
341,1.0 分
342,窗体顶端
343,A、
344,克劳修斯
345,B、
346,能斯特
347,C、
348,开尔文
349,D、
350,焦耳
351,窗体底端
352,我的答案：B
353,26
354,“洛伦兹变换”最初用来调和19世纪建立起来的经典电动力学同（）的矛盾。
355,1.0 分
356,窗体顶端
357,A、
358,亚里士多德物理学
359,B、
360,伽利略变换
361,C、
362,牛顿力学
363,D、
364,量子力学
365,窗体底端
366,我的答案：C
367,27
368,爱因斯坦得到正确的广义相对论方程得到了哪位数学家的帮助？（）
369,1.0 分
370,窗体顶端
371,A、
372,黎曼
373,B、
374,罗巴切夫斯基
375,C、
376,彭加勒
377,D、
378,希尔伯特
379,窗体底端
380,我的答案：D
381,28
382,哪位科学家没有因为遭到纳粹迫害而逃到他国
383,1.0 分
384,窗体顶端
385,A、
386,波尔
387,B、
388,弗里希
389,C、
390,海森堡
391,D、
392,费米
393,窗体底端
394,我的答案：C
395,29
396,肉眼可以看见的除太阳之外的最亮的恒星是哪一颗？（）
397,1.0 分
398,窗体顶端
399,A、
400,牛郎星
401,B、
402,织女星
403,C、
404,天狼星
405,D、
406,北极星
407,窗体底端
408,我的答案：C
409,30
410,“机遇只钟情于又准备的头脑”，这句话是谁说的？（）
411,1.0 分
412,窗体顶端
413,A、
414,居里夫人
415,B、
416,约里奥夫妇
417,C、
418,卢瑟福
419,D、
420,巴斯德
421,窗体底端
422,我的答案：D
423,31
424,下面哪位数学家没有在哥廷根（格丁根）大学任教？（）
425,1.0 分
426,窗体顶端
427,A、
428,丘成桐
429,B、
430,高斯
431,C、
432,黎曼
433,D、
434,克莱因
435,窗体底端
436,我的答案：A
437,32
438,“双生子佯谬”是谁提出来的？（）
439,1.0 分
440,窗体顶端
441,A、
442,郎之万
443,B、
444,洛伦兹
445,C、
446,庞卡莱
447,D、
448,迈克尔逊
449,窗体底端
450,我的答案：A
451,33
452,银河系中有多少恒星是白矮星
453,1.0 分
454,窗体顶端
455,A、
456,大约一百分之一
457,B、
458,大约五分之一
459,C、
460,大约十分之一
461,D、
462,大约二十分之一
463,窗体底端
464,我的答案：C
465,34
466,“几何之父”指的是谁？（）
467,1.0 分
468,窗体顶端
469,A、
470,牛顿
471,B、
472,莱布尼兹
473,C、
474,黎曼
475,D、
476,欧几里得
477,窗体底端
478,我的答案：D
479,35
480,“给我一个支点，我就可以耗动地球”这句话是谁说的？（）
481,1.0 分
482,窗体顶端
483,A、
484,欧几里得
485,B、
486,阿基米德
487,C、
488,亚里士多德
489,D、
490,伽利略
491,窗体底端
492,我的答案：B
493,36
494,以下哪个人不是“热力学第一定律”的发现者？（）
495,1.0 分
496,窗体顶端
497,A、
498,迈尔
499,B、
500,焦耳
501,C、
502,赫姆霍兹
503,D、
504,能斯特
505,窗体底端
506,我的答案：D
507,37
508,费米因什么研究得到诺贝尔奖
509,1.0 分
510,窗体顶端
511,A、
512,力学
513,B、
514,电磁学
515,C、
516,相对论
517,D、
518,统计物理
519,窗体底端
520,我的答案：D
521,38
522,以下哪个国家不是签订《波茨坦公告》的国家之一？（）
523,1.0 分
524,窗体顶端
525,A、
526,苏联
527,B、
528,中国
529,C、
530,美国
531,D、
532,英国
533,窗体底端
534,我的答案：A
535,39
536,用实验证明了广义相对论正确的爱丁顿是哪个国家的人？（）
537,1.0 分
538,窗体顶端
539,A、
540,德国
541,B、
542,法国
543,C、
544,英国
545,D、
546,意大利
547,窗体底端
548,我的答案：C
549,40
550,哈勃常数
551,1.0 分
552,窗体顶端
553,A、
554,随时间的增加而变大
555,B、
556,随时间的增加而减小
557,C、
558,随距离的增加而增大
559,D、
560,随距离的增加而减小
561,窗体底端
562,我的答案：B
563,41
564,下面哪位科学家提出了“日心说”？（）
565,1.0 分
566,窗体顶端
567,A、
568,伽利略
569,B、
570,牛顿
571,C、
572,哥伦布
573,D、
574,哥白尼
575,窗体底端
576,我的答案：D
577,42
578,素有“东方居里夫人”之称的是谁？（）
579,1.0 分
580,窗体顶端
581,A、
582,吴仪
583,B、
584,吴健雄
585,C、
586,翁帆
587,D、
588,王明贞
589,窗体底端
590,我的答案：B
591,43
592,谁因测量临界质量而牺牲
593,1.0 分
594,窗体顶端
595,A、
596,奥本海默
597,B、
598,费米
599,C、
600,泰勒
601,D、
602,斯洛廷
603,窗体底端
604,我的答案：D
605,44
606,《科学与假设》的作者是谁？（）
607,1.0 分
608,窗体顶端
609,A、
610,爱因斯坦
611,B、
612,波普尔
613,C、
614,牛顿
615,D、
616,彭加勒
617,窗体底端
618,我的答案：D
619,45
620,爱因斯坦的博士论文的主题是
621,1.0 分
622,窗体顶端
623,A、
624,相对论
625,B、
626,布朗运动
627,C、
628,分子大小的测量
629,D、
630,布朗运动
631,窗体底端
632,我的答案：C
633,46
634,唯一利用数学预测而非有计划的观测发现的行星是哪一颗？（）
635,1.0 分
636,窗体顶端
637,A、
638,火星
639,B、
640,天王星
641,C、
642,海王星
643,D、
644,水星
645,窗体底端
646,我的答案：C
647,47
648,以下哪个科学家没有参与中国的原子弹的制造？（）
649,1.0 分
650,窗体顶端
651,A、
652,钱三强
653,B、
654,钱学森
655,C、
656,杨振宁
657,D、
658,何泽慧
659,窗体底端
660,我的答案：C
661,48
662,“SL9”彗星与木箱相撞发生在哪一年？（）
663,1.0 分
664,窗体顶端
665,A、
666,1984年
667,B、
668,1989年
669,C、
670,1992年
671,D、
672,1994年
673,窗体底端
674,我的答案：D
675,49
676,中子星又叫做什么星？（）
677,1.0 分
678,窗体顶端
679,A、
680,黑洞
681,B、
682,白矮星
683,C、
684,黑矮星
685,D、
686,脉冲星
687,窗体底端
688,我的答案：D
689,50
690,第一个测定万有引力常数的是谁？（）
691,1.0 分
692,窗体顶端
693,A、
694,牛顿
695,B、
696,胡可
697,C、
698,开普勒
699,D、
700,卡文迪什
701,窗体底端
702,我的答案：D
703,二、 判断题（题数：50，共 50.0 分）
704,1
705,爱因斯坦提出光量子说之后，普朗克立即表示赞同。
706,1.0 分
707,窗体顶端
708,我的答案： ×
709,窗体底端
710,2
711,开普勒第二定律认为对于任何一个行星来说，它与太阳的连线在相等的时间扫过的面积相等。（）
712,1.0 分
713,窗体顶端
714,我的答案： √
715,窗体底端
716,3
717,天狼星没有伴星。（）
718,1.0 分
719,窗体顶端
720,我的答案： ×
721,窗体底端
722,4
723,视界就是人眼睛能够看到的边界。（）
724,1.0 分
725,窗体顶端
726,我的答案： √
727,窗体底端
728,5
729,丘成桐曾经获得过菲尔兹奖
730,1.0 分
731,窗体顶端
732,我的答案： √
733,窗体底端
734,6
735,泡利是索末菲的学生
736,1.0 分
737,窗体顶端
738,我的答案： √
739,窗体底端
740,7
741,霍金的面积定理认为，黑洞的表面积只能随时间增大，不能减小。（）
742,1.0 分
743,窗体顶端
744,我的答案： √
745,窗体底端
746,8
747,奇性定理认为时间有开始但不会有终结。（）
748,1.0 分
749,窗体顶端
750,我的答案： ×
751,窗体底端
752,9
753,在弯曲的时空中，行星沿直线运动
754,1.0 分
755,窗体顶端
756,我的答案： ×
757,窗体底端
758,10
759,“热力学第零定律”认为如果两个热力学系统中的每一个都与第三个热力学系统处于热平衡，则它们彼此也必定处于热平衡。（）
760,1.0 分
761,窗体顶端
762,我的答案： √
763,窗体底端
764,11
765,薛定谔的波动力学和海森堡的矩阵力学是等价的。（）
766,1.0 分
767,窗体顶端
768,我的答案： √
769,窗体底端
770,12
771,广义相对论不考虑时空弯曲。（）
772,1.0 分
773,窗体顶端
774,我的答案： ×
775,窗体底端
776,13
777,在黎曼几何中圆周率是大于π的。（）
778,1.0 分
779,窗体顶端
780,我的答案： ×
781,窗体底端
782,14
783,热核反应在摄氏800万度就可以实现。（）
784,1.0 分
785,窗体顶端
786,我的答案： ×
787,窗体底端
788,15
789,吴健雄通过实验证明了李政道和杨振宁的“宇称不守恒”理论是错误的。（）
790,1.0 分
791,窗体顶端
792,我的答案： ×
793,窗体底端
794,16
795,人类已经实现了可以受到控制的核聚变。（）
796,1.0 分
797,窗体顶端
798,我的答案： ×
799,窗体底端
800,17
801,杨-巴克斯特方程中，杨振宁搞的是二维的问题
802,1.0 分
803,窗体顶端
804,我的答案： ×
805,窗体底端
806,18
807,真空在洛伦兹变化下是不变的。（）
808,1.0 分
809,窗体顶端
810,我的答案： √
811,窗体底端
812,19
813,黑洞的质量比黑洞的密度更有意义
814,1.0 分
815,窗体顶端
816,我的答案： √
817,窗体底端
818,20
819,光学上的“波动说”是由牛顿提出来的。（）
820,1.0 分
821,窗体顶端
822,我的答案： ×
823,窗体底端
824,21
825,爱因斯坦曾上书美国总统罗斯福建议制造原子弹
826,1.0 分
827,窗体顶端
828,我的答案： √
829,窗体底端
830,22
831,木星的密度比地球大
832,1.0 分
833,窗体顶端
834,我的答案： ×
835,窗体底端
836,23
837,暗黑被叫做黑洞是在上个世纪60年代。（）
838,1.0 分
839,窗体顶端
840,我的答案： √
841,窗体底端
842,24
843,我们能看见退行速度比光速快的星系。（）
844,1.0 分
845,窗体顶端
846,我的答案： √
847,窗体底端
848,25
849,奥本海默曾是普林斯顿高级研究所的所长。（）
850,1.0 分
851,窗体顶端
852,我的答案： √
853,窗体底端
854,26
855,引力波是狭义相对论的预言
856,1.0 分
857,窗体顶端
858,我的答案： ×
859,窗体底端
860,27
861,薛定谔是美籍华裔物理学家，概率波动力学的创始人。（）
862,1.0 分
863,窗体顶端
864,我的答案： ×
865,窗体底端
866,28
867,欧洲奴隶社会比中国时间长，中国封建社会比西方时间长。
868,1.0 分
869,窗体顶端
870,我的答案： √
871,窗体底端
872,29
873,爱因斯坦任职的第一个大学是格丁根大学。（）
874,1.0 分
875,窗体顶端
876,我的答案： ×
877,窗体底端
878,30
879,外尔的规范场实际是相因子场
880,1.0 分
881,窗体顶端
882,我的答案： √
883,窗体底端
884,31
885,费米是个瘸子
886,1.0 分
887,窗体顶端
888,我的答案： ×
889,窗体底端
890,32
891,等效原理分为弱等效原理和强等效原理。（）
892,1.0 分
893,窗体顶端
894,我的答案： √
895,窗体底端
896,33
897,诺贝尔奖是可以授予给死去的人。（）
898,1.0 分
899,窗体顶端
900,我的答案： ×
901,窗体底端
902,34
903,数学家希尔伯特和闵可夫斯基是小学同学。（）
904,1.0 分
905,窗体顶端
906,我的答案： √
907,窗体底端
908,35
909,冥王星不再被认为是大行星
910,1.0 分
911,窗体顶端
912,我的答案： √
913,窗体底端
914,36
915,爱因斯坦大学毕业的时候没有文凭
916,1.0 分
917,窗体顶端
918,我的答案： ×
919,窗体底端
920,37
921,广义相对论限定了时间的方向。（）
922,1.0 分
923,窗体顶端
924,我的答案： ×
925,窗体底端
926,38
927,等效原理在大的空间范围内也是成立的。（）
928,1.0 分
929,窗体顶端
930,我的答案： ×
931,窗体底端
932,39
933,居里夫人一生获得了两次诺贝尔物理学奖。（）
934,1.0 分
935,窗体顶端
936,我的答案： ×
937,窗体底端
938,40
939,牛顿的认同伽利略的相对性原理，没有绝对时空观。
940,1.0 分
941,窗体顶端
942,我的答案： ×
943,窗体底端
944,41
945,伽利略认为斜面上的运动是冲淡了的自由落体运动。（）
946,1.0 分
947,窗体顶端
948,我的答案： √
949,窗体底端
950,42
951,李政道和杨振宁提出了“宇称不守恒”理论。（）
952,1.0 分
953,窗体顶端
954,我的答案： √
955,窗体底端
956,43
957,牛顿认为存在绝对的空间和绝对的时间。（）
958,1.0 分
959,窗体顶端
960,我的答案： √
961,窗体底端
962,44
963,爱因斯坦认为广义相对论可以用于原子现象的研究。（）
964,1.0 分
965,窗体顶端
966,我的答案： ×
967,窗体底端
968,45
969,波尔创立的哥本哈根理论物理研究所设立在德国波恩。（）
970,1.0 分
971,窗体顶端
972,我的答案： ×
973,窗体底端
974,46
975,信仰东正教的主要是斯拉夫民族。（）
976,1.0 分
977,窗体顶端
