,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,罗杰·彭罗斯是哪个国家的人？（）
3,1.0 分
4, 
5,    A、
6,    法国
7,    B、
8,    德国
9,    C、
10,    美国
11,    D、
12,    英国
13, 
14,正确答案： D 我的答案：D
15,2
16,牛顿的遗体葬在哪儿？（）
17,1.0 分
18, 
19,    A、
20,    剑桥大学
21,    B、
22,    牛津大学
23,    C、
24,    威斯特敏特
25,    D、
26,    利物浦
27, 
28,正确答案： C 我的答案：C
29,3
30,第一次完成环球航行的航海家是谁？（）
31,1.0 分
32, 
33,    A、
34,    马可波罗
35,    B、
36,    郑和
37,    C、
38,    哥伦布
39,    D、
40,    麦哲伦
41, 
42,正确答案： D 我的答案：D
43,4
44,宗教改革首先发生在哪个国家？（）
45,1.0 分
46, 
47,    A、
48,    德国
49,    B、
50,    英国
51,    C、
52,    美国
53,    D、
54,    意大利
55, 
56,正确答案： A 我的答案：A
57,5
58,现代化学的元素周期律是谁发现的？（）
59,1.0 分
60, 
61,    A、
62,    门捷列夫
63,    B、
64,    道尔顿
65,    C、
66,    诺贝尔
67,    D、
68,    纽兰兹
69, 
70,正确答案： A 我的答案：A
71,6
72,四种基本相互作用中尚未被规范场理论统一的是
73,1.0 分
74, 
75,    A、
76,    电磁相互作用
77,    B、
78,    强相互作用
79,    C、
80,    弱相互作用
81,    D、
82,    万有引力
83, 
84,正确答案： D 我的答案：D
85,7
86,最早记载牛顿和苹果故事的是
87,1.0 分
88, 
89,    A、
90,    伏尔泰
91,    B、
92,    卢梭
93,    C、
94,    霍布斯
95,    D、
96,    胡克
97, 
98,正确答案： A 我的答案：A
99,8
100,郑和下西洋是在哪个朝代？（）
101,1.0 分
102, 
103,    A、
104,    宋
105,    B、
106,    元
107,    C、
108,    唐
109,    D、
110,    明
111, 
112,正确答案： D 我的答案：D
113,9
114,下面哪个人与牛顿没有学术上的矛盾产生？（）
115,1.0 分
116, 
117,    A、
118,    胡克
119,    B、
120,    弗拉姆斯蒂德
121,    C、
122,    莱布尼兹
123,    D、
124,    哈雷
125, 
126,正确答案： D 我的答案：D
127,10
128,第一个获得诺贝尔物理学奖的人是谁？（）
