,题目
0,1
1,建立了实数系统一基础的是哪位数学家?（）
2,1.0 分
3,窗体顶端
4,A、
5,柯西
6, 
7,B、
8,牛顿
9, 
10,C、
11,戴德金
12, 
13,D、
14,庞加莱
15, 
16,窗体底端
17,我的答案：C
18,2
19,求不定积分 ？()
20,1.0 分
21,窗体顶端
22,A、
23,
24, 
25,B、
26,
27, 
28,C、
29,
30, 
31,D、
32,
33, 
34,窗体底端
35,我的答案：A
36,3
37,微分思想与积分思想谁出现得更早些？（）
38,1.0 分
39,窗体顶端
40,A、
41,微分
42, 
43,B、
44,积分
45, 
46,C、
47,同时出现
48, 
49,D、
50,不确定
51, 
52,窗体底端
53,我的答案：B
54,4
55, 
56,1.0 分
57,窗体顶端
58,A、
59,用平衡法去求面积
60, 
61,B、
62,用穷竭法去证明
63, 
64,C、
65,先用平衡法求解面积，再用穷竭法加以证明
66, 
67,D、
68,先用穷竭法求解面积，再用平衡法加以证明
69, 
70,窗体底端
71,我的答案：C
72,5
73,设 ，下列不等式正确的是（）。
74,1.0 分
75,窗体顶端
76,A、
77,
78, 
79,B、
80,
81, 
82,C、
83,
84, 
85,D、
86,
87, 
88,窗体底端
89,我的答案：A
90,6
91,方程 在 上是否有实根？
92,1.0 分
93,窗体顶端
94,A、
95,没有
96, 
97,B、
98,至少有1个
99, 
100,C、
101,至少有3个
102, 
103,D、
104,不确定
105, 
106,窗体底端
107,我的答案：B
108,7
109,如果在 上， ，则 与 的大小（）。
110,0.0 分
111,窗体顶端
112,A、
113,= 
114, 
115,B、
116,  
117, 
118,C、
119,  
120, 
121,D、
122,不确定
123, 
124,窗体底端
125,我的答案：C
126,8
127,假如你正在一个圆形的公园里游玩，手里的公园地图掉在了地上，问：此时你能否在地图上找到一点，使得这个点下面的地方刚好就是它在地图上所表示的位置？（）
128,1.0 分
129,窗体顶端
130,A、
131,有
132, 
133,B、
134,没有
135, 
136,C、
137,需要考虑具体情况
138, 
139,D、
140,尚且无法证明
141, 
142,窗体底端
143,我的答案：A
144,9
145,求不定积分 ？（）
146,1.0 分
147,窗体顶端
148,A、
149,
150, 
151,B、
152,
153, 
154,C、
155,
156, 
157,D、
158,
159, 
160,窗体底端
161,我的答案：B
162,10
163,函数 在区间_____上连续？
164,0.0 分
165,窗体顶端
166,A、
167,
168, 
169,B、
170,
171, 
172,C、
173,
174, 
175,D、
176,
177, 
178,窗体底端
179,我的答案：D
180,11
181,求不定积分 ？（）
182,1.0 分
183,窗体顶端
184,A、
185,
186, 
187,B、
188,
189, 
190,C、
191,
192, 
193,D、
194,
195, 
196,窗体底端
197,我的答案：B
198,12
199,下列哪个是孪生数对?（）
200,1.0 分
201,窗体顶端
202,A、
203,（17，19）
204, 
205,B、
206,（11，17）
207, 
208,C、
209,（11，19）
210, 
211,D、
212,（7，9）
213, 
214,窗体底端
215,我的答案：A
216,13
217,不求出函数 的导数，说明方程 有（）个实根。
218,1.0 分
219,窗体顶端
220,A、
221,1
222, 
223,B、
224,2
225, 
226,C、
227,3
228, 
229,D、
230,4
231, 
232,窗体底端
233,我的答案：C
234,14
235,下列在闭区间 上的连续函数，一定能够在 上取到零值的是？（）
236,1.0 分
237,窗体顶端
238,A、
239,
240, 
241,B、
242,
243, 
244,C、
245,
246, 
247,D、
248,
249, 
250,窗体底端
251,我的答案：C
252,15
