,题目
0, 
1, 
2,1
3,1.0 分
4,窗体顶端
5,A、
6,贵人
7, 
8,B、
9,医药
10, 
11,C、
12,僧巫
13, 
14,D、
15,地仙
16, 
17,窗体底端
18,正确答案： A 我的答案：A
19,2
20,1.0 分
21,窗体顶端
22,A、
23,绿营兵
24, 
25,B、
26,淮军
27, 
28,C、
29,湘军
30, 
31,D、
32,太平军
33, 
34,窗体底端
35,正确答案： D 我的答案：D
36,3
37,1.0 分
38,窗体顶端
39,A、
40,晚清大臣
41, 
42,B、
43,道光进士
44, 
45,C、
46,《倭文瑞公遗书》
47, 
48,D、
49,藏族人
50, 
51,窗体底端
52,正确答案： D 我的答案：D
53,4
54,1.0 分
55,窗体顶端
56,A、
57,习武明志
58, 
59,B、
60,敬
61, 
62,C、
63,静坐
64, 
65,D、
66,读书不二
67, 
68,窗体底端
69,正确答案： A 我的答案：A
70,5
71,1.0 分
72,窗体顶端
73,A、
74,叶祖珪
75, 
76,B、
77,严复
78, 
79,C、
80,容闳
81, 
82,D、
83,伍廷芳
84, 
85,窗体底端
86,正确答案： C 我的答案：C
87,6
88,1.0 分
89,窗体顶端
90,A、
91,叔侄
92, 
93,B、
94,兄弟
95, 
96,C、
97,祖孙
98, 
99,D、
100,父子
101, 
102,窗体底端
103,正确答案： C 我的答案：C
104,7
105,1.0 分
106,窗体顶端
107,A、
108,初名李以文
109, 
110,B、
111,广东人
112, 
113,C、
114,太平天国运动著名将领
115, 
116,D、
117,出身农民家庭
118, 
119,窗体底端
120,正确答案： B 我的答案：B
121,8
122,1.0 分
123,窗体顶端
124,A、
125,1886年
126, 
127,B、
128,1876年
129, 
130,C、
131,1866年
132, 
133,D、
134,1856年
135, 
136,窗体底端
137,正确答案： D 我的答案：D
138,9
139,1.0 分
140,窗体顶端
141,A、
142,何炳棣
143, 
144,B、
145,赵烈文
146, 
147,C、
148,雷海宗
149, 
150,D、
151,陈梦家
152, 
153,窗体底端
154,正确答案： C 我的答案：C
155,10
156,1.0 分
157,窗体顶端
158,A、
159,团结兵民
160, 
161,B、
162,兴兵之计
163, 
164,C、
165,连坐之法
166, 
167,D、
168,保甲之法
169, 
170,窗体底端
171,正确答案： D 我的答案：D
172,11
173,1.0 分
174,窗体顶端
175,A、
176,赵烈文
177, 
178,B、
179,覃梓珊
180, 
181,C、
182,刘坤一
183, 
184,D、
185,刘义坤
186, 
187,窗体底端
188,正确答案： A 我的答案：A
189,12
190,1.0 分
191,窗体顶端
192,A、
193,文恭
194, 
195,B、
196,文恪
197, 
198,C、
199,文忠
200, 
201,D、
202,文正
203, 
204,窗体底端
205,正确答案： D 我的答案：D
206,13
207,1.0 分
208,窗体顶端
209,A、
210,1886年
211, 
212,B、
213,1876年
214, 
215,C、
216,1866年
217, 
218,D、
219,1856年
220, 
221,窗体底端
222,正确答案： D 我的答案：D
