,题目
0,姓名：   班级：默认班级   成绩： 100.0分
1,一、 单选题（题数：50，共 50.0 分）
2,1（）被认为是李斯特作为结构建筑艺术家的代表作。
3,A、
4,《C大调幻想曲》
5,B、
6,《爱之梦》
7,C、
8,《b小调奏鸣曲》
9,D、
10,《匈牙利狂想曲》
11,我的答案：C
12,2李斯特创作的交响诗有（）。
13,A、
14,《前奏曲》
15,B、
16,《山中所闻》
17,C、
18,《普罗米修斯》
19,D、
20,以上都是
21,我的答案：D
22,3前奏曲《雨滴》是由（）创作的。
23,A、
24,柴可夫斯基
25,B、
26,肖邦
27,C、
28,莫扎特
29,D、
30,巴托尔迪
31,我的答案：B
32,4既能消除嫉妒、疑惑又能排除心底淤塞的音乐作品是（）。
33,A、
34,《威廉退尔》序曲
35,B、
36,《安魂曲》
37,C、
38,《婚礼之日》
39,D、
40,《芬兰颂》
41,我的答案：D
42,5《众神的黄昏》是（）创作的。
43,A、
44,勃拉姆斯
45,B、
46,李斯特
47,C、
48,莫扎特
49,D、
50,瓦格纳
51,我的答案：D
52,618世纪中后期（）音乐家开始歌剧改革，将剧情因素引入了序曲。
53,A、
54,美国
55,B、
56,法国
57,C、
58,德国
59,D、
60,意大利
61,我的答案：C
62,7莫扎特的歌剧作品中，被称为德语歌剧的标志是（）。
63,A、
64,《狄托的仁慈》
65,B、
66,《伊多梅纽斯》
67,C、
68,《魔笛》
69,D、
70,《女人心》
71,我的答案：C
72,8“真比美重要，美更多的是一种诱惑”是（）的观点。
73,A、
74,伯恩斯坦
75,B、
76,卡洛斯·克莱伯
77,C、
78,切利比达克
79,D、
80,卡拉扬
81,我的答案：C
82,9古典音乐中（）是等级最高的乐器。
83,A、
84,钢琴
85,B、
86,小提琴
87,C、
88,大提琴
89,D、
90,中提琴
91,我的答案：B
92,10作品（）被看作是勃拉姆斯的“田园”。
93,A、
94,《第一交响曲》
95,B、
96,《第二交响曲》
97,C、
98,《第五交响曲》
99,D、
100,《第六交响曲》
101,我的答案：B
102,11对《女人心》中通过两个女孩的二重唱所体现的作用表述错误的是（）。
103,A、
104,可以发现她们是情敌
105,B、
106,她们是没见过什么世面的女仆
107,C、
108,说明她们很有自己的主见
109,D、
110,形象描绘了她们爱上两位乔装男子的过程
111,我的答案：D
112,12在音乐创作中使两条或者更多条相互独立的旋律同时发声并且彼此融洽的技术称为（）。
113,A、
114,对比法
115,B、
116,模仿
117,C、
118,和声
119,D、
120,对位法
121,我的答案：D
122,13对克拉拉评价表述错误的是（）。
123,A、
124,睿智
125,B、
126,说话直爽
127,C、
128,孤僻
129,D、
130,勇敢
131,我的答案：C
132,14“维也纳三杰”分别是（）。
133,A、
134,海顿、莫扎特、巴赫
135,B、
136,莫扎特、巴赫、贝多芬
137,C、
138,海顿、莫扎特、贝多芬
139,D、
140,莫扎特、贝多芬、巴赫
141,我的答案：C
142,15《春天交响曲》的灵感来自于（）的诗句。
143,A、
144,歌德
145,B、
146,贝特格
147,C、
148,盖贝尔
149,D、
150,里尔克
151,我的答案：B
152,16被尊称为“西方‘现代音乐’之父”的大师是（）。
153,A、
154,莫扎特
155,B、
156,贝多芬
157,C、
158,巴赫
159,D、
160,柴可夫斯基
161,我的答案：C
162,17关于钢琴家需要具备的要素描述错误的是（）。
163,A、
164,要有活动能力
165,B、
166,身体机能的弹性虽没有要求，但是协调能力要强
167,C、
168,有情感的力度，天生的渲染力
169,D、
170,有气场
171,我的答案：B
172,18音乐结构中自然法则不包括（）。
173,A、
174,呈示
175,B、
176,发展
177,C、
178,再现
179,D、
180,升华
181,我的答案：D
182,19与新德意志乐派之争的导火线是勃拉姆斯创作了（）。
183,A、
184,《风景明信片》
185,B、
186,《哥德堡变奏曲》
187,C、
188,《德意志安魂曲》
189,D、
190,《舒曼变奏曲》
191,我的答案：C
192,20舒曼“浪漫主义钢琴曲”的开山之作是（）。
193,A、
194,《春天交响曲》
195,B、
196,《蝴蝶》
197,C、
198,《童年情景》
199,D、
200,《狂欢节》
201,我的答案：D
202,21继舒伯特之后，德国艺术套曲的巅峰之作是（）。
203,A、
204,《图画展览会》
205,B、
206,《诗人之恋》
207,C、
208,《狂欢节》
209,D、
210,《四季》
211,我的答案：B
212,22对《卡门》中的人物特点描述错误的是（）。
213,A、
214,复杂
215,B、
216,真实
217,C、
218,平面
219,D、
220,可信
221,我的答案：C
222,23咏叹调《谢吉第亚舞曲》是（）的民间舞曲。
223,A、
224,德国
225,B、
226,法国
227,C、
228,俄罗斯
229,D、
230,西班牙
231,我的答案：D
232,24《你们可知道，什么是爱情》中凯鲁比诺的咏叹调，这个人物一般由（）演唱和扮演。
233,A、
234,女高音
235,B、
236,男高音
237,C、
238,女中音
239,D、
240,男低音
241,我的答案：C
242,25通常用于表达角色感情，带旋律结构的唱段是（）。
243,A、
244,宣叙调
245,B、
246,咏叹调
247,C、
248,朗诵调
249,D、
250,干宣叙调
251,我的答案：B
252,26在跑步时特别推荐俄罗斯的音乐，是因为（）。
253,A、
254,节奏感强
255,B、
256,听的时候会有画面感
257,C、
258,可以增加跑步的热情
259,D、
260,有一种催眠的作用
261,我的答案：B
262,27D大调《第一号小夜曲》有六个乐章，（）在节奏和和声上纤细、难以捉摸。
263,A、
264,极快板
265,B、
266,第一首谐谑曲
267,C、
268,小步舞曲
269,D、
270,回旋曲
271,我的答案：B
272,28莫扎特早期作品的风格特点是（）。
273,A、
274,旋律结构较长
275,B、
276,旋律简洁清晰
277,C、
278,结构规整
279,D、
280,巴洛克风格
281,我的答案：D
282,29《c 小调长笛协奏曲》的创作者是（）。
283,A、
284,克万茨
285,B、
286,柯勒
287,C、
