,题目
0, 
1,1
2,中项都处于主项位置的时候是三段论的第（）格
3,1.0 分
4,窗体顶端
5,A、
6,一
7, 
8,B、
9,四
10, 
11,C、
12,二
13, 
14,D、
15,三
16, 
17,窗体底端
18,正确答案： D 我的答案：D
19,2
20,理由虚假违反
21,1.0 分
22,窗体顶端
23,A、
24,同一律
25, 
26,B、
27,矛盾律
28, 
29,C、
30,排中律
31, 
32,D、
33,充足理由律
34, 
35,窗体底端
36,正确答案： D 我的答案：D
37,3
38,矛盾论是谁创造的？
39,1.0 分
40,窗体顶端
41,A、
42,笛卡尔
43, 
44,B、
45,托马斯
46, 
47,C、
48,莱布尼茨
49, 
50,D、
51,安特尔穆
52, 
53,窗体底端
54,正确答案： C 我的答案：C
55,4
56,“张三会弹钢琴 并且会弹吉他。”以下那个不能反驳这句话
57,1.0 分
58,窗体顶端
59,A、
60,张三既不会钢琴，也不会吉他。
61, 
62,B、
63,张三会钢琴但不会吉他。
64, 
65,C、
66,张三会小提琴。
67, 
68,D、
69,张三会吉他但不会钢琴。
70, 
71,窗体底端
72,正确答案： C 我的答案：C
73,5
74,“我思故我在”是（）的名言
75,1.0 分
76,窗体顶端
77,A、
78,莱布尼茨
79, 
80,B、
81,笛卡尔
82, 
83,C、
84,黑格尔
85, 
86,D、
87,巴门尼德
88, 
89,窗体底端
90,正确答案： B 我的答案：B
91,6
92,北京市1990年人均期望寿命()岁
93,1.0 分
94,窗体顶端
95,A、
96,72
97, 
98,B、
99,73
100, 
101,C、
102,83
103, 
104,D、
105,84
106, 
107,窗体底端
108,正确答案： B 我的答案：B
109,7
110,IO推不出结论是犯了什么错误？
111,1.0 分
112,窗体顶端
113,A、
114,小项不当周延
115, 
116,B、
117,中项两侧不周延
118, 
119,C、
120,缺项
121, 
122,D、
123,大项不当周延
124, 
125,窗体底端
126,正确答案： D 我的答案：D
127,8
128,反驳在结构上分为（）？
129,1.0 分
130,窗体顶端
131,A、
132,反驳的论题，反驳的论据，反驳的方式
133, 
134,B、
135,被反驳的论题，反驳的论据，被反驳的方式
136, 
137,C、
138,被反驳的论题，用来反驳的论据，反驳的方式
139, 
140,D、
141,被反驳的论题，用来反驳的论据，被反驳的方式
142, 
143,窗体底端
144,正确答案： C 我的答案：C
145,9
146,矛盾的语句之间必
147,1.0 分
148,窗体顶端
149,A、
150,同真
151, 
152,B、
153,一真一假
154, 
155,C、
156,同假
157, 
158,D、
159,以上都对
160, 
161,窗体底端
162,正确答案： B 我的答案：B
163,10
164,以下那句话不是判定三段论规则的总结？
165,1.0 分
166,窗体顶端
167,A、
168,中有周延词项三
169, 
170,B、
171,大项小项不扩展
172, 
173,C、
174,一特得否特得特
175, 
176,D、
177,否特成双结论难
178, 
179,窗体底端
180,正确答案： C 我的答案：C
181,11
182,“不同假，可同真”是什么关系？
183,1.0 分
184,窗体顶端
185,A、
186,矛盾关系
187, 
188,B、
189,反对关系
190, 
191,C、
192,下反对关系
193, 
194,D、
195,从属关系
196, 
197,窗体底端
198,正确答案： C 我的答案：C
199,12
200,任何一个逻辑证明都是由什么构成的？
201,1.0 分
202,窗体顶端
203,A、
204,论题，论据，论证方式
205, 
206,B、
207,论题，假设，结论
208, 
209,C、
210,论题，论据，结构
211, 
212,D、
213,假设，论据，结论
214, 
215,窗体底端
216,正确答案： A 我的答案：A
217,13
218,间接证明法都包括哪些？
219,1.0 分
220,窗体顶端
221,A、
222,求同法
223, 
224,B、
225,求异法
226, 
227,C、
228,求同法和反证法
229, 
230,D、
231,反证法和选言证法
232, 
233,窗体底端
234,正确答案： D 我的答案：D
235,14
236,“…经历了萧条之后的企业主大都丧失了经商的信心，他们尽可能地推迟雇佣新员工”，最能支持下面哪个结论？
237,1.0 分
238,窗体顶端
239,A、
240,经济复苏不一定能迅速减少失业人数
241, 
242,B、
243,萧条之后的复苏至少需要两三年
244, 
245,C、
246,萧条期的失业大军主要由倒闭的企业的职工组成
247, 
248,D、
249,萧条期通常是由企业主丧失经商自信引起的
250, 
251,窗体底端
252,正确答案： A 我的答案：A
253,15
254,逻辑推理能力是建立在什么基础之上的？
255,1.0 分
256,窗体顶端
257,A、
258,智力
259, 
260,B、
261,为人处事
262, 
263,C、
264,观察能力
265, 
266,D、
267,分析能力
268, 
269,窗体底端
270,正确答案： C 我的答案：C
271,16
272,“哺乳动物是不会灭绝的，东北虎是哺乳动物，所以东北虎不会灭绝”对于这个推理，下列哪项为真？
273,1.0 分
274,窗体顶端
275,A、
276,这个推理是错误的，因为它的结论是错误的
277, 
278,B、
279,这个推理是错误的，因为它违反同一律
280, 
281,C、
