,题目
0,
1,1被倪瓒评价为“笔力能扛鼎五百年来无此君”的人是（）。
2,1.0分
3,A、王维
4,B、马远
5,C、王蒙
6,D、李唐
7,窗体底端
8,窗体顶端
9,正确答案：C
10,窗体底端
11,2五岳中，在古代地位最高的山是（）。
12,1.0分
13,A、泰山
14,B、华山
15,C、衡山
16,D、嵩山
17,窗体底端
18,窗体顶端
19,正确答案：A
20,窗体底端
21,3“光的三原色”不包括以下哪种颜色？（）
22,A、红
23,B、绿
24,C、黄
25,D、蓝
26,窗体底端
27,窗体顶端
28,正确答案：C
29,窗体底端
30,4后印象主义的代表人物不包括（）。
31,1.0分
32,A、塞尚
33,B、德拉克洛瓦
34,C、高更
35,D、梵高
36,窗体底端
37,窗体顶端
38,正确答案：B
39,窗体底端
40,5宋徽宗的《芙蓉锦鸡图》被以下哪个机构收藏？（）
41,A、台北故宫博物院
42,B、大英博物馆
43,C、北京故宫博物馆
44,D、美国大都会博物馆
45,窗体底端
46,窗体顶端
47,正确答案：C
48,窗体底端
49,6在《林泉高致》中，将自然山水分为了四类，以下哪项不属于这四类？（）
50,A、可游者
51,B、可望者
52,C、可行者
53,D、可画者
54,窗体底端
55,窗体顶端
56,正确答案：D
57,窗体底端
58,7汪珂玉在《珊瑚网》中，将笔描线条的方式分为了（）种。
59,A、10
60,B、15
61,C、18
62,D、30
63,窗体底端
64,窗体顶端
65,正确答案：C
66,窗体底端
67,8关于宋代山水画，下列说法不正确的是（）。
68,A、李成和范宽是北宋初期山水画家代表
69,"B、宋代是山水画走向全面成熟,名家辈出的时期"
70,C、山水画尚未变成一个独立的画种
71,D、“荆关董巨”分别开创、继承了南北山水画派
72,窗体底端
73,窗体顶端
74,正确答案：C
75,窗体底端
76,9《叼烟斗的男子》这一作品中所绘的人物是（）。
77,A、罗丹
78,B、徐光启
79,C、梵高
80,D、库尔贝
81,窗体底端
82,窗体顶端
83,正确答案：D
84,窗体底端
85,10《宣和画谱》是在以下哪个皇帝在位时期完成的？（）
86,A、宋仁宗
87,B、宋神宗
88,C、宋徽宗
89,D、宋哲宗
90,窗体底端
91,窗体顶端
92,正确答案：C
93,窗体底端
94,11王蒙的《葛稚川移居图》中，所绘的山是（）。
95,A、终南山
96,B、青城山
97,C、衡山
98,D、罗浮山
99,窗体底端
100,窗体顶端
101,正确答案：D
102,窗体底端
103,12在明代地位最高的山的（）。
104,A、武当山
105,B、泰山
106,C、嵩山
107,D、青城山
108,窗体底端
109,窗体顶端
110,正确答案：A
111,窗体底端
112,13绘画具有“大抵精于设色，浓艳如生”这一特点的人是（）。
113,A、徐渭
114,B、汤垕
115,C、边鸾
116,D、韩熙载
117,窗体底端
118,窗体顶端
119,正确答案：C
120,窗体底端
121,14《历代名画记》的作者是？（）
122,A、范宽
123,B、朱景玄
124,C、吴道子
125,D、张彦远
126,窗体底端
127,窗体顶端
128,正确答案：D
129,窗体底端
130,15敦煌壁画中的蓝色颜料，我们可以推测它来自于以下哪个国家？（）
131,A、日本
132,B、暹罗
133,C、阿富汗
134,D、印度
135,窗体底端
136,窗体顶端
137,正确答案：C
138,窗体底端
139,16自号“江南第一风流才子”的人是（）。
140,A、唐寅
141,B、沈周
142,C、文徵明
143,D、仇英
144,窗体底端
145,窗体顶端
146,正确答案：A
147,窗体底端
148,17《跨越阿尔卑斯山圣伯纳隘道的拿破仑》一画的创作者是（）。
149,A、欧仁·德拉克罗瓦
150,B、雅克·路易·大卫
151,C、伦勃朗
152,D、安东尼·凡·戴克
153,窗体底端
154,窗体顶端
155,正确答案：B
156,窗体底端
157,18下列关于康定斯基的描述中，不正确的是（）。
158,A、抽象艺术的先驱
159,B、既是画家，也是美术理论家
160,C、法国人
161,D、画作强调色彩和线条形状
162,窗体底端
163,窗体顶端
164,正确答案：C
165,窗体底端
166,19下列关于格列柯的说法中，错误的一项是（）。
167,A、长期在西班牙生活
168,B、作品中带有不安躁动与病态的情绪
169,C、在他所在的时代受到了贵族的追捧
170,D、画作反映了16世纪下半叶动荡的西班牙社会
171,窗体底端
172,窗体顶端
173,正确答案：C我的答案：C
174,窗体底端
175,20《呐喊》是以下哪位画家的代表作？（）
176,A、米罗
177,B、毕加索
178,C、蒙克
179,D、达利
180,窗体底端
181,窗体顶端
182,正确答案：C
183,窗体底端
184,21夏圭的山水画构图强调近景突出，远景清淡，被称为（）。
185,A、夏一角
186,B、夏半边
187,C、夏远山
188,D、夏巨山
189,窗体底端
190,窗体顶端
191,正确答案：B我的答案：B
192,窗体底端
193,22以下画家中，不属于印象派画家的是（）。
194,A、马奈
195,B、莫奈
196,C、塞尚
197,D、库尔贝
198,窗体底端
199,窗体顶端
200,正确答案：D
201,窗体底端
202,23祠堂不具备以下哪种功能？（）
203,A、供奉祖先
204,B、教育后人
205,C、为表演唱戏提供场所
206,D、纪念先人
207,窗体底端
208,窗体顶端
209,正确答案：C
210,窗体底端
211,24野兽主义承袭了以下哪个画派的艺术特点？（）
212,A、新古典主义画派
213,B、弗洛伦萨画派
214,C、威尼斯画派
215,D、后印象主义画派
216,窗体底端
217,窗体顶端
218,正确答案：D
219,窗体底端
220,25认为“五色令人目盲；五音令人耳聋”的人是（）。
221,A、孟子
222,B、墨子
223,C、荀子
224,D、老子
225,窗体底端
226,窗体顶端
227,正确答案：D我的答案：D
228,窗体底端
229,26中国目前最高等级的艺术研究机构是（）。
230,A、中国美术学院
231,B、中国油画院
232,C、中国艺术研究院
233,D、中国画院
234,窗体底端
235,窗体顶端
236,正确答案：C我的答案：C
237,窗体底端
238,27古代画家张叔厚的笔描方式属于以下哪种？（）
239,A、高古游丝描
240,B、琴弦描
241,C、行云流水描
242,D、铁线描
243,窗体底端
244,窗体顶端
245,正确答案：D我的答案：D
246,窗体底端
247,28古代最容易获得的颜料中，不包括以下哪种色彩？（）
248,A、黑色
249,B、蓝色
250,C、红色
251,D、褐色
252,窗体底端
253,窗体顶端
254,正确答案：B我的答案：A
255,窗体底端
256,29关于佛罗伦萨画派，下列说法不正确的是（）。
257,A、意大利文艺复兴时代形成的美术流派
258,B、马萨乔是该派的代表人物
259,C、起源于意大利威尼斯
260,D、侧重表现宗教题材
261,窗体底端
262,窗体顶端
263,正确答案：C
264,窗体底端
265,30关于元代画家吴镇，下列说法正确的是（）。
266,A、最擅长花鸟画
267,B、出身显赫
268,C、在文人中有颇高的名望与人气
269,D、喜作渔父图，有清旷野逸之趣
270,窗体底端
271,窗体顶端
272,正确答案：D
273,窗体底端
274,31陵墓的雕刻一般位于陵墓的哪一方位？（）
275,A、左右两侧
276,B、地面
277,C、后方
278,D、前方
279,窗体底端
280,窗体顶端
281,正确答案：D
282,窗体底端
283,32提出绘画“妙在似与不似之间”的是()。
284,A、徐悲鸿
285,B、齐白石
286,C、范增
287,D、李苦禅
288,窗体底端
289,窗体顶端
290,正确答案：B
291,窗体底端
292,33关于《最后的晚餐》，下列说法不正确的是（）。
293,A、基督耶稣是画面的中心
294,B、具有很高的商业价值和研究价值
295,C、现藏于巴黎卢浮宫
296,D、是一副壁画
297,窗体底端
298,窗体顶端
299,正确答案：C
300,窗体底端
301,34张择端是（）时代的画家。
302,A、宋朝
303,B、唐朝
304,C、元朝
305,D、明朝
306,窗体底端
307,窗体顶端
308,正确答案：A
309,窗体底端
310,35画史上的南宋四大家不包括以下哪位？（）
311,A、李唐
312,B、马远
313,C、夏圭
314,D、王希孟
315,窗体底端
316,窗体顶端
317,正确答案：D
318,窗体底端
319,36“夫画者，成教化，助人伦。”一句出自以下哪本著作？（）
320,A、《林泉高致》
321,B、《宣和画谱》
322,C、《集古录》
323,D、《历代名画记》
324,窗体底端
325,窗体顶端
326,正确答案：D
327,窗体底端
328,37关于《蒙娜丽莎》，下列说法正确的是（）。
329,A、因画中人开朗活泼的笑容而闻名
330,B、是一副版画
331,C、画面中的笔触清晰，能追溯作画过程
332,D、现藏于巴黎卢浮宫
333,窗体底端
334,窗体顶端
335,正确答案：D
336,窗体底端
337,38提出“以美育代宗教”思想的人是（）。
338,A、达利
339,B、蔡元培
340,C、弗洛伊德
341,D、胡适
342,窗体底端
343,窗体顶端
344,正确答案：B
345,窗体底端
346,39达•芬奇的《最后的晚餐》是位于以下哪个国家的教堂内？（）
347,A、英国
348,B、法国
349,C、意大利
350,D、奥地利
351,窗体底端
352,窗体顶端
353,正确答案：C
354,窗体底端
355,"40提出“古法之佳者守之,垂绝者继之,不佳者改之,未足者增之”的人是以下哪位画家？（）"
356,A、齐白石
357,B、张大千
358,C、李可染
359,D、徐悲鸿
360,窗体底端
361,窗体顶端
362,正确答案：D
363,窗体底端
364,41以下作品中，是委拉斯开兹创作的是（）。
365,A、《奥尔加斯伯爵下葬》
366,B、《沉睡的维纳斯》
367,C、《神秘的基督降生图》
368,D、《教皇伊诺森西奥十世》
369,窗体底端
370,窗体顶端
371,正确答案：D
372,窗体底端
373,42关于《松树林》这幅画作，下列说法不正确的是（）。
374,A、描绘了俄罗斯北方的自然风景
375,B、画面呈现软色调
376,C、画面冷峻，使人感受到了俄罗斯的寒冷
377,D、林木的形象雄伟豪放，独具个性
378,窗体底端
379,窗体顶端
380,正确答案：C
381,窗体底端
382,43共产党文艺政策最基本的出发点是（）。
383,A、艺术属于上层社会
384,B、艺术标准是第一位的，政治标准是第二位的
385,C、艺术属于腐朽的资产阶级
386,D、艺术应该为全社会的人服务
387,窗体底端
388,窗体顶端
389,正确答案：D
390,窗体底端
391,44关于方力钧，下列说法正确的是（）。
392,A、是当代著名国画大师
393,B、追求完美，认为自己尚无最满意的作品
394,C、以其所创造的“光头泼皮”形象而闻名
395,D、目前其画作的最高拍卖价为50万
396,窗体底端
397,窗体顶端
398,正确答案：C
399,窗体底端
400,45威尼斯画派的主要特点不包括以下哪点？（）
401,A、反映人文主义和爱国主义思想
402,B、色彩明丽，形象丰满
403,C、因为该派画家主要生活在威尼斯而得名
404,D、反映了当时社会的衰落，带有很强的抑郁色彩
405,窗体底端
406,窗体顶端
407,正确答案：D
408,窗体底端
