,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,塞尚属于以下哪个画派？（）
4,1.0 分
5,窗体顶端
6,A、
7,威尼斯画派
8,B、
9,抽象画派
10,C、
11,后印象派
12,D、
13,海上画派
14,窗体底端
15,正确答案： C 
16,2
17,以下关于可见光的说法中，正确的一项是（）。
18,1.0 分
19,窗体顶端
20,A、
21,可见光是一种电磁波
22,B、
23,可见光是一种超声波
24,C、
25,可见光是一种机械波
26,D、
27,可见光是一种声波
28,窗体底端
29,正确答案： A
30,3
31,关于艺术的起源，学者们提出了实践技术、（）和原始巫术三类起源理论。
32,1.0 分
33,窗体顶端
34,A、
35,意外发现
36,B、
37,情绪宣泄
38,C、
39,审美需要
40,D、
41,日常记事
42,窗体底端
43,正确答案： C 
44,4
45,曾梵志的面具系列作品在创作完成后被（）所收藏。
46,1.0 分
47,窗体顶端
48,A、
49,埃里·布罗德夫妇
50,B、
51,布莱克夫妇
52,C、
53,尤伦斯夫妇
54,D、
55,陈泰铭
56,窗体底端
57,正确答案： C 
58,5
59,乐山大佛在古代除了其本身的宗教功能外，还具有（）的功能。
60,1.0 分
61,窗体顶端
62,A、
63,防地震
64,B、
65,防御塔
66,C、
67,治水
68,D、
69,净水
70,窗体底端
71,正确答案： C 
72,6
73,以下不属于“元四家”的人是（）。
74,1.0 分
75,窗体顶端
76,A、
77,吴镇
78,B、
79,黄公望
80,C、
81,倪瓒
82,D、
83,唐寅
84,窗体底端
85,正确答案： A
86,7
87,中国从（）开始建造四大天王的神像了。
88,1.0 分
89,窗体顶端
90,A、
91,宋代
92,B、
93,元代
94,C、
95,明代
96,D、
97,清代
98,窗体底端
99,正确答案： C
100,8
101,我国发现的最早的陵墓前大型雕塑位于以下哪个陵墓？（）
102,窗体顶端
103,A、
104,溥仪墓
105,B、
106,黄忠墓
107,C、
108,武则天墓
109,D、
110,霍去病墓
111,窗体底端
112,正确答案：B
113,9
114,徐渭的《墨葡萄图》运用的是以下哪种绘画手法？（）
115,窗体顶端
116,A、
117,工笔花鸟
118,B、
119,白描
120,C、
121,水墨写意
122,D、
123,版画
124,窗体底端
125,正确答案： A
126,10
127,照相机是根据（）的活动原理制作的。
128,窗体顶端
129,A、
130,鹰眼
131,B、
132,苍蝇眼
133,C、
134,人眼
135,D、
136,蜘蛛眼
137,窗体底端
138,正确答案： B
139,11
140,以下哪幅画作不是达.芬奇的作品？（）
141,窗体顶端
142,A、
143,《蒙娜丽莎》
144,B、
145,《岩间圣母》
146,C、
147,《最后的晚餐》
148,D、
149,《埃斯泰克的海湾》
150,窗体底端
151,正确答案： A
152,12
153,青花瓷产生于以下哪个朝代？（）
154,窗体顶端
155,A、
156,唐代
157,B、
158,宋代
159,C、
160,元代
161,D、
162,明代
163,窗体底端
164,正确答案： C 
165,13
166,中国最早详细地论述艺术史和艺术理论的著作是（）。
167,窗体顶端
168,A、
169,《清异录》
170,B、
171,《集古录》
172,C、
173,《历代名画记》
174,D、
175,《宣和画谱》
176,窗体底端
177,正确答案： C 
178,14
179,梵高的画作多采用以下哪种绘画手法？（）
180,窗体顶端
181,A、
182,晕染法
183,B、
184,厚涂法
185,C、
186,精描法
187,D、
188,透明薄涂法
189,窗体底端
190,正确答案： B 
191,15
192,印最正宗的书写的方式是使用（）。
193,窗体顶端
194,A、
195,篆书
196,B、
197,隶书
198,C、
199,楷书
200,D、
201,草书
202,窗体底端
203,正确答案： C
204,16
205,宋代文同画竹的特点是（）。
206,窗体顶端
207,A、
208,写意随性
209,B、
210,粗犷不羁
211,C、
212,精细准确
213,D、
214,奇形怪状
215,窗体底端
216,正确答案： C 
217,17
218,伦勃朗的《夜巡》是为（）定制的。
219,窗体顶端
220,A、
221,法国的钢琴家协会
222,B、
223,阿姆斯特丹的设计爱好者协会
224,C、
225,英国外科医生协会
226,D、
227,意大利的教会组织
228,窗体底端
229,正确答案： B 
230,18
231,《少女和桃子》是以下哪位画家的作品？（）
232,窗体顶端
233,A、
234,莫奈
235,B、
236,修拉
237,C、
238,谢洛夫
239,D、
240,毕沙罗
241,窗体底端
242,正确答案： C 
243,19
