,题目
0,一、单选题
1, 
2,1
3,印最正宗的书写的方式是使用（）。
4,A、
5,篆书
6,B、
7,隶书
8,C、
9,楷书
10,D、
11,草书
12,我的答案：A
13,2
14,中国最早的超级大像是（）。
15,A、
16,南海观音
17,B、
18,十方普贤像
19,C、
20,乐山大佛
21,D、
22,天坛大佛
23,我的答案：C
24,3
25,前卫艺术的主要的特征是（）。
26,A、
27,运用现代技术作画
28,B、
29,高度抽象
30,C、
31,与主流作对
32,D、
33,以美感为创作标准
34,我的答案：C
35,4
36,印度最有名的石窟是（）。
37,A、
38,巴米扬石窟
39,B、
40,埃洛拉石窟
41,C、
42,阿旃陀石窟
43,D、
44,吴哥窟
45,我的答案：C
46,5
47,工笔花鸟画最成熟的时期是（）。
48,A、
49,魏晋南北朝时期
50,B、
51,隋代
52,C、
53,唐代
54,D、
55,宋代
56,我的答案：D
57,6
58,在李嵩的《货郎图》中，货架上栓的喜鹊作用是（）。
59,A、
60,宗教用途，保旅途平安
61,B、
62,缓解旅途疲劳
63,C、
64,发出声音，代替叫卖
65,D、
66,招财祈福
67,我的答案：C
68,7
69,古希腊陶瓶上的白底彩绘使用了（）来调和颜料。
70,A、
71,明矾
72,B、
73,碱水
74,C、
75,蛋清
76,D、
77,酒精
78,我的答案：C
79,8
80,传统的艺术观念认为艺术范围不包括以下哪个方面？（）
81,A、
82,绘画
83,B、
84,雕塑
85,C、
86,建筑
87,D、
88,行为艺术
89,我的答案：D
90,9
91,在中国绘画中，（）颜色的颜料一直十分难寻。
92,A、
93,红色
94,B、
95,蓝色
96,C、
97,黄色
98,D、
99,黑色
100,我的答案：B
101,10
102,世界上发行量最大的艺术类教材是（）。
103,A、
104,《The Story of Art》
105,B、
106,《中国艺术史》
107,C、
108,《世界艺术简史》
109,D、
110,《Art of China》
111,我的答案：A
112,11
113,白描从（）开始演变为一种独立的绘画样式。（）
114,A、
115,魏晋南北朝时期
116,B、
117,隋代
118,C、
119,唐代
120,D、
121,宋代
122,我的答案：D
123,12
124,与我们日用、生活紧密相关的艺术是（）。
125,A、
126,书法艺术
127,B、
128,摄影艺术
129,C、
130,工艺美术
131,D、
132,行为艺术
133,我的答案：C
134,13
135,现代画家贾又福属于以下哪个画派？（）
136,A、
137,太行山画派
138,B、
139,黄山画派
140,C、
141,泰山画派
142,D、
143,华山画派
144,我的答案：A
145,14
