,题目
0, 
1,1大学语文主要培养的是（C）。
2,A、
3,背诵
4,B、
5,书写
6,C、
7,语感
8,D、
9,文采
10,我的答案：
11,2阐述学作为诗歌鉴赏的重要方法和思路，其关键是（C）。
12,A、
13,理解诗人造境的用意
14,B、
15,要有历史的语境
16,C、
17,关注“整体语境”
18,D、
19,把握主体视角
20,我的答案：
21,3“想象一种语言，就是想象一种社会生活”是（C）的观点。
22,A、
23,康德
24,B、
25,萨特
26,C、
27,维特根斯坦
28,D、
29,尼采
30,我的答案：
31,4一般认为，张爱玲的成名作是（C）。
32,A、
33,《半生缘》
34,B、
35,《小团圆》
36,C、
37,《倾城之恋》
38,D、
39,《金锁记》
40,我的答案：
41,5甘地是现代印度的国父，他的（D）思想影响了全世界的民族主义者和争取和平变革的国际运动。
42,A、
43,众生平等
44,B、
45,泛爱众
46,C、
47,人道
48,D、
49,非暴力
50,我的答案：
51,6文章有移情换性之功用，传说曹操正是读了（C）的檄文治愈了头疼病。
52,A、
53,杨修
54,B、
55,嵇康
56,C、
57,陈琳
58,D、
59,王粲
60,我的答案：
61,7摇滚实质上是在批判现实，但不包括（D）。
62,A、
63,资本主义的消费主义
64,B、
65,批判个性的解放
66,C、
67,批判国家意识形态的理性主义
68,D、
69,对她自身的讽刺
70,我的答案：
71,8张爱玲发表的第一篇作品是（D）。
72,A、
73,《金锁记》
74,B、
75,《半生缘》
76,C、
77,《琉璃瓦》
78,D、
79,《第一炉香》
80,我的答案：
81,9“口香糖主义”是形容一个文学作品（D）。
82,A、
83,有思想
84,B、
85,无主题
86,C、
87,有趣味
88,D、
89,无个性
90,我的答案：
91,10金圣叹生活的时代是（B）。
92,A、
93,清朝中期
94,B、
95,明清之际
96,C、
97,宋元之际
98,D、
99,两宋之际
100,我的答案：
101,11“楚人遗弓”的典故出自（B）。
102,A、
103,《庄子》
104,B、
105,《吕氏春秋》
106,C、
107,《论语》
108,D、
109,《老子》
110,我的答案：
111,12《秋水》一文中，庄子借北海若之口，提出了“以（A）观之，物无贵贱”的绝对主义观点。
112,A、
113,道
114,B、
115,物
116,C、
117,俗
118,D、
119,己
120,我的答案：
121,13《热血、辛劳、汗水和眼泪》是（D）的演讲。
122,A、
123,希特勒
124,B、
125,斯大林
126,C、
127,毛泽东
128,D、
129,丘吉尔
130,我的答案：
131,14“语言的局限就是我们全部世界的局限”是（D）的观点。
132,A、
133,马克思
134,B、
135,费尔巴哈
136,C、
137,黑格尔
138,D、
139,恩格斯
140,我的答案：
141,15王元化《李鸿章办外交》一文的体裁是（C）。
142,A、
143,小说
144,B、
145,正史
146,C、
147,掌故
148,D、
149,传奇
150,我的答案：
