,题目
0,大学生魅力讲话实操期末试卷1
1,   成绩： 97.0分
2, 
3,一、 单选题（题数：50，共 50.0 分）
4,1
5,上讲台讲话时“停3秒”不能使讲话者实现的目的是什么？（）
6, 
7,1.0 分
8,A、
9,稳胆
10,B、
11,稳场
12,C、
13,稳赢
14,D、
15,稳速
16,我的答案：C
17,2
18,通过加手势能够克服心理障碍，专注讲话哪一方面？（）
19, 
20,1.0 分
21,A、
22,声音
23,B、
24,形式
25,C、
26,气息
27,D、
28,内容
29,我的答案：D
30,3
31,耳语练声法具有哪些好处？（）
32, 
33,1.0 分
34,A、
35,美身
36,B、
37,美声
38,C、
39,美神
40,D、
41,以上都对
42,我的答案：D
43,4
44,下面哪一项不能使讲话内容变得生动？（）
45, 
46,1.0 分
47,A、
48,故事
49,B、
50,细节
51,C、
52,数字
53,D、
54,逻辑
55,我的答案：D
56,5
57,触觉练习发声“n”时，手指应指住哪个部位？（）
58, 
59,1.0 分
60,A、
61,鼻子
62,B、
63,嘴角
64,C、
65,耳朵
66,D、
67,眉头
68,我的答案：A
69,6
70,下面哪一项不是“走稳”的要领？（）
71, 
72,1.0 分
73,A、
74,脚后跟先落地
75,B、
76,走挺
77,C、
78,脚尖先落地
79,D、
80,走看
81,我的答案：C
82,7
83,下面哪一项不属于“三时法”的内容？（）
84, 
85,1.0 分
86,A、
87,问时法
88,B、
89,分时法
90,C、
91,对时法
92,D、
93,超时法
94,我的答案：D
95,8
96,下面哪一项不是“当众讲话”定义中的要素？（）
97, 
98,1.0 分
99,A、
100,一人对多人
101,B、
102,有稿讲话
103,C、
104,口、手、脸共同参与
105,D、
106,多媒体表达
107,我的答案：B
108,9
109,“低开高走”就是说讲话或者宣读讲稿时，声调要做到下面哪个方面？（）
110, 
111,1.0 分
112,A、
113,前高后低
114,B、
115,前高后高
116,C、
117,前低后高
118,D、
119,前低后低
120,我的答案：C
121,10
122,“三定练胆法”中的“三定”包括笑定、眼定和下面哪个方面？（）
123, 
124,1.0 分
125,A、
126,立定
127,B、
128,必定
129,C、
130,说定
131,D、
132,站定
133,我的答案：D
134,11
135,以下哪一项不是当众讲话的实战技巧？（）
136, 
137,1.0 分
138,A、
139,前看后读
140,B、
141,低开高走
142,C、
143,四说结构
144,D、
145,字音矫正
146,我的答案：A
147,12
148,耳语练声法的要求包括：小、一、慢和下列哪一项？（）
149, 
150,1.0 分
151,A、
152,准
153,B、
154,静
155,C、
156,散
157,D、
158,力
159,我的答案：C
160,13
161,练习“双人舞”的好处有哪些？（）
162, 
163,1.0 分
164,A、
165,练情
166,B、
167,练形
168,C、
169,练条理
170,D、
171,以上都对
172,我的答案：D
173,14
174,讲话效果的“二八规则”中的20%是指什么？（）
175, 
176,0.0 分
177,A、
178,听觉
179,B、
180,视觉
181,C、
182,味觉
183,D、
184,感觉
185,我的答案：A
186,15
187,“低开高走”就是说讲话或者宣读讲稿时，声调要做到下面哪个方面？（）
188, 
189,1.0 分
190,A、
191,前高后低
192,B、
193,前高后高
194,C、
195,前低后高
196,D、
197,前低后低
198,我的答案：C
199,16
200,下面哪一项不属于双人舞的“三动”要领？（）
201, 
202,1.0 分
203,A、
204,活动
205,B、
206,生动
207,C、
208,联动
209,D、
210,先动
211,我的答案：A
212,17
213,提升当众讲话魅力的方法包括耳、（）、舞、诀。
214, 
215,1.0 分
216,A、
217,定
218,B、
219,口
220,C、
221,声
222,D、
223,情
224,我的答案：A
225,18
226,下面哪一项不是“一字悟”的三步骤？（）
227, 
228,1.0 分
229,A、
230,写
231,B、
232,读
233,C、
234,背
235,D、
236,讲
237,我的答案：B
238,19
239,练习眼定时，要做到方位准，就要对观众进行区分，下面哪一项不是准确的方位区分？（）
240, 
241,1.0 分
242,A、
243,左边方位
244,B、
245,中间方位
246,C、
247,右边方位
248,D、
249,后面方位
250,我的答案：D
251,20
252,大学生做职业规划时应该做到下面哪些方面？（）
253, 
254,1.0 分
255,A、
256,要好
257,B、
258,要小
259,C、
260,要早
261,D、
262,以上都对
263,我的答案：D
264,21
265,通过耳语法通过不断练习《八百标兵》，练习者能感觉到什么？（）
266, 
267,1.0 分
268,A、
269,嗓子实现松弛
270,B、
271,丹田沉住气息
272,C、
273,耳朵听觉灵敏
274,D、
275,双唇具有力度
276,我的答案：D
277,22
278,下面哪一项是写“一字悟”能达到的目的？（）
279, 
280,1.0 分
281,A、
282,积累观点
283,B、
284,积累词汇
285,C、
286,积累事例
287,D、
288,以上都对
289,我的答案：D
290,23
291,下面哪一项不能使讲话内容变得生动？（）
292, 
293,1.0 分
294,A、
295,故事
296,B、
297,细节
298,C、
299,数字
300,D、
301,逻辑
302,我的答案：D
303,24
304,讲话时的“抑扬顿挫”会使讲话具有情的魅力，那么“挫”的意思是什么？（）
305, 
306,1.0 分
307,A、
308,升高
309,B、
310,停顿
311,C、
312,降低
313,D、
314,转折
315,我的答案：D
316,25
317,下面哪一项不是练习眼定的要求？（）
318, 
319,1.0 分
320,A、
321,方位准
322,B、
323,目光散
324,C、
325,腰带肩
326,D、
327,脚分开
328,我的答案：D
329,26
330,“口诀化”表述能使讲话内容好听和下面哪一方面？（）
331, 
332,1.0 分
333,A、
334,好记
335,B、
336,好笑
337,C、
338,好玩
339,D、
340,好说
341,我的答案：A
342,27
343,课后练习“三定练胆法”应做到的练习包括哪些方面？（）
344, 
345,1.0 分
346,A、
347,练习微笑
348,B、
349,练停三秒
350,C、
351,循环练习
352,D、
353,以上都对
354,我的答案：D
355,28
356,人说话清晰不清晰，传得远还是不远取决于（）的力度。
357, 
358,1.0 分
359,A、
360,唇部
361,B、
362,舌头
363,C、
364,嗓子
365,D、
366,丹田
367,我的答案：A
368,29
369,讲话时胳膊肘夹在一起会使讲话具有什么特点？（）
370, 
371,1.0 分
372,A、
373,落落大方
374,B、
375,绘声绘色
376,C、
377,小气拘谨
378,D、
379,有形有相
380,我的答案：C
381,30
382,下面哪一项是写“一字悟”能达到的目的？（）
383, 
384,1.0 分
385,A、
386,积累观点
387,B、
388,积累词汇
389,C、
390,积累事例
391,D、
392,以上都对
393,我的答案：D
394,31
395,触觉练习发声“ang”时，手指应指住哪个部位？（）
396, 
397,1.0 分
398,A、
399,鼻子
400,B、
401,嘴角
402,C、
403,耳朵
404,D、
405,眉头
406,我的答案：C
407,32
408,练“三时法”可以避免讲话超时和下面哪个方面？（）
409, 
410,1.0 分
411,A、
412,停顿
413,B、
414,不生动
415,C、
416,虎头蛇尾
417,D、
418,被人喝倒彩
419,我的答案：C
420,33
421,下面哪一项不是“睁闭眼练习方法”的好处？（）
422, 
423,1.0 分
424,A、
425,眼睛有神
426,B、
427,眼皮松弛
428,C、
429,黑白分明
430,D、
431,大脑灵活
432,我的答案：B
433,34
434,练习耳语练声法可以美身，其主要体现在练腹肌、做全肺运动和（）这三个方面。
435, 
436,0.0 分
437,A、
438,气沉丹田
439,B、
440,气色好
441,C、
442,解放声带
443,D、
444,自信
445,我的答案：C
446,35
447,对公众讲话时，（）能克服自我紧张、自我加压。
448, 
449,1.0 分
450,A、
451,脚与间宽站立
452,B、
453,跺脚
454,C、
455,手扶讲台
456,D、
457,加手势
458,我的答案：D
459,36
460,“双人舞练情法”中的“舞”包括手舞足蹈和下面哪个方面？（）
461, 
462,1.0 分
463,A、
464,鼓舞人心
465,B、
466,龙飞凤舞
467,C、
468,眉飞色舞
469,D、
470,舞笔弄文
471,我的答案：C
472,37
473,经过学习耳语练声法，下面哪种情况不会发生？（）
474, 
475,1.0 分
476,A、
477,孩子感觉妈妈比过去亲切了
478,B、
479,丈夫感觉太太比过去温柔了
480,C、
481,学生感觉老师比过去严厉了
482,D、
483,婆婆感觉儿媳妇比过去贤惠了
484,我的答案：C
485,38
486,以下哪一项不是当众讲话的实战技巧？（）
487, 
488,1.0 分
489,A、
490,前看后读
491,B、
492,低开高走
493,C、
494,四说结构
495,D、
496,字音矫正
497,我的答案：A
498,39
499,微笑具有四种好处，分别是：好声、好身、好运和下面哪一项？（）
500, 
501,1.0 分
502,A、
503,好脑
504,B、
505,好嗓
506,C、
507,好人
508,D、
509,好命
510,我的答案：A
511,40
512,“四说结构”中的“细说”的目的是使讲话（）。
513, 
514,1.0 分
515,A、
516,开门见山
517,B、
518,有条理性
519,C、
520,强化观点
521,D、
522,有说服力
523,我的答案：D
524,41
525,“双人舞练情法”的核心是什么？（）
526, 
527,1.0 分
528,A、
529,笑定
530,B、
531,眼定
532,C、
533,加手势
534,D、
535,站定
536,我的答案：C
537,42
538,讲话时用故事来说明能使讲话更具有哪种特性？（）
539, 
540,1.0 分
541,A、
542,逻辑性
543,B、
544,推理性
545,C、
546,说服力
547,D、
548,完整性
549,我的答案：C
550,43
551,对“当众讲话”可以分类为哪些方面？（）
552, 
553,1.0 分
554,A、
555,有稿讲话
556,B、
557,脱稿讲话
558,C、
559,即兴讲话
560,D、
561,以上都对
562,我的答案：D
563,44
564,实践已证明，掌握当众讲话的诀窍需要（）天。
565, 
566,1.0 分
567,A、
568,7天
569,B、
570,14天
571,C、
572,21天
573,D、
574,三个月
575,我的答案：C
576,45
577,“有本事却骄傲自满的人”可口诀化表述为下面哪一项？（）
578, 
579,1.0 分
580,A、
581,骄
582,B、
583,娇
584,C、
585,傲
586,D、
587,熬
588,我的答案：C
589,46
590,练习“引”的核心目的是练习脸上肌肉，得经过多少天就可以形成笑肌？（）
591, 
592,1.0 分
593,A、
594,7天
595,B、
596,14天
597,C、
598,21天
599,D、
600,三个月
601,我的答案：C
602,47
603,“按照总的讲话时间，将自己要讲的问题细分时间，在稿纸上列出讲话时间表”是用的什么方法？（）
604, 
605,1.0 分
606,A、
607,问时法
608,B、
609,分时法
610,C、
611,对时法
612,D、
613,超时法
614,我的答案：B
615,48
616,“一字悟”是进行的哪方面的练习？（）
617, 
618,0.0 分
619,A、
620,一简二活
621,B、
622,一简三口诀
623,C、
624,二活三口诀
625,D、
626,一简二活三口诀
627,我的答案：D
628,49
629,触觉练习发声“ang”时，手指应指住哪个部位？（）
630, 
631,1.0 分
632,A、
633,鼻子
634,B、
635,嘴角
636,C、
637,耳朵
638,D、
639,眉头
640,我的答案：C
641,50
642,实战技巧五：讲话不超时的“三时法”
643,1.0 分
644,A、
645,问时法
646,B、
647,分时法
648,C、
649,对时法
650,D、
651,超时法
652,我的答案：D
653,二、 判断题（题数：50，共 50.0 分）
654,1
655,讲话时在做完一个动作后应该收回又做。（）
656, 
657,1.0 分
658,我的答案： ×
659,2
660,“双人舞”在任何场合都能使用。（）
661, 
662,1.0 分
663,我的答案： ×
664,3
665,手势与讲话时的感情没有关联。（）
666, 
667,1.0 分
668,我的答案： ×
669,4
670,“耳语练声法”可以定义为用悄悄话的形式快速地掌握用嗓子发声的方法。（）
671, 
672,1.0 分
673,我的答案： ×
674,5
675,坚持练习“一字悟”能使讲话者从“出手成章”到“出口成章”。（）
676, 
677,1.0 分
678,我的答案： √
679,6
680,“四说结构”是针对讲话没有条理，没有逻辑性，结构不够分明的问题。（）
681, 
682,1.0 分
683,我的答案： √
684,7
685,“问时法”就是说在讲话前要向主持人问清楚让自己讲多长时间。（）
686, 
687,1.0 分
688,我的答案： √
689,8
690,只要持之以恒地练习，我们就能把简单做到极致，成为天才。（）
691, 
692,1.0 分
693,我的答案： ×
694,9
695,讲话加手势能使说话更有感情是因为加手势能触景生情和使人体的节奏一致。（）
696, 
697,1.0 分
698,我的答案： √
699,10
700,只要持之以恒地练习，我们就能把简单做到极致，成为天才。（）
701, 
702,1.0 分
703,我的答案： ×
704,11
705,微笑说话能让鼻孔变小、气息通畅、声音悦耳。（）
706, 
707,1.0 分
708,我的答案： ×
709,12
710,“耳语练声法”的意思就是说要用耳朵认真听别人说话。（）
711, 
712,1.0 分
713,我的答案： ×
714,13
715,讲话内容比别人的更深刻和更新颖能使讲话具有“识”的魅力。（）
716, 
717,1.0 分
718,我的答案： √
719,14
720,有46.1%的教师具有职业病，即声带小结、声带嘶哑，经常要去做手术。（）
721, 
722,1.0 分
723,我的答案： √
724,15
725,左脑具有掌控逻辑、语言、文学等方面的功能；右脑具有掌控形象、创意等方面的功能。（）
726, 
727,1.0 分
728,我的答案： √
729,16
730,讲话中说“大家好”这三个字时，声音大小应该是依次降低。（）
731, 
732,1.0 分
733,我的答案： ×
734,17
735,“一简”的意思就是说讲话时的观点要用一个字来表达。（）
736, 
737,1.0 分
738,我的答案： √
739,18
740,人说话时，吐字的器官是上唇、下唇和舌头。（）
741, 
742,1.0 分
743,我的答案： √
744,19
745,白岩松认为：人们听讲课时做的笔记，90%的人课后不会翻阅。（）
746, 
747,1.0 分
748,我的答案： √
749,20
750,“四说结构”是针对讲话没有条理，没有逻辑性，结构不够分明的问题。（）
751, 
752,1.0 分
753,我的答案： √
754,21
755,“前读后看”的意思是说讲话时“前半句看观众，后半句看文字”。（）
756, 
757,1.0 分
758,我的答案： ×
759,22
760,普通话语音矫正的原则是要微笑、加手势、混淆音作对比、有慢到快。（）
761, 
762,1.0 分
763,我的答案： √
764,23
765,白岩松认为：人们听讲课时做的笔记，90%的人课后不会翻阅。（）
766, 
767,1.0 分
768,我的答案： √
769,24
770,“字正腔圆”一词中“字正”意指把生母发准确，“腔园”意指把韵母发全、发响亮。（）
771, 
772,1.0 分
773,我的答案： √
774,25
775,面对镜子练习耳语可以练习不同距离下手势的强弱和大小。（)
776, 
777,1.0 分
778,我的答案： ×
779,26
780,人说话时不会气沉丹田会导致气息浅和气息虚。（）
781, 
782,1.0 分
783,我的答案： √
784,27
785,“三口诀”的意思就是说在讲话时把两个以上的小观点编成常用词。（）
786, 
787,1.0 分
788,我的答案： √
789,28
790,坚持练习“一字悟”能使讲话者从“出手成章”到“出口成章”。（）
791, 
792,1.0 分
793,我的答案： √
794,29
795,触觉练习发平舌时手要卷起。（）
796, 
797,1.0 分
798,我的答案： ×
799,30
800,“二活”的意思就是说讲话时要做手势，使讲话鲜活生动。（）
801, 
802,1.0 分
803,我的答案： ×
804,31
805,讲话时做手势应使五指并拢。（）
806, 
807,1.0 分
808,我的答案： ×
809,32
810,站定可以让心平静，思维清晰，讲话妙语如珠，用词准确。（）
811, 
812,1.0 分
813,我的答案： √
814,33
815,练习绕口令《四是四》可以练习气息、微笑，但不能练习平舌和翘舌的区分。（）
816, 
817,1.0 分
818,我的答案： ×
819,34
820,进行耳语练声法练习时，应该练习各种材料，而不是反复练习一小段。（）
821, 
822,1.0 分
823,我的答案： ×
824,35
825,相比于读书，讲话时可以随时停顿。（）
826, 
827,1.0 分
828,我的答案： ×
829,36
830,“二活”的意思就是说讲话时要做手势，使讲话鲜活生动。（）
831, 
832,1.0 分
833,我的答案： ×
834,37
835,只要持之以恒地练习，我们就能把简单做到极致，成为天才。（）
836, 
837,1.0 分
838,我的答案： ×
839,38
840,“双人舞”在任何场合都能使用。（）
841, 
842,1.0 分
843,我的答案： ×
844,39
845,行为心理学认为只要相信、坚持，在三个月后就能锻炼新的习惯。（）
846, 
847,1.0 分
848,我的答案： ×
849,40
850,普通话语音矫正的原则是要微笑、加手势、混淆音作对比、有慢到快。（）
851, 
852,1.0 分
853,我的答案： √
854,41
855,讲话时“低开高走”能体现出抑扬顿挫之美。（）
856, 
857,1.0 分
858,我的答案： √
859,42
860,练习眼定方法时不能采取一对一的方式。（）
861, 
862,1.0 分
863,我的答案： ×
864,43
865,要走稳，首先就是要做到脚后跟先落地。（）
866, 
867,1.0 分
868,我的答案： √
869,44
870,手势与讲话时的感情没有关联。（）
871, 
872,1.0 分
873,我的答案： ×
874,45
875,曾国藩在教导李鸿章时认为一个人的失败就在于傲、庸二字，即“巨室之败，非傲即庸”。（）
876, 
877,1.0 分
878,我的答案： ×
879,46
880,“口诀式练识法”的具体内容包括“一简、二活、三口诀”。（）
881, 
882,1.0 分
883,我的答案： √
884,47
885,“问时法”就是说在讲话前要向主持人问清楚让自己讲多长时间。（）
886, 
887,1.0 分
888,我的答案： √
889,48
890,“问时法”就是说在讲话前要向主持人问清楚让自己讲多长时间。（）
891, 
892,1.0 分
893,我的答案： √
894,49
895,“前读后看”的意思是说讲话时“前半句看观众，后半句看文字”。（）
896, 
897,1.0 分
898,我的答案： ×
899,50
900,脱稿讲话是事先精心准备，按照提纲的逻辑顺序进行讲话的形式。（）
901, 
902,1.0 分
903,我的答案： √
904, 
905,           微信公众号：琢磨俗僧
906,      Copyright  © 2016~2020 超星尔雅题库 版权所有　
907,本站所有资源均来自互联网，本站只负责收集和整理，均不承担任何法律责任，如有侵权等其它行为
908,请发邮件至：cxeytk@foxmail.com
909,
