,题目
0,一、单选题
1,1.（）是建设性的表达方式。
2,A、你信息
3,B、我信息
4,C、他信息
5,答案：B
6,2.一见钟情属于（）爱情
7,A、忘我式
8,B、友谊式
9,C、游戏式
10,D、激情式
11,答案：D
12,3.思维、言语与行为紊乱，情绪怪异，众人高兴我独愁，该悲伤的时候却放声大笑。是（）人格。
13,A、依赖
14,B、精神分裂型
15,C、偏执型
16,D、分裂型
17,答案：B
18,4.（）年，国际心理大会为心理健康做出定义。
19,A、1946
20,B、1966
21,C、1864
22,D、1945
23,答案：A
24,5.通俗地说，心理健康是指在同等环境下、（  ）的人。
25,A、更坚强
26,B、更快乐
27,C、生活水平更高
28,D、活得更久
29,答案：D
30,6.“我认为，我爸爸觉得我是个守信用的人。”这是：（）
31,A、镜我
32,B、物质自我
33,C、社会自我
34,答案：A
35,7.九十年代出生的人，最需要哪种情感？
36,A、关注
37,B、爱
38,C、尊重
39,D、溺爱
40,答案：C
41,8.大学生最重要的任务是（）。
42,A、社交
43,B、个人兴趣爱好
44,C、本专业的学习
45,D、慈善事业
46,答案：C
47,9.美国行为学派大量的理论基于（  ）实验
48,A、动物
49,B、植物
50,C、人体
51,D、思想
52,答案：A
53,10.“我认为，我爸爸觉得我是个守信用的人。”这是：（）
54,A、镜我
55,B、物质自我
56,C、社会自我
57,答案：A
58,11.超我强或以超我为主导人格的人，要看：（）
59,A、先天遗传
60,B、所处环境
61,C、父母的教育
62,答案：C
63,12.跟他做朋友你会感觉他的正义感，进取心，善意与宽容，没有什么禁忌，但爱憎分明，
64,A、强迫型
65,B、表演
66,C、偏执型
67,D、分裂型
68,答案：A
69,13.詹姆斯·林奇在《我的哭声无人听见》一书中提出：“孤独是致命的毒药，（  ）是生命的良药。”
70,A、快乐
71,B、休息
72,C、交友
73,D、对话
74,答案：D
75,14.下列哪一项不符合变态行为和变态人格是否成为心理问题的标准。
76,A、社会功能退行
77,B、持续1~2个月不能自动缓解
78,C、行为异常无法解释
79,D、心里痛苦的严重度到不能忍受
80,答案：B
81,15.心理学是：研究个体感觉、（  ）、情绪、意识与精神活动之间关系的科学
82,A、思想
83,B、行为
84,C、外形
85,答案：B
86,16.皮亚杰认为依恋来自于（  ）
87,A、温暖
88,B、关怀
89,C、关注
90,D、习惯
91,答案：A
92,17.心理学是在（  ）模式下研究人的问题的。
93,A、简单
94,B、健康
95,C、通约
96,D、一般
97,答案：C
98,18.国际心理大会认定的心理健康体现在（）个方面。
99,A、4
100,B、3
101,C、7
102,D、6
103,答案：A
104,19.压力是紧张或唤醒的一种（）心理状态
105,A、外部
106,B、内部
107,C、中间
108,答案：B
109,20.激情+承诺是（）的爱情
110,A、浪漫
111,B、同伴
112,C、愚昧
113,D、空洞
114,答案：C
115,21.情绪能够激励人的活动，提高人的活动效率，属于情绪的（）功能
116,A、自我防御功能
117,B、社会适应功能
118,C、动力功能
119,D、强化功能
120,答案：C
121,22.“我父母都是老师，所以我也想当老师”，属于：（  ）
122,A、认同感扩散
123,B、认同感早闭
124,C、认同感延缓
125,D、认同感获得
126,答案：B
127,23.下面哪句话可以说是促进了古典心理学的长足发展。
128,A、感觉到的是真实的吗
129,B、人类一思考、上帝就发笑
130,C、我思故我在
131,D、人只能关系中发现“永恒的自我”
132,答案：A
133,24.人类（）%的疾病与心理的压力感有关
134,A、不到10%
135,B、20—30%
136,C、65—90%
137,D、100%
138,答案：C
139,25.“变态”这个词来源于（）。
140,A、临床医学
141,B、物理学
142,C、生物学
143,D、心理学
144,答案：C
145,26.“我信息”的表达顺序是：（）
146,A、行为-感觉-愿望
147,B、感觉-行为-愿望
148,C、愿望-行为-感觉
149,答案：A
150,27.被称为美国机能主义心理学创始人，著有《心理学原理》的是谁？
151,A、梅斯梅尔
152,B、威廉·詹姆斯
153,C、冯特
154,D、弗洛伊德
155,答案：B
156,28.在边缘系统中，与记忆有关的是
157,A、杏仁核
158,B、海马
159,C、垂体
160,D、下丘脑
161,答案：B
162,29.理性情绪疗法是由美国著名的心理学家（）提出的。
163,A、埃里克森
164,B、艾利斯
165,C、斯金纳
166,D、罗杰斯
167,答案：B
168,30.情绪能够激励人的活动，提高人的活动效率，属于情绪的（）功能
169,A、自我防御功能
170,B、社会适应功能
171,C、动力功能
172,D、强化功能
173,答案：C
174,二、多选题
175,1.人格中最核心的成分是：（）（多选）
176,A、自我意识
177,B、自我觉知
178,C、自我认识
179,D、自我概念
180,答案：ABCD
181,2.信息沟通的基本要素有（  ）
182,A、信息来源
183,B、信息
184,C、信息渠道
185,D、反馈
186,E、译码和编码
187,答案：ABCDE
188,3.下列属于非语言符号系统的是（）
189,A、目光
190,B、表情
191,C、动作、姿势
192,D、触摸
193,E、副语言
194,答案：ABCDE
195,4.影响青少年情绪的客观因素有（）
196,A、社会环境的影响
197,B、学校环境的影响
198,C、家庭因素的影响
199,D、人际交往受挫
200,答案：ABCD
201,5.乔哈瑞窗的纵坐标是：（）
202,A、自知
203,B、自不知
204,C、他知
205,D、他不知
206,答案：CD
207,6.按记忆是否受到意识的控制可分为（  ）
208,A、内隐记忆
209,B、外显记忆
210,C、短时记忆
211,D、长时记忆
212,E、瞬时记忆
213,答案：AB
214,7.下列属于情绪的是（）
215,A、考试得满分高兴
216,B、遭到别人攻击愤怒
217,C、失去亲人而悲伤
