,题目
0,
1, 单选题（题数：50，共 50.0 分）
2,1
3,女性的感性心理在恋爱中表现为（）。
4,A、情感上十分善于嫉妒
5,B、择偶时依赖心占主要动机地位
6,C、一般不率先表白自己的情感
7,D、以上都正确
8,正确答案： D 
9,2从性格角度讲，双方最好是（）。
10,A、相同的
11,B、互补的
12,C、类似的
13,D、完全不同的
14,正确答案： B 
15,3婚姻中强调和谐的家庭背景，主要强调的的是（）。
16,A、门第高低
17,B、文化背景
18,C、经济水平
19,D、环境影响
20,正确答案： D 
21,4维护爱情、婚姻的重要手段是（）。
22,A、娱乐
23,B、物质
24,C、交流
25,D、妥协
26,正确答案： C 
27,5下列应该寻求互补而不是互相适应的是（）。
28,A、口味
29,B、习惯
30,C、爱好
31,D、性格
32,正确答案： D 
33,6爱情的维护重点在于（）岁之前。
34,A、30
35,B、35
36,C、40
37,D、50
38,正确答案： C 
39,7相比之下，目的性更强的是（）。
40,A、男性
41,B、女性
42,C、男女皆是
43,D、因人而异
44,正确答案： A 
45,8男性理性的表现包括（）。
46,A、决断前会瞻前顾后
47,B、率直地陈述自己的建议
48,C、做事的目的性不强
49,D、注重情感上的需求
50,正确答案： B 
51,9判断男女生是否拥有健全的人格可以考虑的内容包括（）。
52,A、是否经常快乐
53,B、是否喜欢与人交往
54,C、是否拥有广泛的兴趣
55,D、是否能够在恋爱中忍让
56,正确答案： D 
57,10婚后二人在性格与才能上应该寻求（）。
58,A、忍耐
59,B、互补
60,C、改变
61,D、一致
62,正确答案： B 
63,11恋爱的矛盾更多出现于（）。
64,A、选择
65,B、追求
66,C、瓶颈
67,D、宁静
68,正确答案： D 
69,12女性比较喜欢结伴出行，主要是因为（）。
70,A、依赖感很强
71,B、自我保护意识
72,C、主体意识比较弱
73,D、性格的矛盾性
74,正确答案： C 
75,13维护爱情过程中讲究调适，其实指的是（）。
76,A、保持自己，尊重对方
77,B、改变自己，影响对方
78,C、保持自己，影响对方
79,D、改变自己，适应对方
80,正确答案： D 
81,14（）的报告中包含了《女人篇》、《男人篇》，《情爱篇》、《家庭篇》、《职场篇》等内容。
