,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,对市场前景的分析可以通过以下哪个手段进行调查？（）
3,1.0 分
4,窗体顶端
5,A、
6,百度百科
7,B、
8,市场预估
9,C、
10,问卷调研
11,D、
12,银行流水
13,窗体底端
14,正确答案： C 我的答案：C
15,2
16,对于未来消费趋势的分析，下列选项错误的是（）。
17,1.0 分
18,窗体顶端
19,A、
20,冒险猎奇者
21,B、
22,多维消费者
23,C、
24,政府从业者
25,D、
26,追求健康者
27,窗体底端
28,正确答案： C 我的答案：C
29,3
30,关于优秀团队成员特点，下列说法错误的是（）。
31,1.0 分
32,窗体顶端
33,A、
34,团队成员都拥有一个共同的目标
35,B、
36,团队成员之间会互相聆听和配合
37,C、
38,团队成员之间能力互补，各有所长
39,D、
40,团队成员各有千秋，特立独行
41,窗体底端
42,正确答案： D 我的答案：D
43,4
44,规避财务风险的策略，下列说法错误的是（）。
45,1.0 分
46,窗体顶端
47,A、
48,要留好贮备金
49,B、
50,创业初期不要在固定资产上投入过多
51,C、
52,注意资金的使用期限
53,D、
54,拉长投资的回收期
55,窗体底端
56,正确答案： D 我的答案：D
57,5
58,创业成功的基本条件不包括（）。
59,1.0 分
60,窗体顶端
61,A、
62,资源
63,B、
64,渠道
65,C、
66,创新能力
67,D、
68,出身背景
69,窗体底端
70,正确答案： D 我的答案：D
71,6
72,下列规避信息风险的策略中，错误的是（）。
73,1.0 分
74,窗体顶端
75,A、
76,不要过分乐观估计产品销量
77,B、
78,不要低估竞争对手
79,C、
80,熟练的业务尽量外包
81,D、
82,合作经营，降低风险
83,窗体底端
84,正确答案： C 我的答案：C
85,7
86,一个生意，当20%的人开始做时他就开始做了，当80%的人都来做的时候他已经撤了。这体现的是创业者的什么特征？（）
87,1.0 分
88,窗体顶端
89,A、
90,善于时间管理
91,B、
92,善于直面问题
93,C、
94,善于自我管理
95,D、
96,善于创新思维
97,窗体底端
98,正确答案： D 我的答案：D
99,8
100,下列创业融资的途径不恰当的是（）。
101,0.0 分
102,窗体顶端
103,A、
104,亲情融资
105,B、
106,风险投资
107,C、
108,爱心捐助
109,D、
110,商业贷款
111,窗体底端
