,题目
0,
1,一、 单选题（题数：50，共 50.0 分） 
2,1  一个女性说：“我像个女汉子那样顶天立地”。这种说法指的是（ ）。 
3, A、 性度  B、 性感  C、 性别自我概念  D、 性向  
4, 
5,2  李子勋老师在关于“自我”的讲解中提到脂肪时所持的观点不包括（ ）。
6, A、脂肪是生命中最具灵性的组织  B、构成大脑、神经系统、酶系统主要是脂肪  C、人的面容耐不耐看取决于脂肪对我们的塑形 D、追求塑形就是想尽一切办法减少脂肪 
7, 
8,3男性与女性在行为方式上的差异通常称之为（ ）。
9,性别 B、  性别角色 C、 性 D、  性别认同 
10, 
11,4唐代女性在性文化方面的外在表现是（ ）。
12, 束胸、裹脚 B、  守节、遵循“三纲五常” C、  可以离婚、再嫁 D、  深居闺楼  
13, 
14,5青年期常见的性心理障碍不包括（ ）。 
15,恋物癖 B、 露阴癖 C、 同性恋 D、 窥阴癖  
16, 
17,6大学阶段我们最好把两性关系发展在恋这一阶段，有关“恋”的表述不正确的是（ ） 
18,A、  两性相恋可以促使人的亲密能力成长 B、  相恋的人可以完全打开身体边界 
19,C、  相恋需要无条件悦纳他人 D、  相恋的时候不那么主张发生性关系  
20, 
21,7坚持安全性行为包括很多方面，其中( )是底线。 
22,禁欲  B、  固定性伴侣 C、  拒绝肛交 D、  正确使用安全套 
23, 
24,8提出泛性论与潜意识理论的心理学家是（ ）。
25,皮亚杰 B、  艾瑞克森 C、 斯金纳 D、  弗洛伊德 
26, 
27,9美国金塞提出的性取向的计分法中0分代表（ ）。 
28, 绝对异性恋 B、  素质性同性恋 C、 双性恋 D、  自我不和谐同性恋 
29, 
30,10自我意识性别与生物学性别不一致，称为（ ）。
31, 性认同障碍 B、  性偏好障碍 C、  性取向障碍 D、 同性恋  
32, 
33,11目前艾滋病治疗方法中最经典最有效的疗法是( )。
34,A、  抗病毒治疗 B、  抗逆转录病毒治疗ART（鸡尾酒疗法） C、  对症治疗 
35,D、  激素治疗   
36, 
37,12弗洛伊德认为的俄狄浦斯情结期指的年龄阶段是（ ）。
38,A、 0-1岁 B、 2-4岁 C、 4-6岁 D、 6-14岁    
39, 
40,13人类性发展具有跨文化色彩，远古时代最先出现的是（ ）。
41, 女神崇拜 B、  生殖崇拜 C、  母神崇拜 D、  男性生殖崇拜 
42,14在社会心理层面，青少年的性困惑的主要表现不包括（ ）。
43, 男女性心理的差异性 B、  性心理的压抑性 C、  性道德标准 D、  性心理的动荡性
44, 
45,15第三性征主要是指男女的社会性别，其影响因素不包括（ ）。
46, 父母教养方式 B、  性别刻板文化 C、  基因遗传 D、  社会不同要求 
47, 
48,16下列选项不属于50-80年代中期中国性文化表现的是（ ）。 
49, 各种书籍、影视畏“性”如虎 B、  服饰颜色主要是黑、白、灰、军绿、兰 C、  关于“婚外恋”、“性生活”等一类词出现 D、  不允许穿“奇装异服”，只穿中山服，长裙 
50, 
51,17下列选项不属于女性在生理上的三个特别时期的是（）。
52,月经期 B、  怀孕与哺乳期 C、 绝经期 D、 青春期  
53, 
54,18大学阶段性心理的矛盾性表现不包含（ ）。 
55, 生理成熟与心理不适的矛盾 B、  传统性观念与开放性观念的矛盾 C、  男女两性性心理的矛盾 D、  生理需要与社会规范的矛盾  
56, 
57,19在亲密关系中，你还没有准备好要与对方分享你的身体时，可以做出的预先干预不包括：
58, 着装避免过分暴露 B、  晚上十点以前和他说拜拜 C、  在寝室单独相处 D、  严肃的提醒他要对结果负责； 
59, 
60,20大学生性心理发展特点不包括（ ）。
61, 易于被本能驱使 B、拘谨与羞涩，患得患失 C、  文饰性强 D、  性意识萌芽 
62, 
63,21.2013年世界卫生组织建议艾滋病治疗起始时间应提早到患者CD4细胞计数少于( )个/立方毫米的时候。 
64,A、 350       B、 400          C、 450         D、 500  
65, 
66,22违愿是指违背自己的意愿而发生性关系，下列表述不属于违愿的是：（ ）。
67, 两个相爱的人为发展婚姻关系而发生情爱 B、  因为感激而发生情爱 C、  性知识匮乏情况下而发生情爱 D、  为了获得利益而发生情爱  
68, 
69,23性是两性关系中的最高等级，由此在法律上夫妻关系是（ ）。 
