,题目
0, 
1,1
2,探问自己过去问题不存在或有成功经验的例外经验及其细节是指（ ）
3,1.0 分
4,窗体顶端
5,A、
6,奇迹询问
7, 
8,B、
9,例外思维
10, 
11,C、
12,评量询问
13, 
14,D、
15,创新思维
16, 
17,窗体底端
18,我的答案：B
19,2
20,如果本专业在学校开设时间不久，那么需要：
21,1.0 分
22,窗体顶端
23,A、
24,主动研究本专业的体系与结构
25, 
26,B、
27,需要考虑本专业的基础性
28, 
29,C、
30,更认真投入地学习
31, 
32,D、
33,说明本专业有发展前景
34, 
35,窗体底端
36,我的答案：A
37,3
38,喜欢与符号、概念、文字、抽象思考有关活动，不喜欢领导、竞争等需要企业能力的工作，符合哪种兴趣类型的特点？
39,1.0 分
40,窗体顶端
41,A、
42,艺术型
43, 
44,B、
45,研究型
46, 
47,C、
48,实际型
49, 
50,D、
51,事务型
52, 
53,窗体底端
54,我的答案：B
55,4
56,引领整个讨论进行，不断进行总结和升华，经常透过现象看本质，不断分析他人的观点，不断将大家的观点整合成新的观点，形成完整的、有逻辑的体系。这是对无领导小组讨论中哪个角色的行为要求？
57,1.0 分
58,窗体顶端
59,A、
60,破冰者
61, 
62,B、
63,领导者
64, 
65,C、
66,组织者
67, 
68,D、
69,总结者
70, 
71,窗体底端
72,我的答案：B
73,5
74,面试沟通中与面试官目光交流的方式是：
75,1.0 分
76,窗体顶端
77,A、
78,一刻不离地注视着对方的眼睛
79, 
80,B、
81,注视着对方的额头思考和表达
82, 
83,C、
84,关注两眼与鼻子间的三角区
85, 
86,D、
87,盯着自己的简历，显得有底气
88, 
89,窗体底端
90,我的答案：C
91,6
92,根据HR看简历的方式，什么特点的简历更容易胜出？
93,1.0 分
94,窗体顶端
95,A、
96,形象专业、重点突出、信息与岗位匹配
97, 
98,B、
99,声情并茂，语言生动感人
100, 
101,C、
102,包装精美，彩色打印，制作精良，一看就特别重视
103, 
104,D、
105,手写的，一看就非常真诚
106, 
107,窗体底端
108,我的答案：A
109,7
110,求职方法中，成功率最高的方法是通过____。
111,1.0 分
112,窗体顶端
113,A、
114,人才中介
115, 
116,B、
117,校园招聘
118, 
119,C、
120,招聘广告
121, 
122,D、
123,人际资源
124, 
125,窗体底端
126,我的答案：D
127,8
128,生涯规划与发展三步走：第一就是定位方向；第二是确定当前状态/况；第三是：
129,1.0 分
130,窗体顶端
131,A、
132,去发现新的机会
133, 
134,B、
135,反思当前规划
136, 
137,C、
138,磨炼自己的能力
139, 
140,D、
141,寻找发挥的空间
142, 
143,窗体底端
144,我的答案：C
145,9
146,四度人生中的长度指的就是（）。
147,1.0 分
148,窗体顶端
149,A、
150,人生的长短
151, 
152,B、
153,人生的目标
154, 
155,C、
156,人生的成就
157, 
158,D、
159,人生的经验
160, 
161,窗体底端
162,我的答案：C
163,10
164,发射的信息通常有三种形式：言语、（ ）、书面。
165,1.0 分
166,窗体顶端
167,A、
168,面部表情
169, 
170,B、
171,体态表情
172, 
173,C、
174,情绪表达
175, 
176,D、
177,非言语
178, 
179,窗体底端
180,我的答案：D
181,11
182,“先就业再择业”的最大问题是：
183,1.0 分
184,窗体顶端
185,A、
186,没问题
187, 
188,B、
189,路径依赖
190, 
191,C、
192,应该鼓励
193, 
194,D、
195,效率低
196, 
197,窗体底端
198,我的答案：B
199,12
200,决策金字塔一共有（ ）层
201,1.0 分
202,窗体顶端
203,A、
204,1
205, 
206,B、
207,2
208, 
209,C、
210,3
211, 
212,D、
213,4
214, 
215,窗体底端
216,我的答案：C
217,13
218,自我效能感的来源有：（）、替代经验、言语劝说、情绪唤醒、情景条件。
219,1.0 分
220,窗体顶端
221,A、
222,失败的经历
223, 
224,B、
225,人生经历
226, 
227,C、
228,有意义的经历
229, 
230,D、
231,成功的经历
232, 
233,窗体底端
234,我的答案：D
235,14
236,HR问我有什么缺点时，我应该：
237,1.0 分
238,窗体顶端
239,A、
240,说自己没有缺点
241, 
242,B、
243,拿一个明显是优点的特点说成是缺点，实际上是变相表扬自己
244, 
245,C、
246,不加选择地说出自己的最大缺点，显得特别真诚
247, 
248,D、
249,说出自己的一个真实的缺点，但要是可以弥补的，并且要说说自己如何思考、改变，且这个缺点对于这个岗位不能是致命的缺点
250, 
251,窗体底端
252,我的答案：D
253,15
254,通常来说，崇尚自由自在、富有创意、创新自主、自由多样价值观的人，相对更适合从事哪类职业？
255,1.0 分
256,窗体顶端
257,A、
258,艺术创造类
259, 
260,B、
261,工程类
262, 
263,C、
264,财务会计类
265, 
266,D、
267,计算机操作类
268, 
269,窗体底端
270,我的答案：A
271,16
272,职业测评中，C型代表的是（）。
