,题目
0,一、 单选题（题数：50，共 50.0 分）
1,14444除以9的余数是（）。1.0 分
2,A、
3,8.0
4,B、
5,7.0
6,C、
7,6.0
8,D、
9,5.0
10,正确答案： B 我的答案：B
11,2（）改变了运算的顺序。1.0 分
12,A、
13,运算规则
14,B、
15,运算符号
16,C、
17,运算律
18,D、
19,云运算方法
20,正确答案： C 我的答案：C
21,3若分子分母都不是多项式，则将（）后再约分。1.0 分
22,A、
23,分子分母进行因式分解
24,B、
25,分子分母变成多项式
26,C、
27,分子分母进行因式合并
28,D、
29,以上答案均正确
30,正确答案： B 我的答案：B
31,4（）相等的两条直线不相交。0.0 分
32,A、
33,对顶角
34,B、
35,同位角
36,C、
37,内错角
38,D、
39,临补角
40,正确答案： C 我的答案：B
41,5y=x+b中，为确保信息x的安全，b值应该（）。1.0 分
42,A、
43,设为某一常数
44,B、
45,设为零
46,C、
47,设为变化值
48,D、
49,设为x的倍数
50,正确答案： C 我的答案：C
51,6在数学科学的发展中人类最早认识的是（）。1.0 分
52,A、
53,整数
54,B、
55,函数
56,C、
57,数域
58,D、
59,集合
60,正确答案： A 我的答案：A
61,7arctan(1/2)+arctan(1/3)的值为：1.0 分
62,A、
63,π/4
64,B、
65,0.25
66,C、
67,π/2
68,D、
69,0.5
70,正确答案： A 我的答案：A
71,8“音色”最终由什么所决定？1.0 分
72,A、
73,波形
74,B、
75,波峰
76,C、
77,波谷
78,D、
79,频率
80,正确答案： A 我的答案：A
81,9两个“等差数列”的和组成的数列为：1.0 分
82,A、
83,等比数列
84,B、
85,等差数列
86,C、
87,普通数列
88,D、
89,不一定是等差数列
90,正确答案： B 我的答案：B
91,10在数学问题的解决过程中（）起着至关重要的作用。1.0 分
92,A、
93,运算律
94,B、
95,定理
96,C、
97,性质
98,D、
99,假设
100,正确答案： A 我的答案：A
101,11x模3余2，同时模5余3，则在（）中选取x可保证x值一定模3余2。1.0 分
102,A、
103,2k
104,B、
105,2+k，k为整数
106,C、
107,2+2k，k为整数
108,D、
109,2+3k，k为整数
110,正确答案： D 我的答案：D
111,12抽象只能通过（）来理解。1.0 分
112,A、
113,体会
114,B、
115,实践
116,C、
117,学习
118,D、
119,模仿
120,正确答案： A 我的答案：A
121,13连续函数的介值定理认为一个连续函数在一个点处函数值小于零，在另一个点处大于零，则在这两个点上必定有一个函数值等于（）。1.0 分
122,A、
123,1.0
124,B、
125,-1.0
126,C、
127,.0
128,D、
129,以上答案均有可能
130,正确答案： C 我的答案：C
131,14用mathematica软件画某函数的图像时，软件要求（）。1.0 分
132,A、
133,规定变量的值只能为整数
134,B、
135,规定函数的值只能为整数
136,C、
137,规定变量的取值范围
138,D、
139,规定函数的取值范围
140,正确答案： C 我的答案：C
141,15微积分中强调的观点是（）。0.0 分
142,A、
143,以直代曲
144,B、
145,以直代曲
146,C、
147,以微观代替宏观
148,D、
149,以宏观代替微观
150,正确答案： A 我的答案：B
151,16从精确度来讲，以下（）的精确度最高。1.0 分
152,A、
153,极限
154,B、
155,微分
156,C、
157,泰勒函数
158,D、
159,积分
160,正确答案： C 我的答案：C
161,17从微分学角度来讲，圆的面积可以被理解为（）的面积和。1.0 分
162,A、
163,三角形
164,B、
165,扇形
166,C、
167,长方形
168,D、
169,不规则几何图形
170,正确答案： C 我的答案：C
171,18通过有招学无招，这里的有招是指（）。1.0 分
172,A、
173,数学方法
174,B、
175,数学精华
176,C、
177,精彩数学案例
178,D、
179,数学思想
180,正确答案： C 我的答案：C
181,19对于二阶行列式其结果等于（）的概率最大。1.0 分
182,A、
183,合数
184,B、
185,素数
186,C、
187,偶数
188,D、
189,奇数
190,正确答案： C 我的答案：C
191,"20在mathmatic数学软件中，画图指令plot[sum[sin[k*x]/k,{k,1,9,2}],{x,-2PI,2PI}],这里的2是指（）。1.0 分"
192,A、
193,x的取值
194,B、
195,x的取值方式是隔数取值
196,C、
197,x的取值范围为定义范围的两倍
198,D、
199,x的取值为连续取值
200,正确答案： B 我的答案：B
201,21以前德国密码中开头都会有千篇一律赞扬希特勒的语句，这相当于告诉密码破译者一段（）。1.0 分
202,A、
203,明文
204,B、
205,密文
206,C、
207,密钥
208,D、
209,所传递的信息
210,正确答案： A 我的答案：A
211,22千千万万的函数中，最简单的函数是（）。1.0 分
212,A、
213,三角函数
214,B、
215,一次函数
216,C、
217,指数函数
218,D、
219,对数函数
220,正确答案： B 我的答案：B
221,23y=sin(1/x)，当x接近于0时，函数图象的变化会（）。1.0 分
222,A、
223,保持不变
224,B、
225,越来越慢
226,C、
227,越来越快
228,D、
229,以上答案均错误
230,正确答案： C 我的答案：C
231,24数学大观本课程强调的是（）。1.0 分
232,A、
233,技巧
234,B、
235,思想
236,C、
237,方法
238,D、
239,文化
240,正确答案： C 我的答案：C
241,25无群圆点在与地面垂直平面上的投影是圆，则在无限远处该无群圆点在地面上的投影很可能是（）。1.0 分
242,A、
243,抛物线
244,B、
245,双曲线
246,C、
247,圆
248,D、
249,椭圆
250,正确答案： B 我的答案：B
251,26美术中的数学是指（）。1.0 分
252,A、
253,高等几何
254,B、
255,平面几何
256,C、
257,摄影集合
258,D、
259,立体几何
260,正确答案： C 我的答案：C
261,27随机性检验是用来（）。1.0 分
262,A、
263,提供加密方法
264,B、
265,提供密码
266,C、
267,判断密码质量的标准
268,D、
269,判断密钥质量
270,正确答案： C 我的答案：C
271,28当今的奥数考察的是（）。1.0 分
272,A、
273,线性代数
274,B、
275,数论
276,C、
277,概率论
278,D、
279,高等数学
280,正确答案： B 我的答案：B
281,29x模a余r1，模b余r2，模c余r3，若x有解，则abc的关系是（）。1.0 分
282,A、
283,至少有两个互为素数
284,B、
285,至少有一个质数
286,C、
287,两两互素
288,D、
