,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,以下对后现代史学的说法错误的是？
3,1.0 分
4,A、
5,后现代史学放弃了结构主义普遍主义的整体史的追求。
6,B、
7,后现代史学否认西方史学中的“大写历史”和“欧洲中心论”
8,C、
9,后现代史学阻碍了中国历史文化的普及和对西方的认知。
10,D、
11,后现代史学解构西方近现代史学对历史的建构与第三世界文化和历史的描述。
12,正确答案： C 我的答案：C
13,2
14,行文秩序以什么为中心
15,1.0 分
16,A、
17,思想
18,B、
19,中心意思
20,C、
21,章节
22,D、
23,作者喜好
24,正确答案： C 我的答案：C
25,3
26,宗教艺术是什么样的
27,1.0 分
28,A、
29,权利的
30,B、
31,生活的
32,C、
33,神圣的
34,D、
35,文化的
36,正确答案： C 我的答案：C
37,4
38,人文学科的进步靠什么体现
39,1.0 分
40,A、
41,论文
42,B、
43,著作
44,C、
45,讲座
46,D、
47,语录
48,正确答案： A 我的答案：A
49,5
50,写作就是什么
51,1.0 分
52,A、
53,文学修养
54,B、
55,文学抒情
56,C、
57,文字表达训练
58,D、
59,表现自己的方式
60,正确答案： C 我的答案：C
61,6
62,我国美学家李泽厚最重要的著作是
63,1.0 分
64,A、
65,《美学》
66,B、
67,《美学原理》
68,C、
69,《批判哲学的批判》
70,D、
71,《理性批判》
72,正确答案： C 我的答案：C
73,7
74,中国人一年阅读量为多少
75,1.0 分
76,A、
77,0.4本
78,B、
79,0.5本
80,C、
81,0.6本
82,D、
83,0.7本
84,正确答案： D 我的答案：D
85,8
86,关于兰克下列说法不正确的是？
87,1.0 分
88,A、
89,他著述的《教皇史》客观叙述、资料丰富。
90,B、
91,他是客观主义史学的创始人。
92,C、
93,他的史学观念受到19世纪自然科学成就的影响。
94,D、
95,他只对当时的西欧史学界产生了影响。
96,正确答案： D 我的答案：D
97,9
98,产品可以分为（）个阶段。
99,1.0 分
100,A、
101,5
102,B、
103,4
104,C、
105,3
106,D、
107,2
108,正确答案： B 我的答案：B
109,10
110,安格尔的《泉》是什么主义的代表
111,1.0 分
112,A、
113,浪漫主义
114,B、
115,修正主义
116,C、
117,古典主义
118,D、
119,现代主义
120,正确答案： C 我的答案：C
