,题目
0,
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,以下属于强烈色对比的一组是（）。
5,0.0 分A、
6,紫色和红色
7,红色与黄色C、
8,蓝色与紫色D、
9,黑色与蓝色
10,窗体底端
11,我的答案：B
12,2
13,OL风格中的OL是英文office lady的缩写，通常指上班族女性穿着的套裙，这种风格是属于哪种风格类型？（）
14,1.0 分窗体顶端A、
15,前卫型B、
16,少女型C、
17,优雅型D、
18,戏剧型
19,窗体底端
20,我的答案：C
21,3
22,以下不符合曲线型着装风格设计的是（）。
23,1.0 分
24,肩部圆润或有下滑的弧线B、
25,骨架线条偏曲，呈S型C、
26,色彩选择为深色、艳色、冷色或者强对比色D、
27,服装面料品质一般选择偏软的、光滑的
28,窗体底端
29,我的答案：C
30,4
31,一个人的第一印象和风格的确定都基本依赖于对哪三个方面的判断？（）
32,0.0 分
33,窗体顶端
34,A、
35,脸、身材和神态B、
36,脸、发型和神态C、
37,脸、身材和发型D、
38,身材、发型和着装
39,窗体底端
40,我的答案：C
41,5
42,按出席场合的性质分为礼服分类可以分为（）。
43,1.0 分
44,窗体顶端
45,A、
46,高级礼服、中级礼服和普通礼服B、
47,大礼服、小礼服和日常礼服C、
48,日礼服和晚礼服D、
49,鸡尾酒会服、舞会服、婚礼服、葬礼服等
50,窗体底端
51,我的答案：D
52,6
53,自然型中的异域自然型风格的女性一般有一种异域的风格，特征相对明显，以下哪个明星是属于异域自然型的风格？（）
54,1.0 分
55,窗体顶端
56,A、
57,李宇春B、
58,杨二车娜姆C、
59,梅艳芳D、
60,莫文蔚
61,窗体底端
62,我的答案：B
63,7
64,关于脸部的量感分析，不正确的是（）。
65,1.0 分
66,窗体顶端
67,A、
68,脸部偏小而圆润是柔和的量感B、
69,脸部细小型、偏宽是硬朗量感C、
70,脸部水平平衡是以两眼之间的距离大小为指标D、
71,两眼中间到嘴的距离较短的表现为硬朗、相反则表现为柔和。
72,窗体底端
73,我的答案：D
74,8
75,根据色彩搭配原则，以下色彩搭配中可以搭配的一组是（）。
76,1.0 分
77,窗体顶端
78,A、
79,冷色+ 暖色B、
80,杂色+ 杂色C、
81,亮色 +亮色D、
82,冷色+ 冷色
83,窗体底端
84,我的答案：D
85,9
86,可以很好地承载卡通图案甚至是涂鸦设计服装单品是（）。
87,1.0 分
88,窗体顶端
89,A、
90,皮夹克B、
91,卫衣C、
92,风衣D、
93,毛衣
94,窗体底端
95,我的答案：B
96,10
97,以下对于不同样式的连衣裙的说法不正确的是（）。
98,1.0 分
99,窗体顶端
100,A、
101,S型连衣裙能够将凹凸有致的身材完美的呈现出来B、
102,H型的连衣裙是最能修饰身材的连衣裙C、
103,A型连衣裙能给人减龄和修饰身材的效果D、
104,X型连衣裙，美丽大方又优雅
105,窗体底端
106,我的答案：B
107,11
