,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1下列电影中，改变自散文的是（）。1.0 分
2,A、
3,《乱世佳人》
4,B、
5,《黄土地》
6,C、
7,《妻妾成群》
8,D、
9,《卧虎藏龙》
10,正确答案： B 我的答案：B
11,2标志着数字技术介入电影艺术的电影是（）。1.0 分
12,A、
13,《泰坦尼克》
14,B、
15,《阿凡达》
16,C、
17,《星球大战》
18,D、
19,《侏罗纪公园》
20,正确答案： C 我的答案：C
21,3电影艺术将西方经典美术难于表现的（）表现了出来。1.0 分
22,A、
23,情境
24,B、
25,情绪
26,C、
27,时间
28,D、
29,视野
30,正确答案： C 我的答案：C
31,4电影语言范式确立的第二个阶段的代表人物是（）。1.0 分
32,A、
33,卢米埃尔
34,B、
35,鲍特
36,C、
37,梅里爱
38,D、
39,格里菲斯
40,正确答案： C 我的答案：C
41,5下列关于电影《一个国家的诞生》说法不正确的是（）。1.0 分
42,A、
43,它是一部史诗性电影。
44,B、
45,它描述的是美国南北战争。
46,C、
47,电影的主旨在于歌颂美国黑奴制度的废除。
48,D、
49,电影运用影像化的语言塑造了很多鲜活人物。
50,正确答案： C 我的答案：C
51,6下列关于视觉文化和印刷文化的说法中，不正确的是（）。1.0 分
52,A、
53,印刷文化是理性文化。
54,B、
55,如今，视觉文化已重新崛起。
56,C、
57,现在占主导地位的是视觉文化，印刷文化很快就会消失。
58,D、
59,历史上印刷文化曾压抑过视觉文化。
60,正确答案： C 我的答案：C
61,7下列关于电影在我国的发展历程，说法不正确的是（）。1.0 分
62,A、
63,上世纪六七十年代电影是宣传工具
64,B、
65,中国第四导演把电影论证成为艺术
66,C、
67,中国第五代导演把电影彻底市场化
68,D、
69,现在电影是文化创意产业
70,正确答案： C 我的答案：C
71,8意大利现实主义风格的电影作品不包括（）。1.0 分
72,A、
73,《偷自行车的人》
74,B、
75,《罗马11点》
76,C、
77,《罗马——不设防的城市》
78,D、
79,《小鞋子》
80,正确答案： D 我的答案：D
81,9中国电影里，第一部完全意义上的3D大片是（）。1.0 分
82,A、
83,《苏乞儿》
84,B、
85,《龙门飞甲》
86,C、
87,《齐天大圣前传》
88,D、
89,《麋鹿王》
90,正确答案： B 我的答案：B
91,10
92,电影（）一方面揭示了契约社会的来临，一方面揭示了电影的造梦功能。
93,1.0 分
94,A、
95,《甲方乙方》
96,B、
97,《顽主》
98,C、
99,《不见不散》
100,D、
101,《一地鸡毛》
102,正确答案： B 我的答案：B
103,11下列关于电影《建国大业》的评析，不正确的是（）。1.0 分
104,A、
105,它采用了历史偶像化的手法
106,B、
107,故事情节不连贯，历史PPT化
108,C、
109,呈现了比较开放的历史观
110,D、
111,情节跌宕起伏，充满悬念
112,正确答案： D 我的答案：D
113,12下列哪部电影的内容中，隐喻过教会控制电影的这段历史？（）1.0 分
114,A、
115,《雨中曲》
116,B、
117,《红色沙漠》
118,C、
119,《艺术家》
120,D、
121,《天堂电影院》
122,正确答案： D 我的答案：D
123,13电影要具有游戏性的功能，娱乐化的功能是因为（）。1.0 分
124,A、
125,它可以让观众角色替代
126,B、
127,它需要为观众产生快乐
128,C、
129,它要产生市场收益
130,D、
131,以上都对
132,正确答案： A 我的答案：A
133,14电影《公民凯恩》被叫做“好莱坞电影的另类”是因为它是一种（）电影。1.0 分
134,A、
135,舞台剧化
136,B、
137,音乐剧化
138,C、
139,小说化
140,D、
141,诗化
142,正确答案： D 我的答案：D
143,15电影《红高粱》中“我爷爷”长大成人的仪式是通过（）来表达的。1.0 分
144,A、
145,写入家谱
146,B、
147,性爱
148,C、
149,烈火永生
150,D、
151,杀死日本鬼子
152,正确答案： B 我的答案：B
153,16电影具有“窗户”功能，尤其是（）类电影。1.0 分
154,A、
155,幻想风格
156,B、
157,喜剧风格
158,C、
159,惊悚风格
160,D、
161,现实风格
162,正确答案： D 我的答案：D
163,17下列关于希区柯克的说法中，不正确的是（）。1.0 分
164,A、
165,他是一名电影摄影师。
166,B、
167,他被称为悬念大师。
168,C、
169,他受弗洛伊德影响，其电影里有很多精神分析因素。
170,D、
171,他有一个喜好，其所有电影中他都会露脸。
172,正确答案： A 我的答案：A
173,18人们常说的第一部真正意义上的彩色电影是（）。1.0 分
174,A、
175,《浮华世界》
176,B、
177,《绝世歌王》
178,C、
179,《红色沙漠》
180,D、
181,《谁陷害了兔子罗杰》
182,正确答案： C 我的答案：C
183,19在电影《有话好好说》，（）扮演的角色是典型的精英意识形态。1.0 分
184,A、
185,姜文
186,B、
187,瞿颖
188,C、
189,李保田
190,D、
191,以上都对
192,正确答案： C 我的答案：C
193,20香港导演王家卫的电影体现了一种（）的追求。1.0 分
194,A、
195,写实性美学
196,B、
197,写意性美学
198,C、
199,全球国际性美学
200,D、
201,香港美学
202,正确答案： B 我的答案：B
203,21下列电影中，不是中国第六代导演纪实风格电影的是（）。1.0 分
204,A、
205,《小武》
206,B、
207,《邻居》
208,C、
