,题目
0,1 
1,第二次世界大战结束后，世界建立了以“（）”为核心的国际秩序。
2,窗体顶端
3,
4,A、 
5,威斯特伐利亚秩序 
6, 
7,B、 
8,维也纳秩序 
9, 
10,C、 
11,凡尔赛─华盛顿秩序 
12, 
13,D、 
14,雅尔塔体系 
15, 
16,窗体底端
17,正确答案： D 我的答案：D 
18,2 
19,窗体顶端
20,
21,A、 
22,不改变两岸政策 
23, 
24,B、 
25,不放弃两岸交流 
26, 
27,C、 
28,不减弱两岸团结 
29, 
30,D、 
31,不搞台湾外交 
32, 
33,窗体底端
34,正确答案： D 我的答案：D 
35,3 
36,2015年10月26-29日，中共十八届（）在北京召开。
37,窗体顶端
38,
39,A、 
40,三中全会 
41, 
42,B、 
43,四中全会 
44, 
45,C、 
46,五中全会 
47, 
48,D、 
49,六中全会 
50, 
51,窗体底端
52,正确答案： C 我的答案：C 
53,4 
54,“只有国家能够直面历史，和解才有可能达成。”这句话是（）访问日本时说出的。
55,窗体顶端
56,
57,A、 
58,施罗德 
59, 
60,B、 
61,卡梅伦 
62, 
63,C、 
64,默克尔 
65, 
66,D、 
67,奥朗德 
68, 
69,窗体底端
70,正确答案： C 我的答案：C 
71,5 
72,海峡两岸交往的前提与条件是（）。
73,窗体顶端
74,
75,A、 
76,中国统一 
77, 
78,B、 
79,和平协议 
80, 
81,C、 
82,台湾模式 
83, 
84,D、 
85,九二共识 
86, 
87,窗体底端
88,正确答案： D 我的答案：A 
89,6 
90,（）是全面建成小康社会、实现现代化的基础。
91,窗体顶端
92,
93,A、 
94,工业 
95, 
96,B、 
97,农业 
98, 
99,C、 
100,服务业 
101, 
102,D、 
103,制造业 
104, 
105,窗体底端
106,正确答案： B 我的答案：B 
107,7 
108,习近平用著名学者王国维关于治学的三种境界来论述理论学习，更体现了他的哪种语言风格？（）
109,窗体顶端
110,
111,A、 
112,平易近人，娓娓道来 
113, 
114,B、 
115,深入浅出，解惑释疑 
116, 
117,C、 
118,广征博引、纵横捭阖 
119, 
120,D、 
121,从容淡定，灵动善融 
122, 
123,窗体底端
124,正确答案： C 我的答案：C 
125,8 
126,“金砖五国”不包括（）。
127,窗体顶端
128,
129,A、 
130,俄罗斯 
131, 
132,B、 
133,南非 
134, 
135,C、 
136,印尼 
137, 
138,D、 
139,巴西 
140, 
141,窗体底端
142,正确答案： C 我的答案：A 
143,9 
144,世界只有两个国家GDP进入了10万亿美元俱乐部，包括（）。
145,窗体顶端
146,
147,A、 
148,美国和日本 
149, 
150,B、 
151,日本和中国 
152, 
153,C、 
154,美国和中国 
155, 
156,D、 
157,美国和欧盟 
158, 
159,窗体底端
160,正确答案： C 我的答案：C 
161,10 
162,中共党内最早提出中国共产党是抗战的“中流砥柱”思想的领袖是（）。
163,窗体顶端
164,
165,A、 
166,陈独秀 
167, 
168,B、 
169,李大钊 
170, 
171,C、 
172,彭德怀 
173, 
174,D、 
175,毛泽东 
176, 
177,窗体底端
178,正确答案： D 我的答案：D 
179,11 
180,习近平提出干部五好标准的首要标准是（）。
181,窗体顶端
182,
183,A、 
184,为民服务 
185, 
186,B、 
187,敢于担当 
188, 
189,C、 
190,信念坚定 
191, 
192,D、 
193,清正廉洁 
194, 
195,窗体底端
196,正确答案： C 我的答案：C 
197,12 
198,埃博拉病毒首先爆发于（）地区。
199,窗体顶端
200,
201,A、 
202,南美洲 
203, 
204,B、 
205,东南亚 
206, 
207,C、 
208,南亚 
209, 
210,D、 
211,非洲 
212, 
213,窗体底端
214,正确答案： D 我的答案：D 
215,13 
216,中国人民抗日战争胜利纪念日是每年的（）。
217,窗体顶端
218,
219,A、 
220,9月30日 
221, 
222,B、 
223,12月13日 
224, 
225,C、 
226,8月15日 
227, 
228,D、 
229,9月3日 
230, 
231,窗体底端
232,正确答案： D 我的答案：D 
233,14 
234,在忻口会战中牺牲的国民党高级将领是（）。
235,窗体顶端
236,
237,A、 
238,左权 
239, 
240,B、 
241,许国璋 
242, 
243,C、 
244,郝梦龄 
245, 
246,D、 
247,张自忠 
248, 
249,窗体底端
250,正确答案： C 我的答案：C 
251,15 
252,通过“一带一路”建设，其沿线国家的进口商品价格会（）。
253,窗体顶端
254,
255,A、 
256,更贵 
257, 
258,B、 
259,更便宜 
260, 
261,C、 
262,不变 
263, 
264,D、 
265,以上都不对 
266, 
267,窗体底端
268,正确答案： B 我的答案：B 
269,16 
270,“蓉欧快铁”的始发地和目的地是（）。
271,窗体顶端
272,
273,A、 
274,重庆—德国 
275, 
276,B、 
277,长沙—德国 
278, 
279,C、 
280,成都到波兰 
281, 
282,D、 
283,合肥到荷兰 
284, 
285,窗体底端
286,正确答案： C 我的答案：C 
287,17 
288,雅尔塔体系的主要内容不包括（）。
289,窗体顶端
290,
291,A、 
292,处置战败国 
293, 
294,B、 
295,重新确定战后欧亚的政治版图 
296, 
297,C、 
298,战犯交付审判 
299, 
300,D、 
301,建立联合国 
302, 
303,窗体底端
304,正确答案： C 我的答案：C 
305,18 
306,被称为拉动经济增长的“三驾马车”不包括（）。
307,窗体顶端
308,
309,A、 
310,投资 
311, 
312,B、 
313,出口 
314, 
315,C、 
316,进口 
317, 
318,D、 
319,消费 
320, 
321,窗体底端
322,正确答案： C 我的答案：C 
323,19 
324,“海洋石油981”在南海海域正式开钻是在（）。
325,窗体顶端
326,
327,A、 
328,1998年 
329, 
330,B、 
331,2000年 
332, 
333,C、 
334,2008年 
335, 
336,D、 
337,2012年 
338, 
339,窗体底端
340,正确答案： D 我的答案：C 
341,20 
342,“全面从严治党”中“全面”的含义包括（）。
343,窗体顶端
344,
345,A、 
