,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,根据微观经济学的观点，寡头垄断市场的特征不包括（）。
3,1.0 分
4,窗体顶端
5,A、
6,供给者数量少
7,B、
8,供给者之间依存性大
9,C、
10,存在很高的进入壁垒
11,D、
12,宽松的技术控制
13,窗体底端
14,我的答案：D
15,2
16,根据微观经济学的观点，以下哪一项属于经济成本的正确分类：（）
17,1.0 分
18,窗体顶端
19,A、
20,显明成本和时间成本
21,B、
22,机会成本和时间成本
23,C、
24,显明成本和隐含成本
25,D、
26,机会成本和隐含成本
27,窗体底端
28,我的答案：C
29,3
30,根据微观经济学的观点，边际成本是每增加一单位产量带来的哪一种成本变化：（）
31,1.0 分
32,窗体顶端
33,A、
34,不定量
35,B、
36,定量
37,C、
38,增量
39,D、
40,减量
41,窗体底端
42,我的答案：C
43,4
44,与单纯博弈策略相比，连续博弈模型在策略实施上有以下哪一种特征：（）
45,1.0 分
46,窗体顶端
47,A、
48,收益次序
49,B、
50,成本次序
51,C、
52,逻辑次序
53,D、
54,时间次序
55,窗体底端
56,我的答案：D
57,5
58,“串谋垄断”是以下哪一位经济学家在《垄断竞争》一书中首次提出的垄断概念：（）
59,1.0 分
60,窗体顶端
61,A、
62,戴高乐
63,B、
64,罗斯福
65,C、
66,丘吉尔
67,D、
68,张伯伦
69,窗体底端
70,我的答案：D
71,6
72,根据经济学的观点，以下哪一项属于个别需求和市场需求所涉及的产品：（）
73,1.0 分
74,窗体顶端
75,A、
76,联合产品的私人产品
77,B、
78,联合产品的公共产品
79,C、
80,非联合产品的私人产品
81,D、
82,非联合产品的公共产品
83,窗体底端
84,我的答案：C
85,7
86,根据微观经济学的观点，“破釜沉舟”属于企业对博弈论中哪一种威胁的反击:（）
87,1.0 分
88,窗体顶端
89,A、
90,不可变化威胁
91,B、
92,可变化威胁
93,C、
94,不可置信威胁
95,D、
96,可置信威胁
97,窗体底端
98,我的答案：D
99,8
100,根据微观经济学的观点，MPPL是以下哪一项指数：（）
101,1.0 分
102,窗体顶端
103,A、
104,技术的边际产量
105,B、
106,资本的边际产量
107,C、
108,劳动的边际产量
109,D、
110,时间的边际产量
111,窗体底端
