,题目
0, 
1, 满分：100.0   
2,一、单选题  
3,1 以下哪个适合做微商头像？（）  
4,A、 动物头像 B、 美女头像 C、 花草头像 D、 风景图像 
5,我的答案：B 
6,2 微信朋友圈内容多少字才不会被折叠？（） 
7,A、 100字 B、 150字 C、 140字 D、 200字 
8,我的答案：C 
9,3 朋友圈的黄金广告位是哪个？（）  
10,A、 a位 B、 b位 C、 c位 D、 d位 
11,我的答案：D 
12,4 2014年元旦qq空间一个小时发表说说多少次？ 
13,A、 3000万次 B、 6800万次 C、 1700万次 D、 2800万次 
14,我的答案：D 
15,5 朋友圈图片什么形状才美观？（）  
16,A、 长方形 B、 正方形 C、 圆形 D、 菱形 
17,我的答案：B 
18,6 朋友圈图片什么形状才美观？ 
19,A、 长方形 B、 正方形 C、 圆形 D、 菱形 
20,我的答案：B 
21,7 微商是否应该暴力刷屏。 
22,A、 可以 B、 不可以 
23,我的答案：B 
24,8 提醒营销是微商朋友圈成交10个技巧中的第几条？（） 
25,A、 5条 B、 7条 C、 9条 D、 10条 
26,我的答案：C 
27,9 微信多少个好友为上限？ 
28,A、 2000个 B、 4000个 C、 5000个 D、 6000个 
29,我的答案：C 
30,10 以下哪个选项不是微信名的组成部分？（） 
31,A、 品牌名 B、 自己的名字 C、 品牌名的注解 D、 后缀名 
32,我的答案：C 
33,11 以下哪个不属于三说理论？（） 
34,A、 自说 B、 他说 C、 大家说 D、 传说 
35,我的答案：C 
36,12 微商用的最多的头像是哪种？ 
37,A、 产品头像 B、 个人头像 C、 品牌头像 D、 团队头像 
38,我的答案：B 
39,13 微信多少个好友为上限？（） 
40,A、 2000个 B、 4000个 C、 5000个 D、 6000个 
41,我的答案：C 
42,14 微商的核心营销平台是什么？（） 
43,A、 微店 B、 微信公众平台 C、 微信朋友圈 D、 微信群 
44,我的答案：C 
45,15 朋友圈的黄金广告位是哪个？ 
46,A、 a位 B、 b位 C、 c位 D、 d位 
47,我的答案：D 
48,16 复制他人朋友圈如何避免折叠？（） 
49,A、 删除几个字 B、 删除重新打 C、 内容头尾稍作修改 D、 添加内容 
50,我的答案：C 
51,17 微信取名原则是什么？ 
52,A、 5个字以内 B、 10个字以内 C、 讲得越清楚越好 
53,我的答案：B 
54,18 微信取名原则是什么。（）  
55,A、 5个字以内 B、 10个字以内 C、 讲得越清楚越好 D、 越个性越好 
56,我的答案：B 
57,19 微信朋友圈内容多少字才不会被折叠？ 
58,A、 100字 B、 150字 C、 140字 D、 200字 
59,我的答案：C 
60,20 复制他人朋友圈如何避免折叠？ 
61,A、 删除几个字 B、 删除重新打 C、 内容头尾稍作修改 
62,我的答案：C 
63,21 提醒营销是微商朋友圈成交10个技巧中的第几条？ 
64,A、 5条 B、 7条 C、 9条 D、 10条 
65,我的答案：C 
66,22 以下哪个选项不是打开朋友圈你看到的位置？（）  
67,A、 朋友圈内容 B、 微信头像 C、 微信相册封面 D、 微信个人签名 
68,我的答案：A 
69,23 很多微商朋友广告语写的是什么？ 
70,A、 售卖产品名称 B、 自己的价值 C、 自己的心情 D、 表情符号 
71,我的答案：C 
72,24 以下哪个微商广告位类型老师没有说过？（）  
73,A、 广告型 B、 客户见证型 C、 活动见证型 D、 自我形象型 
74,我的答案：D 
75,25 微商视频可以连续发吗？ 
76,A、 可以 B、 不可以 
77,我的答案：B 
78,26 2014年元旦qq空间一个小时发表说说多少次？（）  
79,A、 3000万次 B、 6800万次 C、 1700万次 D、 2800万次 
80,我的答案：D 
81,27 很多微商朋友广告语写的是什么？（） 
82,A、 售卖产品名称 B、 自己的价值 C、 自己的心情 D、 表情符号 
83,我的答案：C 
84,28 微商的核心营销平台上什么？ 
85,A、 微店 B、 微信公众平台 C、 微信朋友圈 
86,我的答案：C 
87,29 微商发布朋友圈图片发几张体验最差？（）  
88,A、 1 B、 6 C、 3 D、 5 
89,我的答案：D
90,30 一条朋友圈可以@多少人？（） 
91,A、 3个 B、 5个 C、 10个 D、 6个 
92,我的答案：C  
93,二、判断题  
94,1 成交型文案应该多用符号及段落区别。（）  
95,我的答案： √ 
96,2 微商应该用品牌头像才可以更好的传播。 
97,我的答案： × 
98,3 广告位里面的图片越多越好。（） 
99,我的答案： × 
100,4 成交型文案应该多用符号及段落区别。 
101,我的答案： √ 
102,5 广告位里面的图片越多越好。 
103,我的答案： × 
104,6 微商朋友圈不能重复使用多张照片。 
105,我的答案： √ 
106,7 微商需要不断截图发朋友圈做客户见证。 
107,我的答案： √ 
108,8 微商不应该分享地理位置。 
109,我的答案： × 
110,9 微商视频可以连续发。（） 
111,我的答案： × 
112,10 微商需要不断截图发朋友圈做客户见证。（）  
113,我的答案： √ 
114,11 品牌名可以随意修改。（） 
115,我的答案： × 
116,12 微商视频可以拿来当图片用。 
117,我的答案： × 
118,13 微商朋友圈不能重复使用多张照片。（）  
119,我的答案： √ 
120,14 微商应该暴力刷屏。（） 
121,我的答案： × 
122,15 微商应该用品牌头像才可以更好的传播。（） 
123,我的答案： × 
124,16 微商不应该分享地理位置。（） 
125,我的答案： × 
126,17 微商可以使用花名。 
127,我的答案： √ 
128,18 产生记忆不属于微商销售的过程？ 
129,我的答案： × 
130,19 微商视频可以拿来当图片用。（） 
131,我的答案： × 
132,20 微商领袖词汇不能放在广告语当中。（） 
133,我的答案： ×
134,           微信公众号：琢磨俗僧
135,      Copyright  © 2016~2020 超星尔雅题库 版权所有　
136,本站所有资源均来自互联网，本站只负责收集和整理，均不承担任何法律责任，如有侵权等其它行为
137,请发邮件至：cxeytk@foxmail.com
138,
