,题目
0,、 单选题（题数：50，共 50.0 分）
1,1关于霉菌在自然界中扮演的角色，下列说法错误的是（）。
2,窗体顶端
3,A、
4,提供植物营养
5,B、
6,引起植物、动物和人的疾病
7,C、
8,生产酶、抗生素等
9,D、
10,降解无机物
11,窗体底端
12,正确答案： D 
13,2癣主要是（）。
14,窗体顶端
15,A、
16,表面感染
17,B、
18,皮肤感染
19,C、
20,皮下感染
21,D、
22,系统感染
23,窗体底端
24,正确答案： B 
25,3通过白蛉传播的是（）。
26,窗体顶端
27,A、
28,利什曼原虫
29,B、
30,锥虫
31,C、
32,毛滴虫
33,D、
34,孢子虫
35,窗体底端
36,正确答案： A 
37,4下列疾病中不是由蚊子传播的是（）。
38,窗体顶端
39,A、
40,
41,疟疾
42,
43,B、
44,
45,登革热
46,
47,C、
48,
49,莱姆病
50,
51,D、
52,
53,黄热病
54,
55,窗体底端
56,正确答案： C 
57,5黑死病是由（）从野生鼠传播到人。
58,窗体顶端
59,A、
60,空气
61,B、
62,水源
63,C、
64,唾液
65,D、
66,跳蚤
67,窗体底端
68,正确答案： D 
69,6关于类眼虫的说法错误的是（）。
70,窗体顶端
71,A、
72,带有叶绿体
73,B、
74,属于鞭毛虫
75,C、
76,黑暗中依靠摄食有机物为生
77,D、
78,存在于土壤中
79,窗体底端
80,正确答案： D 我的答案：D
81,7下列关于艾滋病的防治说法错误的是（）。
82, 
83,窗体顶端
84,A、
85,可以采用混合抗病毒药物疗法
86,B、
87,疫苗仍然处于研制阶段
88,C、
89,通过药物治疗已经可以彻底治愈
90,D、
91,可以采取行为干预中断传播
92,窗体底端
93,正确答案： C 
94,8
95,通过食物传播的是（）。
96,1.0 分
97,窗体顶端
98,A、
99,乙肝病毒和戊型肝炎
100,B、
101,乙肝病毒和丙肝病毒
102,C、
103,甲肝病毒和戊型肝炎
104,D、
105,甲肝病毒和丙肝病毒
106,窗体底端
107,正确答案： C 我的答案：C
108,9
109,关于破伤风杆菌，下列说法错误的是（）。
110,1.0 分
111,窗体顶端
112,A、
113,厌氧细菌
114,B、
115,广泛分布与环境、土壤
116,C、
117,棒槌状
118,D、
119,经飞沫传播感染
120,窗体底端
121,正确答案： D 我的答案：D
122,10
123,（）发现了结核分支杆菌是结核病的致病细菌。
124,1.0 分
125,窗体顶端
126,A、
127,巴斯德
128,B、
129,李比希
130,C、
131,科赫
132,D、
133,胡克
134,窗体底端
135,正确答案： C 我的答案：C
136,11
137,下列不属于真菌的特点的是（）。
138,1.0 分
139,窗体顶端
140,A、
141,真核微生物，具有细胞核
142,B、
143,具有细胞壁
144,C、
145,从进化上看，真菌可能更加接近动物
146,D、
147,与细菌相比，细胞较小
148,窗体底端
149,正确答案： D 我的答案：D
150,12
151,下列药物中不属于抗生素的是（）。
152,1.0 分
153,窗体顶端
154,A、
155,青霉素
156,B、
157,头孢菌素
158,C、
159,四环素
160,D、
161,甲氧苄啶
162,窗体底端
163,正确答案： D 我的答案：D
164,13
165,通过将微量的核酸扩增来检测病原的方法是（）。
166,1.0 分
167,窗体顶端
168,A、
169,核酸杂交
170,B、
171,生物芯片
172,C、
173,核酸序列分析
174,D、
175,多聚酶链式反应
176,窗体底端
177,正确答案： D 我的答案：D
178,14
179,根据估算，2007年中国艾滋病病毒携带者至少为（）左右。
180,0.0 分
181,窗体顶端
182,A、
183,20万
184,B、
185,30万
186,C、
187,40万
188,D、
189,50万
190,窗体底端
191,正确答案： C 我的答案：B
192,15
193,下列疾病中不是皮肤接触传播的疾病的是（）。
194,1.0 分
195,窗体顶端
196,A、
197,麻风病
198,B、
199,真菌感染引起的脚气
200,C、
201,葡萄球菌感染
202,D、
203,斑疹伤寒
204,窗体底端
205,正确答案： D 我的答案：D
206,16
207,脊髓灰质炎病毒侵入骨髓引起的后果是（）。
208,0.0 分
209,窗体顶端
210,A、
211,肢体弛缓性瘫痪
212,B、
213,颅神经瘫痪
214,C、
215,呼吸肌瘫痪
216,D、
217,躯干肌瘫痪
218,窗体底端
219,正确答案： B 我的答案：A
220,17
221,下列关于酵母菌的说法错误的是（）。
222,1.0 分
223,窗体顶端
224,A、
225,单细胞真菌
226,B、
227,主要通过发酵糖类产生能量
228,C、
229,有些酵母菌能致病
230,D、
231,主要依靠分裂生殖
232,窗体底端
233,正确答案： D 我的答案：D
234,18
235,微生物采用入侵伤口、媒介动物叮咬主要是为了突破人体免疫的第（）道防线。
236,1.0 分
237,窗体顶端
238,A、
239,一
240,B、
241,二
242,C、
243,三
244,D、
245,四
246,窗体底端
247,正确答案： A 我的答案：A
248,19
249,伤寒可能首先引起（）出血和穿孔。
250,1.0 分
251,窗体顶端
252,A、
253,肺
