,题目
0,一、 单选题（题数：25，共 50.0 分）
1,1
2,qq哪些不是微商引流的阵地？（）
3,2.0 分
4,窗体顶端
5,ØA、
6,日志
7,ØB、
8,说说
9,ØC、
10,相册
11,ØD、
12,qq装扮
13,窗体底端
14,我的答案：D
15,2
16,以下选项哪个淘宝引流老师没说到？（）
17,2.0 分
18,窗体顶端
19,ØA、
20,评论引流
21,ØB、
22,旺旺1对1精准引流
23,ØC、
24,发布货源
25,ØD、
26,加人
27,窗体底端
28,我的答案：D
29,3
30,微商类别是以下哪种类别模式？（）
31,2.0 分
32,窗体顶端
33,ØA、
34,C to B
35,ØB、
36,C to C
37,ØC、
38,C to C to C
39,ØD、
40,B to C to C
41,窗体底端
42,我的答案：C
43,4
44,微商是什么？（）
45,2.0 分
46,窗体顶端
47,ØA、
48,手机上卖东西
49,ØB、
50,直销的电子商务化
51,ØC、
52,社交电商
53,ØD、
54,渠道营销
55,窗体底端
56,我的答案：C
57,5
58,什么是自品牌?()
59,2.0 分
60,窗体顶端
61,ØA、
62,自己创建品牌
63,ØB、
64,把自己打造成品牌
65,ØC、
66,人格品牌化
67,ØD、
68,自己推广品牌
69,窗体底端
70,我的答案：C
71,6
72,个人微商起步阶段怎么做？（）
73,0.0 分
74,窗体顶端
75,ØA、
76,通过微信直接招代理或者销售产品
77,ØB、
78,创造自己的微品牌
79,ØC、
80,做微信公众号来引流
81,ØD、
82,先搭建平台
83,窗体底端
84,我的答案：B
85,7
86,互推的时候不能展现什么？（）
87,2.0 分
88,窗体顶端
89,ØA、
90,文字
91,ØB、
92,产品
93,ØC、
94,个人照
95,ØD、
96,视频
97,窗体底端
98,我的答案：B
99,8
100,一下哪些QQ功能不适合微商引流？（）
101,2.0 分
102,窗体顶端
103,ØA、
104,qq群
105,ØB、
106,qq音乐
107,ØC、
108,qq空间
109,ØD、
110,qq游戏
111,窗体底端
112,我的答案：B
113,9
114,李克强总理什么时候亲临义乌淘宝村？（）
115,2.0 分
116,窗体顶端
117,ØA、
118,2014年8月份
119,ØB、
120,2014年12月份
121,ØC、
122,2015年1月份
123,ØD、
124,2015年5月份
125,窗体底端
126,我的答案：C
127,10
128,微商定位妈妈人群不应该去哪里？（）
129,0.0 分
130,窗体顶端
131,ØA、
132,培训机构
133,ØB、
134,幼儿园
135,ØC、
136,超市
137,ØD、
138,服装店
139,窗体底端
140,我的答案：B
141,11
142,微商是什么？
143,2.0 分
144,窗体顶端
145,ØA、
146,手机上卖东西
147,ØB、
148,直销的电子商务化
149,ØC、
150,社交电商
151,窗体底端
152,我的答案：C
153,12
154,服务关系型的劣势的什么？
155,0.0 分
156,窗体顶端
157,ØA、
158,客户不稳定
159,ØB、
160,利润不高
161,ØC、
162,周期较长
163,ØD、
164,可开发项目小
165,窗体底端
166,我的答案：A
167,13
168,微信如何自裂变效果最好？
169,2.0 分
170,窗体顶端
171,ØA、
172,软文推广
173,ØB、
174,活动推动
175,窗体底端
176,我的答案：B
177,14
178,哪个不属于老师所说的其他引流选项？（）
179,2.0 分
180,窗体顶端
181,ØA、
182,微信引流
183,ØB、
184,微博引流
185,ØC、
186,论坛引流
187,ØD、
188,异业合作
189,窗体底端
190,我的答案：A
191,15
192,微信如何自裂变效果最好？（）
193,2.0 分
194,窗体顶端
195,ØA、
196,Ø软文推广
197,ØB、
198,活动推动
199,ØC、
200,线上交流
201,ØD、
202,口碑推广
203,窗体底端
204,我的答案：B
205,16
206,以下哪个不是老师口中的微商优势？（）
207,2.0 分
208,窗体顶端
209,ØA、
210,零起点
211,ØB、
212,零资金
213,ØC、
214,零经验
215,ØD、
216,零资源
217,窗体底端
218,我的答案：C
219,17
220,课程中老师所说微商创业第一步怎么做？（）
221,0.0 分
222,窗体顶端
223,ØA、
224,以兴趣爱好为支点
225,ØB、
226,以产品模式为支点
227,ØC、
228,以市场调查为支点
229,ØD、
230,以客户需求为支点
231,窗体底端
232,我的答案：D
233,18
234,以下哪个不属于阿里系平台引流？（）
235,2.0 分
236,窗体顶端
237,ØA、
238,淘宝店铺
239,ØB、
240,来网
241,ØC、
242,财付通
243,ØD、
244,淘宝论坛
245,窗体底端
246,我的答案：C
247,19
248,以下哪个选项不是老师所说的微商模式定位？（）
249,0.0 分
250,窗体顶端
251,ØA、
252,品牌资源型
253,ØB、
254,服务关系型
255,ØC、
256,代理渠道型
257,ØD、
258,微商产品型
259,窗体底端
260,我的答案：B
261,20
262,以下哪个不属于阿里系平台引流?
263,2.0 分
264,窗体顶端
265,ØA、
266,淘宝店铺
267,ØB、
268,来网
269,ØC、
270,财付通
271,ØD、
272,淘宝论坛
273,窗体底端
274,我的答案：C
275,21
276,什么是自品牌?
277,2.0 分
278,窗体顶端
279,ØA、
280,自己创建品牌
281,ØB、
282,把自己打造成品牌
283,ØC、
284,人格品牌化
285,窗体底端
286,我的答案：C
287,22
288,微商第一拦路虎是什么？
289,2.0 分
290,窗体顶端
291,ØA、
292,定位产品
293,ØB、
294,卖产品
295,ØC、
296,引流
297,窗体底端
298,我的答案：C
299,23
300,以下哪个不是微商的市场营销定位？（）
301,2.0 分
302,窗体顶端
303,ØA、
304,客户定位
305,ØB、
306,客户价值分析
307,ØC、
308,客户购买能力分析
309,ØD、
310,客户分布分析
311,窗体底端
312,我的答案：C
313,24
314,微信号设置用什么好？（）
315,2.0 分
316,窗体顶端
317,ØA、
318,拼音
319,ØB、
320,英文
321,ØC、
322,数字
323,ØD、
324,符号
325,窗体底端
326,我的答案：C
327,25
