,题目
0,一、 单选题（题数：50，共 50.0 分） 
1,1 
2,蚯蚓家族悲剧产生的原因是两个儿子处理问题的（）不对。
3,1.0 分 
4,窗体顶端
5,ØA、 
6,出发点 
7,ØB、 
8,地点 
9,ØC、 
10,方式 
11,ØD、 
12,时机 
13,窗体底端
14,我的答案：C 
15,2 
16,“撒谎的孩子是好孩子”可以理解为（）。
17,1.0 分 
18,窗体顶端
19,ØA、 
20,撒谎是美德 
21,ØB、 
22,撒谎的孩子想做好孩子 
23,ØC、 
24,适当的谎言无关紧要 
25,ØD、 
26,撒谎的孩子不是好孩子 
27,窗体底端
28,我的答案：B 
29,3 
30,斯滕伯格所提出的爱的内涵要素中不包括如下（）。
31,1.0 分 
32,窗体顶端
33,ØA、 
34,激情 
35,ØB、 
36,亲密 
37,ØC、 
38,承诺 
39,ØD、 
40,思念 
41,窗体底端
42,我的答案：D 
43,4 
44,参加宗教活动的人比其他人幸福的原因不包括（）。
45,1.0 分 
46,窗体顶端
47,ØA、 
48,宗教信仰使人们能够发现生活的意义 
49,ØB、 
50,定期参加宗教活动，成为宗教组织的一员能够为他们提供社会支持 
51,ØC、 
52,宗教常常是和生理与心理上更为健康的生活方式联系在一起的 
53,ØD、 
54,参加宗教活动可以为所欲为 
55,窗体底端
56,我的答案：D 
57,5 
58,幸福的人与愁眉苦脸的人相比，（）被别人选做朋友和信任对象。
59,1.0 分 
60,窗体顶端
61,ØA、 
62,更容易 
63,ØB、 
64,更难 
65,ØC、 
66,同等程度 
67,ØD、 
68,都不容易 
69,窗体底端
70,我的答案：A 
71,6 
72,追求目标的同时（）才是带来幸福的要素。
73,1.0 分 
74,窗体顶端
75,ØA、 
76,去行动 
77,ØB、 
78,去遐想 
79,ØC、 
80,制定计划 
81,ØD、 
82,去倾诉 
83,窗体底端
84,我的答案：A 
85,7 
86,消除消极故事的方法包括（）。
87,1.0 分 
88,窗体顶端
89,ØA、 
90,置之不理 
91,ØB、 
92,倾诉 
93,ØC、 
94,争论真假 
95,ØD、 
96,积极幻想 
97,窗体底端
98,我的答案：C 
99,8 
100,追求目标的同时（）才是带来幸福的要素。
101,1.0 分 
102,窗体顶端
