,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,《幸福是陷阱？》是（）的著作。
4,1.0 分
5,窗体顶端
6,A、
7,乔治·赫伯特·米德
8,B、
9,保罗·艾克曼
10,C、
11,戴尔·卡耐基
12,D、
13,路斯·哈里斯
14,窗体底端
15,正确答案： D 我的答案：D
16,2
17,以下哪项不属于产生情绪所需要经历的阶段（）。
18,0.0 分
19,窗体顶端
20,A、
21,重要事件
22,B、
23,准备行动
24,C、
25,行为表现
26,D、
27,大脑卷入
28,窗体底端
29,正确答案： C 我的答案：A
30,3
31,情绪知觉包括图案、故事和（）。
32,1.0 分
33,窗体顶端
34,A、
35,庆幸
36,B、
37,孤独
38,C、
39,羞愧
40,D、
41,音乐
42,窗体底端
43,正确答案： D 我的答案：D
44,4
45,强烈的积极情绪和（）密切相关，而与人工环境不相关。
46,1.0 分
47,窗体顶端
48,A、
49,社会环境
50,B、
51,家庭环境
52,C、
53,学校环境
54,D、
55,自然环境
56,窗体底端
57,正确答案： D 我的答案：D
58,5
59,情绪产生的脑机制不包括（）。
60,1.0 分
61,窗体顶端
62,A、
63,小脑
64,B、
65,大脑皮层
66,C、
67,下丘脑
68,D、
69,边缘系统
70,窗体底端
71,正确答案： A 我的答案：A
72,6
73,（）是积极情感的传递素，过多会躁狂。
74,1.0 分
75,窗体顶端
76,A、
77,肾上腺素
78,B、
79,多巴胺
80,C、
81,内啡肽
82,D、
83,复合胺
84,窗体底端
85,正确答案： D 我的答案：D
86,7
87,以下哪项不是主观幸福感的基本特点（）。
88,1.0 分
89,窗体顶端
90,A、
91,主观性
92,B、
93,比较性
94,C、
95,稳定性
96,D、
97,整体性
98,窗体底端
99,正确答案： B 我的答案：B
100,8
101,泰勒·本-沙哈尔关于快乐的六点秘诀中不包含以下哪一项（）。
102,1.0 分
103,窗体顶端
104,A、
105,接受自己
106,B、
107,越复杂越好
108,C、
109,身体也重要
110,D、
111,快乐需要意义
112,窗体底端
113,正确答案： B 我的答案：B
114,9
115,西方世界认为（）社会才是他们心目中的人间天堂。
116,1.0 分
117,窗体顶端
118,A、
119,先进的
120,B、
121,现代化的
122,C、
123,原始的
124,D、
125,封建的
126,窗体底端
127,正确答案： C 我的答案：C
128,10
129,房屋质量与生活满意度（）相关。
130,1.0 分
131,窗体顶端
132,A、
133,正比例
134,B、
135,反比例
136,C、
137,中等程度
138,D、
139,几乎不
140,窗体底端
141,正确答案： C 我的答案：C
142,11
143,情绪知觉包括图案、故事和（）。
144,1.0 分
145,窗体顶端
146,A、
147,庆幸
148,B、
149,孤独
150,C、
151,羞愧
152,D、
153,音乐
154,窗体底端
155,正确答案： D 我的答案：D
156,12
157,无论改变的愿望有多大，一切都应从（）开始。
158,1.0 分
159,窗体顶端
160,A、
161,求救
162,B、
163,自我
164,C、
165,他人
166,D、
167,周围环境
168,窗体底端
169,正确答案： B 我的答案：B
170,13
171,蚯蚓家族悲剧产生的原因是两个儿子处理问题的（）不对。
172,1.0 分
173,窗体顶端
174,A、
175,出发点
176,B、
177,地点
178,C、
179,方式
180,D、
181,时机
182,窗体底端
183,正确答案： C 我的答案：C
184,14
185,微观经济学创始人是（）。
186,1.0 分
187,窗体顶端
188,A、
189,马歇尔
190,B、
191,丹尼尔.卡尼曼
192,C、
193,保罗.萨缪尔森
194,D、
195,苏格拉底
196,窗体底端
197,正确答案： A 我的答案：A
198,15
199,当一个人以（）和自主追求的方式来追求目标的时候，主观幸福感才会增加。
200,1.0 分
201,窗体顶端
202,A、
203,外在价值
204,B、
205,社会价值
206,C、
207,他人价值
208,D、
209,内在价值
210,窗体底端
211,正确答案： D 我的答案：D
212,16
213,以下属于内归因的是（）。
214,1.0 分
215,窗体顶端
216,A、
217,能力
218,B、
219,难度
220,C、
221,运气
222,D、
223,政策
224,窗体底端
225,正确答案： A 我的答案：A
226,17
227,追求目标的同时（）才是带来幸福的要素。
228,1.0 分
229,窗体顶端
230,A、
231,去行动
232,B、
233,去遐想
234,C、
235,制定计划
236,D、
237,去倾诉
238,窗体底端
239,正确答案： A 我的答案：A
240,18
241,以下哪项是积极情绪（）。
242,1.0 分
