,题目
0,1 
1,下面关于铁木真描述不正确的一项是：（）
2,1.0 分 
3,窗体顶端
4, 
5,A、 
6,尊号“成吉思汗” 
7, 
8,B、 
9,杰出的军事家 
10, 
11,C、 
12,女真族 
13, 
14,D、 
15,蒙古帝国可汗 
16, 
17,窗体底端
18,我的答案：C 
19,2 
20,宋代的“两府”指的是下面哪一项：（）
21,1.0 分 
22,窗体顶端
23, 
24,A、 
25,门下省和皇帝 
26, 
27,B、 
28,中书省和皇帝 
29, 
30,C、 
31,中书省和枢密院 
32, 
33,D、 
34,宰相和皇帝 
35, 
36,窗体底端
37,我的答案：C 
38,3 
39,三省制于下面哪一时期重新恢复：（）
40,1.0 分 
41,窗体顶端
42, 
43,A、 
44,元丰官制改革时 
45, 
46,B、 
47,范仲淹变法时 
48, 
49,C、 
50,王安石变法前 
51, 
52,D、 
53,以上都不对 
54, 
55,窗体底端
56,我的答案：A 
57,4 
58,下面关于蒙古大汗执政先后顺序的排列正确的是：（）
59,1.0 分 
60,窗体顶端
61, 
62,A、 
63,蒙哥--忽必烈--贵由--窝阔台 
64, 
65,B、 
66,窝阔台--贵由--蒙哥--忽必烈 
67, 
68,C、 
69,贵由--蒙哥--忽必烈--窝阔台 
70, 
71,D、 
72,蒙哥--忽必烈--窝阔台--贵由 
73, 
74,窗体底端
75,我的答案：B 
76,5 
77,下面关于熙宁划界描述不正确的一项是：（）
78,1.0 分 
79,窗体顶端
80, 
81,A、 
82,宋扩大疆域700里 
83, 
84,B、 
85,按照辽的主张划界 
86, 
87,C、 
88,是世界边疆史上的划时代事件 
89, 
90,D、 
91,以上都不对 
92, 
93,窗体底端
94,我的答案：A 
95,6 
96,下面哪一名词准确表述了“辽时期著帐户以外的罪犯被发配到固定的地方”这一现象：（）
97,1.0 分 
98,窗体顶端
99, 
100,A、 
101,配流之家 
102, 
103,B、 
104,外出之家 
105, 
106,C、 
107,流放之家 
108, 
109,D、 
110,以上都不是 
111, 
112,窗体底端
113,我的答案：A 
114,7 
115,天赞四年指的是下面哪一年：（）
116,1.0 分 
117,窗体顶端
118, 
119,A、 
120,924年 
121, 
122,B、 
123,925年 
124, 
125,C、 
126,926年 
127, 
128,D、 
129,927年 
130, 
131,窗体底端
132,我的答案：B 
133,8 
134,仁宗明道元年指的是下面哪一年：（）
135,1.0 分 
136,窗体顶端
137, 
138,A、 
139,1320年 
140, 
141,B、 
142,1230年 
143, 
144,C、 
145,1023年 
146, 
147,D、 
148,1032年 
149, 
150,窗体底端
