,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,宗教传播既是一个选择的过程也是一个（）的相互影响的过程。
3,1.0 分
4,窗体顶端
5,A、
6,传承
7,B、
8,双向
9,C、
10,变革
11,D、
12,创新
13,窗体底端
14,我的答案：B
15,2
16,在国外学术界，比较避讳“原始宗教”这个术语，因为“原始”这个词语带有（）的色彩。
17,1.0 分
18,窗体顶端
19,A、
20,夸大
21,B、
22,褒义
23,C、
24,赞美
25,D、
26,贬义和落后
27,窗体底端
28,我的答案：D
29,3
30,图腾崇拜产生的原因是原始时代的人（）。
31,1.0 分
32,窗体顶端
33,A、
34,没有把人和动物的界限划分清楚
35,B、
36,物质文明和精神文明落后
37,C、
38,生产力落后
39,D、
40,对大自然敬畏
41,窗体底端
42,我的答案：A
43,4
44,佛教三界分别是欲界、色界和（）。
45,1.0 分
46,窗体顶端
47,A、
48,嗔界
49,B、
50,痴界
51,C、
52,贪界
53,D、
54,无色界
55,窗体底端
56,我的答案：D
57,5
58,（）认为巫术是确保各种季节粮食取得丰收的重要手段。
59,1.0 分
60,窗体顶端
61,A、
62,泰勒
63,B、
64,迪尔凯姆
65,C、
66,托尔曼
67,D、
68,弗雷泽
69,窗体底端
70,我的答案：D
71,6
72,牛、羊和（）被称为大三牲。
73,1.0 分
74,窗体顶端
75,A、
76,鸡
77,B、
78,猪
79,C、
80,鸭
81,D、
82,鹅
83,窗体底端
84,我的答案：B
85,7
86,格尔茨认为，（）是指作为观念载体的物、行为、性质或关系。
87,1.0 分
88,窗体顶端
89,A、
90,象征
91,B、
92,色彩象征
93,C、
94,象征符号
95,D、
96,行为象征
97,窗体底端
98,我的答案：C
99,8
100,昭和四十五年（1970年），日本宗教、民俗学家崛一郎开始用（）这个概念代替民间信仰。
101,1.0 分
102,窗体顶端
103,A、
104,信仰
105,B、
106,集体信仰
107,C、
108,宗教民俗
109,D、
110,民俗宗教
111,窗体底端
112,我的答案：D
113,9
114,宋代以后的（）主要是指开创基业、对本家族有特殊贡献的祖先，如周文王，刘邦等。
115,1.0 分
116,窗体顶端
117,A、
118,皇帝
119,B、
120,元老
121,C、
122,始祖
123,D、
124,宰相
