,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,美国工商管理教学学生讨论多是为了提高：（）
3,1.0 分
4,窗体顶端
5,A、
6,表达能力
7,B、
8,操作能力
9,C、
10,决策能力
11,D、
12,执行能力
13,窗体底端
14,正确答案： C 我的答案：C
15,2
16,“开小会”是属于谈判的：（）
17,1.0 分
18,窗体顶端
19,A、
20,方式
21,B、
22,策略
23,C、
24,技能
25,D、
26,过程
27,窗体底端
28,正确答案： B 我的答案：B
29,3
30,行商者对“诚信”要求：（）
31,1.0 分
32,窗体顶端
33,A、
34,可无“信”，必有“诚”
35,B、
36,可无“诚”可无“信”
37,C、
38,必具“诚”和“信”
39,D、
40,可无“诚”，必有“信”
41,窗体底端
42,正确答案： D 我的答案：D
43,4
44,柯达中国感光行业谈判给中方收获：（）
45,1.0 分
46,窗体顶端
47,A、
48,解袱、就业、活资、增收
49,B、
50,解袱、就业、活资、增技
51,C、
52,解袱、减员、活资、增收
53,D、
54,解袱、就业、增收、增技
55,窗体底端
56,正确答案： B 我的答案：B
57,5
58,刘教授的案例启示共有：（）
59,1.0 分
60,窗体顶端
61,A、
62,四个方面
63,B、
64,三个方面
65,C、
66,两个方面
67,D、
68,一个方面
69,窗体底端
70,正确答案： A 我的答案：A
71,6
72,“囚徒两难”例子在现实中常出现类似情况的方面：（）
73,1.0 分
74,窗体顶端
75,A、
76,价格竞争
77,B、
78,环境保护
79,C、
80,价格竞争和环境保护
81,D、
82,生产竞争和小手竞争
83,窗体底端
84,正确答案： C 我的答案：C
85,7
86,朗讯科技公司总部所在国家是：（）
87,1.0 分
88,窗体顶端
89,A、
90,美国
91,B、
92,日本
93,C、
94,法国
95,D、
96,英国
97,窗体底端
98,正确答案： A 我的答案：A
99,8
100,谈判组游戏情况种类：（）
101,1.0 分
102,窗体顶端
103,A、
104,一种
105,B、
106,二种
107,C、
108,三种
109,D、
110,四种
111,窗体底端
112,正确答案： D 我的答案：D
113,9
114,达能主谈是：（）
115,1.0 分
116,窗体顶端
117,A、
118,秦鹏
119,B、
120,宗庆后
121,C、
122,钱颖一
123,D、
124,范易谋
125,窗体底端
126,正确答案： D 我的答案：D
