,题目
0, 
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,观察思维最重要的窗口是（）。
4,1.0 分
5, 
6,    A、
7,    语言
8,    B、
9,    心理活动
10,    C、
11,    大脑
12,    D、
13,    行为
14, 
15,我的答案：A
16,2
17,下列哪一项是音节文字？（）
18,1.0 分
19, 
20,    A、
21,    日语
22,    B、
23,    英语
24,    C、
25,    汉语
26,    D、
27,    韩语
28, 
29,我的答案：A
30,3
31,（）导致语言普遍性的产生。
32,1.0 分
33, 
34,    A、
35,    思维能力
36,    B、
37,    思维方法
38,    C、
39,    思维轨迹
40,    D、
41,    思维模式
42, 
43,我的答案：A
44,4
45,非洲智人什么时候开始走出非洲？（）
46,1.0 分
47, 
48,    A、
49,    20万年前
50,    B、
51,    13万年前
52,    C、
53,    15万年前
54,    D、
55,    10万年前
56, 
57,我的答案：A
58,5
59,汉民族的思维模式是（）。
60,1.0 分
61, 
62,    A、
63,    悟性
64,    B、
65,    智性
66,    C、
67,    理性
68,    D、
69,    感性
70, 
71,我的答案：A
72,6
73,下列哪一项不是文字系统的类型？（）
74,1.0 分
75, 
76,    A、
77,    字母文字
78,    B、
79,    音节文字
80,    C、
81,    楔形文字
82,    D、
83,    字母音节文字
84, 
85,我的答案：C
86,7
87,在汉语和傣语的接触中，傣语对汉语的影响首先发生在汉语的（）上。
88,1.0 分
89, 
90,    A、
91,    语法
92,    B、
93,    词汇
94,    C、
95,    语音
96,    D、
97,    以上各项同时发生
98, 
99,我的答案：A
100,8
101,语言接触的总趋势是（）。
102,1.0 分
103, 
104,    A、
105,    强化
106,    B、
107,    弱化
108,    C、
109,    繁化
110,    D、
111,    简化
112, 
113,我的答案：D
114,9
115,非洲智人最早移动到哪一大洲？（）
116,1.0 分
117, 
118,    A、
119,    北美洲
120,    B、
121,    南美洲
122,    C、
123,    亚洲
124,    D、
125,    澳洲
126, 
127,我的答案：C
128,10
129,“天下万物生于有，有生于无”是哪位哲学家的名言？（）
130,1.0 分
131, 
132,    A、
133,    庄子
134,    B、
135,    孔子
136,    C、
137,    老子
138,    D、
139,    孟子
140, 
141,我的答案：C
142,11
143,下列哪一座山是茶马古道经过的山脉？（）
144,1.0 分
145, 
146,    A、
147,    邛崃山
148,    B、
149,    太行山
150,    C、
151,    泰山
152,    D、
153,    衡山
154, 
155,我的答案：A
156,12
157,下列哪一项事物的出现不能标志着智人具有了一定的符号编码能力？（）
158,1.0 分
159, 
160,    A、
161,    图画
162,    B、
163,    雕刻
164,    C、
165,    文字
166,    D、
167,    瓷器
168, 
169,我的答案：D
170,13
171,语言是一个群体的（）的记录者。
172,1.0 分
173, 
174,    A、
175,    思维模式
176,    B、
177,    思维能力
178,    C、
179,    思维方法
180,    D、
181,    思维轨迹
182, 
183,我的答案：A
184,14
185,汉语中没有虚拟语气属于哪一层语法范畴？（）
186,1.0 分
187, 
188,    A、
189,    宽式范畴
190,    B、
191,    严式范畴
192,    C、
193,    零范畴
194,    D、
195,    词组范畴
196, 
197,我的答案：C
198,15
199,由词演变成词组(例如铁和路都是词，后演变成词语铁路)的过程叫做（）。
200,1.0 分
201, 
202,    A、
203,    虚化
204,    B、
205,    语法化
206,    C、
207,    词汇化
208,    D、
209,    组合
210, 
211,我的答案：C
212,16
213,下列哪一项是人类进化的形态之一？（）
214,1.0 分
215, 
216,    A、
217,    山顶洞人
218,    B、
219,    智人
220,    C、
221,    北京人
222,    D、
223,    元谋人
224, 
225,我的答案：B
226,17
227,下列哪一部文艺作品涉及到了茶马古道中的中甸地区？（）
228,1.0 分
229, 
230,    A、
231,    消失的地平线
232,    B、
233,    红河谷
234,    C、
235,    边城
236,    D、
237,    尘埃落定
238, 
239,我的答案：A
240,18
241,“语言是有限规则和单位生成的无限句子。”最早出自乔姆斯基的（）。
242,1.0 分
243, 
244,    A、
245,    《普通语言学教程》
246,    B、
247,    《语言论》
248,    C、
249,    《句法结构》
250,    D、
251,    《语言文化论》
252, 
253,我的答案：C
254,19
255,符号活动出现于（）。
256,1.0 分
257, 
258,    A、
259,    南猿时期
260,    B、
261,    直立人时期
262,    C、
263,    晚期智人
264,    D、
265,    早期智人
