,题目
0,   成绩： 100.0分
1, 
2,一、 单选题（题数：50，共 50.0 分） 
3,1 
4,“愚公移山”的精神特质更倾向于？
5,窗体顶端
6,
7,A、 
8,功利主义者 
9,B、 
10,完美主义者 
11,C、 
12,理想主义者 
13,D、 
14,经验主义者 
15,窗体底端
16,我的答案：C 
17,2 
18,哲学家所做的一切都是为了？
19,窗体顶端
20,
21,A、 
22,创造新时代 
23,B、 
24,解放人们的思想 
25,C、 
26,构建一个社会秩序 
27,D、 
28,解释一个现象 
29,窗体底端
30,我的答案：C 
31,3 
32,荷马史诗中所讲的命运来自于？
33,窗体顶端
34,
35,A、 
36,人所创造的 
37,B、 
38,自然界本身 
39,C、 
40,人与自然共同创造的 
41,D、 
42,神所构建的 
43,窗体底端
44,我的答案：B 
45,4 
46,“通过沉思来感受上帝的至乐与至善，从而获得一种神性的幸福，即最大的幸福。”这是谁的观点？
47,窗体顶端
48,
49,A、 
50,苏格拉底 
51,B、 
52,柏拉图 
53,C、 
54,亚里士多德 
55,D、 
56,黑格尔 
57,窗体底端
58,我的答案：C 
59,5 
60,下列关于对话法说法不正确的是？
61,窗体顶端
62,
63,A、 
64,对话法也被称为“精神助产术” 
65,B、 
66,它最早由苏格拉底提出 
67,C、 
68,它直接地教授学生知识 
69,D、 
70,柏拉图推崇对话法 
71,窗体底端
72,我的答案：C 
73,6 
74,西方伦理史的归结点是？
75,窗体顶端
76,
77,A、 
78,存在主义哲学 
79,B、 
80,柏拉图主义 
81,C、 
82,黑格尔哲学 
83,D、 
84,马克思主义思想 
85,窗体底端
86,我的答案：D 
87,7 
88,《资本论》的作者是？
89,窗体顶端
90,
91,A、 
92,恩格斯 
93,B、 
94,马克思·韦伯 
95,C、 
96,维特根斯坦 
97,D、 
98,马克思 
99,窗体底端
100,我的答案：D 
101,8 
102,美的理念依托于？
103,窗体顶端
104,
105,A、 
106,人们的观察 
107,B、 
108,社会的认可 
109,C、 
110,具体的美的事物 
111,D、 
112,发现的视角 
113,窗体底端
114,我的答案：C 
115,9 
116,以下哪位人物是中世纪教父哲学的集大成者？
117,窗体顶端
118,
119,A、 
120,阿奎那 
121,B、 
122,奥古斯丁 
123,C、 
124,路德 
125,D、 
126,加尔文 
127,窗体底端
128,我的答案：B 
129,10 
130,以下说法错误的是？
131,窗体顶端
132,
133,A、 
134,伟大的人物通常具有伟大的抱负 
135,B、 
136,伟大的人物在成就事业时具有更高的幸福感 
137,C、 
138,伟大的人物通常眼高手低 
139,D、 
140,伟大的人物常产生在时代的转折点 
141,窗体底端
142,我的答案：C 
143,11 
144,思想体系较为完备的伟人不包括？
145,窗体顶端
146,
147,A、 
148,柏拉图 
149,B、 
150,叔本华 
151,C、 
152,亚里士多德 
153,D、 
154,尼采 
155,窗体底端
156,我的答案：B 
157,12 
158,萨特出生于？
159,窗体顶端
160,
161,A、 
162,1898年 
163,B、 
164,1254年 
165,C、 
166,1786年 
167,D、 
168,1905年 
169,窗体底端
170,我的答案：D 
171,13 
172,“哲学就是宗教学”这句话是谁说的？
173,窗体顶端
174,
175,A、 
176,马克思 
177,B、 
178,奥古斯丁 
179,C、 
180,阿奎那 
181,D、 
182,康德 
183,窗体底端
184,我的答案：B 
185,14 
186,以下对欲望的说法正确的是？
187,窗体顶端
188,
189,A、 
190,欲望的种类是有限的。 
191,B、 
192,有欲望就有幸福 
193,C、 
194,欲望都是积极的 
195,D、 
196,欲望给人带来痛苦 
197,窗体底端
198,我的答案：D 
199,15 
200,马克思曾经为什么与人决斗？
201,窗体顶端
202,
203,A、 
204,身材矮小 
205,B、 
206,学习差 
207,C、 
208,脾气坏 
209,D、 
210,被歧视 
211,窗体底端
212,我的答案：D 
213,16 
214,“美的理念是永恒的”这一说法是由谁提出的？
215,窗体顶端
216,
217,A、 
218,苏格拉底 
219,B、 
220,柏拉图 
221,C、 
222,黑格尔 
223,D、 
224,康德 
225,窗体底端
226,我的答案：B 
227,17 
228,奥古斯丁认为知识是通过什么方式获得的？
229,窗体顶端
230,
231,A、 
232,回忆的方式 
233,B、 
234,抽象思维 
235,C、 
236,上帝照亮 
237,D、 
238,经验传承 
239,窗体底端
240,我的答案：C 
241,18 
242,以下属于萨特在资本主义社会中成名的主要原因是？
243,窗体顶端
244,
245,A、 
246,他以易懂的方式揭露社会的弊病 
247,B、 
248,他既接受马克思主义又反对马克思主义的核心部分 
249,C、 
250,他并不反对资本主义社会制度 
251,D、 
252,以上说法都正确 
253,窗体底端
254,我的答案：D 
255,19 
256,以下属于罗马帝国时期的伦理学代表人物的是？
257,窗体顶端
258,
259,A、 
260,边沁 
261,B、 
262,阿奎那 
263,C、 
264,斯宾诺莎 
265,D、 
266,马基雅维利 
267,窗体底端
268,我的答案：B 
269,20 
270,荷马史诗包括几部？
271,窗体顶端
272,
273,A、 
274,5.0 
275,B、 
276,4.0 
277,C、 
278,3.0 
279,D、 
280,2.0 
281,窗体底端
282,我的答案：D 
283,21 
284,社会的发展来自于？
285,窗体顶端
286,
287,A、 
288,人对物质生活的追求 
289,B、 
290,人对精神领域的追求 
291,C、 
292,人对快乐的追求 
293,D、 
294,人对幸福指数的追求 
295,窗体底端
296,我的答案：C 
297,22 
298,米利都学派的创始人是？
299,窗体顶端
300,
301,A、 
302,阿那克西曼德 
303,B、 
304,泰勒斯 
305,C、 
306,赫拉克利特 
307,D、 
308,阿那克西美尼 
309,窗体底端
310,我的答案：B 
311,23 
312,下列关于狭义的幸福说法正确的是？
313,窗体顶端
314,
315,A、 
316,它是受物质驱动的。 
317,B、 
318,它是一种感官的快乐。 
319,C、 
320,它是一种理性的幸福。 
321,D、 
322,它的幸福种类是有限的。 
323,窗体底端
324,我的答案：C 
325,24 
326,黑格尔与马克思共同所在过的大学是？
327,窗体顶端
328,
329,A、 
330,波恩大学 
331,B、 
332,柏林大学 
333,C、 
334,剑桥大学 
335,D、 
336,牛津大学 
337,窗体底端
338,我的答案：B 
339,25 
340,柏拉图所说的科学研究不包括？
341,窗体顶端
342,
343,A、 
344,生学 
345,B、 
346,天文学 
347,C、 
348,数学 
349,D、 
350,文学 
351,窗体底端
352,我的答案：D 
353,26 
354,我们适用马克思主义体现了我国文化的？
355,窗体顶端
356,
357,A、 
358,包容性 
359,B、 
360,兼并性 
361,C、 
362,哲学性 
363,D、 
364,伦理性 
365,窗体底端
366,我的答案：A 
367,27 
368,社会的首要任务是？
369,窗体顶端
370,
371,A、 
372,物质进步 
373,B、 
374,发展生产力 
375,C、 
376,精神进步 
377,D、 
378,发展生存空间 
379,窗体底端
380,我的答案：B 
381,28 
382,存在主义的表现方式不包括？
383,窗体顶端
384,
385,A、 
386,文学 
387,B、 
388,小说 
389,C、 
390,戏剧 
391,D、 
392,宗教 
393,窗体底端
394,我的答案：D 
395,29 
396,以下不属于桃园三结义的人物是？
397,窗体顶端
398,
399,A、 
400,赵云 
401,B、 
402,关羽 
403,C、 
404,张飞 
405,D、 
406,刘备 
407,窗体底端
408,我的答案：A 
409,30 
410,“存在就是被感知”这句名言出自谁之口？
411,窗体顶端
412,
413,A、 
414,奥古斯丁 
415,B、 
416,洛克 
417,C、 
418,贝克莱 
419,D、 
420,卢克莱修 
421,窗体底端
422,我的答案：C 
423,31 
424,下列关于伦理学说法错误的是？
425,窗体顶端
426,
427,A、 
428,它被称为道德学 
429,B、 
430,它属于心理学的一个分支 
431,C、 
432,它很早就在西方产生 
433,D、 
434,它具有逻辑性 
435,窗体底端
436,我的答案：B 
437,32 
438,伟大的艺术表达的往往是？
439,窗体顶端
440,
441,A、 
442,心灵的向往 
443,B、 
444,精神的错乱 
445,C、 
446,精神上的良知 
447,D、 
448,社会的现象 
449,窗体底端
450,我的答案：C 
451,33 
452,哪个是永存的？
453,窗体顶端
454,
455,A、 
456,美 
457,B、 
458,美的理念 
459,C、 
460,美的现象 
461,D、 
462,美的表象 
463,窗体底端
464,我的答案：B 
465,34 
466,下列对幸福的理解正确的是？
467,窗体顶端
468,
469,A、 
470,幸福就是欲望的满足 
471,B、 
472,幸福就是感官的快乐 
473,C、 
474,幸福是无法追寻的 
475,D、 
476,幸福是偶然性的 
477,窗体底端
478,我的答案：A 
479,35 
480,马克思的生活条件是？
481,窗体顶端
482,
483,A、 
484,贵族家庭 
485,B、 
486,生活富足 
487,C、 
488,中等阶层 
489,D、 
490,社会底层 
491,窗体底端
492,我的答案：B 
493,36 
494,以下对感性幸福说法错误的是？
495,窗体顶端
496,
497,A、 
498,它来自于人的身体 
499,B、 
500,它一般为单方面的 
501,C、 
502,它具有永恒性 
503,D、 
504,它是对于感官欲望的满足 
505,窗体底端
506,我的答案：C 
507,37 
508,下列对量变质变说法正确的是？
509,窗体顶端
510,
511,A、 
512,量变到一定的程度上会引起质变 
513,B、 
514,量变到质变是有条件的 
515,C、 
516,一味地进行量的积累并不一定引起质变 
517,D、 
518,以上说法都正确 
519,窗体底端
520,我的答案：D 
521,38 
522,心灵进化的高度不包括？
523,窗体顶端
524,
525,A、 
526,从头开始 
527,B、 
528,从最高点开始 
529,C、 
530,文化的高度与起点的高度 
531,D、 
532,社会生活环境的差异 
533,窗体底端
534,我的答案：D 
535,39 
536,以下不属于20世纪西方社会思想家面对的问题的是？
537,窗体顶端
538,
539,A、 
540,人的价值完全以金钱来衡量 
541,B、 
542,基督教的死亡 
543,C、 
544,人生无意义无价值 
545,D、 
546,个人伟大化 
547,窗体底端
548,我的答案：D 
549,40 
550,下列关于伦理学说法错误的是？
551,窗体顶端
552,
553,A、 
554,它被称为道德学 
555,B、 
556,它属于心理学的一个分支 
557,C、 
558,它很早就在西方产生 
559,D、 
560,它具有逻辑性 
561,窗体底端
562,我的答案：B 
563,41 
564,什么是人对尊严需求的一种变种？
565,窗体顶端
566,
567,A、 
568,自卑 
569,B、 
570,自信 
571,C、 
572,欺骗 
573,D、 
574,虚荣 
575,窗体底端
576,我的答案：D 
577,42 
578,以下关于“存在先于本质”说法正确的是？
579,窗体顶端
580,
581,A、 
582,它是存在主义哲学的基本思想 
583,B、 
584,它是存在主义的第一原理 
585,C、 
586,萨特认为上帝不存在，所以先天的本质不存在 
587,D、 
588,以上说法都正确 
589,窗体底端
590,我的答案：D 
591,43 
592,美的理念是永恒的来自于谁的话？
593,窗体顶端
594,
595,A、 
596,苏格拉底 
597,B、 
598,柏拉图 
599,C、 
600,黑格尔 
601,D、 
602,边沁 
603,窗体底端
604,我的答案：B 
605,44 
606,以下说法错误的是？
607,窗体顶端
608,
609,A、 
610,社会发展的动力源于人对快乐的追求 
611,B、 
612,动物也具有生存的需求 
613,C、 
614,虚荣是一种健康的心理追求 
615,D、 
616,尊严被侵犯会给人带来痛苦 
617,窗体底端
618,我的答案：C 
619,45 
620,以下不属于《理想国》中所说的灵魂的组成要素的是？
621,窗体顶端
622,
623,A、 
624,理性 
625,B、 
626,精神 
627,C、 
628,欲望 
629,D、 
630,意志 
631,窗体底端
632,我的答案：D 
633,46 
634,狭义的幸福等于
635,窗体顶端
636,
637,A、 
638,感性的幸福 
639,B、 
640,人性的幸福 
641,C、 
642,神性的幸福 
643,D、 
644,理性的幸福 
645,窗体底端
646,我的答案：D 
647,47 
648,资本家生产的最终目的在于？
649,窗体顶端
650,
651,A、 
652,满足消费者的需求 
653,B、 
654,促进社会生产力的发展 
655,C、 
656,给失业者提供充足的工作岗位 
657,D、 
658,追求剩余价值 
659,窗体底端
660,我的答案：D 
661,48 
662,生活中的基本矛盾是？
663,窗体顶端
664,
665,A、 
666,对现阶段影响最大的 
667,B、 
668,对接下来的选择影响巨大的 
669,C、 
670,对人的一生都会有影响的东西 
671,D、 
672,生存所涉及的基本 
673,窗体底端
674,我的答案：C 
675,49 
676,阿奎那受以下哪位人物影响较大？
677,窗体顶端
678,
679,A、 
680,阿尔伯特 
681,B、 
682,奥古斯丁 
683,C、 
684,柏拉图 
685,D、 
686,毕达哥拉斯 
687,窗体底端
688,我的答案：A 
689,50 
690,什么是广义的幸福？
691,窗体顶端
692,
693,A、 
694,感性幸福与理性幸福之和 
695,B、 
696,感性幸福 
697,C、 
698,理性幸福 
699,D、 
700,所有欲望的满足 
701,窗体底端
702,我的答案：A 
703,二、 判断题（题数：50，共 50.0 分） 
704,1 
705,人都有一种逃避幸福的本能。
706,窗体顶端
707,
708,我的答案： × 
709,窗体底端
710,2 
711,人的幸福感与排序的位置没有关系。
712,窗体顶端
713,
714,我的答案： × 
715,窗体底端
716,3 
717,艺术能在模仿中将事物的本质揭示出来。
718,窗体顶端
719,
720,我的答案： √ 
721,窗体底端
722,4 
723,在资本主义社会，金钱成为衡量一切事物的标准。
724,窗体顶端
725,
726,我的答案： √ 
727,窗体底端
728,5 
729,优秀的品质能够提升人的幸福感。
730,窗体顶端
731,
732,我的答案： √ 
733,窗体底端
734,6 
735,潜在的公正有助于纠正人们的行为方式。
736,窗体顶端
737,
738,我的答案： √ 
739,窗体底端
740,7 
741,伟大的抱负有助于成就一番伟大的事业。
742,窗体顶端
743,
744,我的答案： √ 
745,窗体底端
746,8 
747,在选择之前人是具有自由的。
748,窗体顶端
749,
750,我的答案： √ 
751,窗体底端
752,9 
753,“第一推动力”是亚里士多德的哲学术语。
754,窗体顶端
755,
756,我的答案： √ 
757,窗体底端
758,10 
759,爱情的基础是一份两个人共同认同的事业。
760,窗体顶端
761,
762,我的答案： √ 
763,窗体底端
764,11 
765,洞穴理论是苏格拉底著名的理念。
766,窗体顶端
767,
768,我的答案： × 
769,窗体底端
770,12 
771,实践并不是检验真理的唯一标准。
772,窗体顶端
773,
774,我的答案： × 
775,窗体底端
776,13 
777,幸福和伦理是联系在一起的。
778,窗体顶端
779,
780,我的答案： √ 
781,窗体底端
782,14 
783,学习数学有助于培养人的抽象思维能力和逻辑能力。
784,窗体顶端
785,
786,我的答案： √ 
787,窗体底端
788,15 
789,人类是首先获得从自然界中的解放然后才是自身的解放。
790,窗体顶端
791,
792,我的答案： √ 
793,窗体底端
794,16 
795,中国传统礼法中的座次排序问题影响着人的幸福感。
796,窗体顶端
797,
798,我的答案： √ 
799,窗体底端
800,17 
801,柏拉图式的爱情观念中有一种禁欲主义的思想。
802,窗体顶端
803,
804,我的答案： √ 
805,窗体底端
806,18 
807,亚里士多德曾经以他妻子的名字命名过一本书。
808,窗体顶端
809,
810,我的答案： × 
811,窗体底端
812,19 
813,亚里士多德认为德才兼备的人才能得到幸福和成功。
814,窗体顶端
815,
816,我的答案： √ 
817,窗体底端
818,20 
819,马克思和恩格斯都曾在莱茵报工作。
820,窗体顶端
821,
822,我的答案： √ 
823,窗体底端
824,21 
825,人完全用自我的苦乐来衡量善恶是功利主义原则。
826,窗体顶端
827,
828,我的答案： √ 
829,窗体底端
830,22 
831,马克思曾经指导海涅写诗，但是自己却从没写过诗。
832,窗体顶端
833,
834,我的答案： × 
835,窗体底端
836,23 
837,柏拉图是苏格拉底的老师，很多思想都受到当时社会环境的影响。
838,窗体顶端
839,
840,我的答案： × 
841,窗体底端
842,24 
843,智者派接近于古代中国春秋战国时期的名家。
844,窗体顶端
845,
846,我的答案： √ 
847,窗体底端
848,25 
849,个人的离子化也是西方思想家要面对的问题之一。
850,窗体顶端
851,
852,我的答案： √ 
853,窗体底端
854,26 
855,在现代社会，军事力量是一个政府的重要后盾。
856,窗体顶端
857,
858,我的答案： √ 
859,窗体底端
860,27 
861,资本主义的社会保障体系不如中国的完备。
862,窗体顶端
863,
864,我的答案： × 
865,窗体底端
866,28 
867,一个国家的公正体系没有建立起的话，那么国民是不可能感觉到幸福的。
868,窗体顶端
869,
870,我的答案： √ 
871,窗体底端
872,29 
873,哲学家的目的是为了社会的建构。
874,窗体顶端
875,
876,我的答案： √ 
877,窗体底端
878,30 
879,当一个人有了天下、国家的观念在心中，那么他看事情就不会那么偏激，就会变得大气。
880,窗体顶端
881,
882,我的答案： √ 
883,窗体底端
884,31 
885,伟大的人物在处理事情时通常以自己的利益为中心。
886,窗体顶端
887,
888,我的答案： × 
889,窗体底端
890,32 
891,康德从中世纪中请回了上帝，对基督教做出了贡献。
892,窗体顶端
893,
894,我的答案： √ 
895,窗体底端
896,33 
897,阿奎那认为人活在世界上有自然的目的和超自然的目的两种目的。
898,窗体顶端
899,
900,我的答案： √ 
901,窗体底端
902,34 
903,幸福和伦理是联系在一起的。
904,窗体顶端
905,
906,我的答案： √ 
907,窗体底端
908,35 
909,阿那克西美尼绘制了世界上第一张全球地图。
910,窗体顶端
911,
912,我的答案： × 
913,窗体底端
914,36 
915,狭义的幸福指的是快乐。
916,窗体顶端
917,
918,我的答案： × 
919,窗体底端
920,37 
921,燕妮比马克思大8岁，但是仍然与马克思私定终身了。
922,窗体顶端
923,
924,我的答案： × 
925,窗体底端
926,38 
927,找对方向比努力多少更为重要。
928,窗体顶端
929,
930,我的答案： √ 
931,窗体底端
932,39 
933,成人只是指的是生理上的成熟。
934,窗体顶端
935,
936,我的答案： × 
937,窗体底端
938,40 
939,我国儒墨道法的体系是交叉的。
940,窗体顶端
941,
942,我的答案： × 
943,窗体底端
944,41 
945,伯利克里时代是比较注重民主的。
946,窗体顶端
947,
948,我的答案： √ 
949,窗体底端
950,42 
951,“哥白尼式的革命”为科学的形而上学建立提供了可能。
952,窗体顶端
953,
954,我的答案： √ 
955,窗体底端
956,43 
