,题目
0,1在西汉被称为群儒之首的是？1.0 分
1,A、公孙弘
2,B、董仲舒
3,C、倪宽
4,D、东方朔
5,我的答案：B
6,2用什么办法可以把两句完全不搭杠的话合理地联系起来。1.0 分
7,A、想象力
8,B、幸福力
9,C、对比力
10,D、分析力
11,我的答案：A
12,3以下对豁达的理解正确的是？1.0 分
13,A、坚持实现所有的欲望
14,B、重视失去的事物
15,C、舍欲而不舍身
16,D、关注自己没有的
17,我的答案：C
18,4关于玄学说法不正确的是（）。1.0 分
19,A、新道家
20,B、切中了道家的不足之处
21,C、志在改变儒家僵化的体制
22,D、尚清言
23,我的答案：B
24,5庄子的思想中人要幸福就要有一种？1.0 分
25,A、全待之乐
26,B、否待之乐
27,C、有待之乐
28,D、无待之乐
29,我的答案：D
30,6练习颜真卿的楷体书法需要的特性不包括1.0 分
31,A、正
32,B、圆
33,C、大气
34,D、长寿
35,我的答案：B
36,7下列关于大乘佛教的说法正确的是？1.0 分
37,A、它对中国影响不大
38,B、它认为可以有无数的佛同时存在
39,C、大乘佛教不包括禅宗
40,D、大乘佛教即南传佛教
41,我的答案：B
42,8下列对“学而不思则罔，思而不学则殆”的说法错误的是？1.0 分
43,A、它是孔子说的。
44,B、它强调了思考的重要性。
45,C、它割裂了学习和思考的关系。
46,D、它出自《论语》。
47,我的答案：C
48,9那家的思想适宜于养生。1.0 分
49,A、道家
50,B、儒家
51,C、兵家
52,D、法家
53,我的答案：A
54,10禅宗认为：事物怎样才是真谛？1.0 分
55,A、有后非有
56,B、有无掺半
57,C、可有可无
58,D、非有非无
59,我的答案：D
60,11一漂亮的电影演员往前一走，你的眼睛一亮，这时候你主要受那个部位的驱动？1.0 分
61,A、耳朵
62,B、手
63,C、眼睛
64,D、脚
65,我的答案：C
66,12孔子思想的核心是？1.0 分
67,A、礼
68,B、信
69,C、仁
70,D、义
71,我的答案：C
72,13法家讲的什么是君主驾驭臣下的方法？1.0 分
73,A、奖惩
74,B、赏罚
75,C、正名
76,D、分派
77,我的答案：C
78,14以下关于幽默和讽刺说法正确的是？0.0 分
79,A、讽刺其实它不是幽默。
80,B、幽默是一种刺激自我
81,C、幽默属于讽刺
82,D、讽刺具有针对性
83,正确答案：B
84,15人的心态调节好，与什么很有关系？0.0 分
85,A、忘我
86,B、心态
87,C、快乐
88,D、幸福
89,正确答案：A
90,16“至今一切社会的历史都是阶级斗争的历史”这句话源于？1.0 分
91,A、《毛泽东选集》
92,B、《资本论》
93,C、《共产党宣言》
94,D、《德意志意识形态》
95,我的答案：C
96,17社会欲望是在哪里才会产生的？1.0 分
97,A、教育过程中
98,B、思考过程中
99,C、社会当中
100,D、学校阶段
101,我的答案：C
102,18没有痛苦的纯粹幸福属于什么幸福？1.0 分
103,A、自我的幸福
104,B、刚出生时候的幸福
105,C、神性的幸福
106,D、人性的幸福
107,我的答案：C
108,19下面哪一位人物作为新道家出现的1.0 分
109,A、董仲舒
110,B、朱熹
111,C、向秀
112,D、孟子
113,我的答案：C
114,20下列人物在古代道德威望最大的是？1.0 分
115,A、圣人
116,B、君子
117,C、禽兽
118,D、小人
119,我的答案：A
120,21关于“仁”说法不正确的是（）。0.0 分
121,A、爱人
122,B、兼爱
123,C、礼
124,D、爱有等差
125,正确答案：B
126,22幸福是对什么的满足？1.0 分
127,A、生存
128,B、欲望
129,C、心理
130,D、人生
131,我的答案：B
132,23以下成语典故不属于《庄子》的是？1.0 分
133,A、庄周梦蝶
134,B、得鱼忘筌
135,C、唇亡齿寒
136,D、贻笑大方
137,我的答案：C
138,24谁提出了“罢黜百家，独尊儒术”？1.0 分
139,A、董仲舒
140,B、墨子
141,C、韩非子
142,D、荀子
143,我的答案：A
144,25什么的发展保留了大量的奴隶？1.0 分
145,A、生产资料
146,B、生活方式
147,C、生产力
148,D、生产量
149,我的答案：C
150,26在道家看来，圣王是怎样的人？1.0 分
151,A、醒悟
152,B、无为
153,C、寡欲
154,D、以上都是
155,我的答案：D
156,27共家学派的研究对象是1.0 分
157,A、共产主义是什么以及如何逐步实现共产主义
158,B、共产主义是什么以及如何快速实现共产主义
159,C、共产主义是什么
160,D、如何实现共产主义
161,我的答案：A
162,28杨朱的观点不见于（）著作。1.0 分
163,A、《孟子》
164,B、《吕氏春秋》
165,C、《韩非子》
166,D、《列子.杨朱篇》
167,我的答案：D
168,29墨子认为可以用什么来治大乱？1.0 分
169,A、道德
170,B、国家刑政
171,C、民间风俗
172,D、统治思想
173,我的答案：B
174,30道家的民间版属于那一版的再现？1.0 分
175,A、学术版
176,B、政治版
177,C、法律版
178,D、病毒版
179,我的答案：A
180,31法家比较讲？1.0 分
181,A、诡辩
182,B、算计和得
183,C、仁义
184,D、利害
185,我的答案：B
186,32董仲舒认为：人之性未能全善，所以需要谁治之。1.0 分
187,A、天
188,B、王
189,C、皇上
190,D、官员
191,我的答案：B
192,33以下哪项不是孔子的观点？1.0 分
193,A、己所不欲，勿施于人
194,B、君子和而不同，小人同而不和
195,C、听其言而观其行
196,D、有之以为利，无之以为用
197,我的答案：D
198,34缺德的人称为什么？1.0 分
199,A、小人
200,B、禽兽
201,C、不是人
202,D、非人
203,我的答案：B
204,35下面那一项不在孟子四端里面？1.0 分
205,A、恻隐之心
206,B、羞恶之心
207,C、谦卑之心
208,D、是非之心
209,我的答案：C
210,36向秀和郭象合著了（）。1.0 分
211,A、《向秀注》
212,B、《庄子注》
213,C、《郭象注》
214,D、《向秀与郭象注》
215,我的答案：B
216,37关于杨朱说法不正确的是（）。1.0 分
217,A、道家第一人
218,B、轻物重生
219,C、思想是主流的
220,D、提出道家的主要思路
221,我的答案：C
222,38老子的幸福观对以下哪些人群影响较大？1.0 分
223,A、中国民众
224,B、知识分子
225,C、失意官员
226,D、以上都是
227,我的答案：D
228,39以下哪一项不属于六经？1.0 分
229,A、《周易》
230,B、《大学》
231,C、《春秋》
232,D、《尚书》
233,我的答案：B
234,40“天下兴亡，匹夫有责”是由谁提出来的？1.0 分
235,A、岳飞
236,B、林则徐
237,C、顾炎武
238,D、文天祥
239,我的答案：C
240,41道家认为：人应该保持？1.0 分
