,题目
0, 
1,1
2,以下不属于代际关系的是（）。
3,1.0 分
4,窗体顶端
5,A、
6,兄弟关系
7, 
8,B、
9,父子关系
10, 
11,C、
12,母子关系
13, 
14,D、
15,爷孙关系
16, 
17,窗体底端
18,我的答案：A
19,2
20,价值命题的含义是（）。
21,1.0 分
22,窗体顶端
23,A、
24,相同的刺激可能会带来相同或相似性行为
25, 
26,B、
27,如果某种行为的后果对一个人越有价值，那么，他就越有可能重复同样的行动
28, 
29,C、
30,某人重复获得相同奖赏的次数愈多，那么，这一奖赏对该人（或团体）的价值就愈小
31, 
32,D、
33,某种行为具有很强的溢出效应，人就会倾向于重复此行为
34, 
35,窗体底端
36,我的答案：B
37,3
38,以下建筑类型中，最能代表中国传统大家庭特点的建筑是（）。
39,1.0 分
40,窗体顶端
41,A、
42,塔
43, 
44,B、
45,窑洞
46, 
47,C、
48,吊脚楼
49, 
50,D、
51,四合院
52, 
53,窗体底端
54,我的答案：D
55,4
56,以下不属于次级集团的是（）。
57,1.0 分
58,窗体顶端
59,A、
60,政党
61, 
62,B、
63,家庭
64, 
65,C、
66,工会
67, 
68,D、
69,军队
70, 
71,窗体底端
72,我的答案：B
73,5
74,关于“信用借贷型”交换模式特点，说法不正确的是（）。
75,1.0 分
76,窗体顶端
77,A、
78,交换讲回报
79, 
80,B、
81,交换者是相互不认识之人但是相互信赖
82, 
83,C、
84,预期出去的东西会以某种方式回来
85, 
86,D、
87,类似基本信用关系的借贷行为
88, 
89,窗体底端
90,我的答案：B
91,6
92,种姓的缔结原则是（）。
93,1.0 分
94,窗体顶端
95,A、
96,契约原则
97, 
98,B、
99,亲属原则
100, 
101,C、
102,阶序原则
103, 
104,D、
105,“缘-约”原则
106, 
107,窗体底端
108,我的答案：C
109,7
110,文化与人格学派的代表人物是（）。
111,1.0 分
112,窗体顶端
113,A、
114,布厄迪
115, 
116,B、
117,马林诺夫斯基
118, 
119,C、
120,博厄斯
121, 
122,D、
123,弗雷泽
124, 
125,窗体底端
126,我的答案：C
127,8
128,主流社会科学倾向于把人分割开来进行静态的研究，其原因不包括（）。
129,1.0 分
130,窗体顶端
131,A、
132,整体的人无法进行科学分析
133, 
134,B、
135,行为不完全是理性的
136, 
137,C、
138,人的生理构造不同于其他生物
139, 
140,D、
141,人的存在是一个复杂的系统
142, 
143,窗体底端
144,我的答案：C
145,9
146,描述人与人、人与物、人与文化规范互动的场的模型是（）。
147,1.0 分
148,窗体顶端
149,A、
150,渐进模型
151, 
152,B、
153,索罗模型
154, 
155,C、
156,心理社会均衡模型
157, 
158,D、
159,马文.哈里斯模型
160, 
161,窗体底端
162,我的答案：C
163,10
164,在修订后的PSH模型中，“意识谱”指的是以下哪个范围？（）
165,1.0 分
166,窗体顶端
167,A、
168,第二层以外的诸层
169, 
170,B、
171,第三层及其以外的诸层
172, 
173,C、
174,第四层以内的诸层
175, 
176,D、
177,最外两层
178, 
179,窗体底端
180,我的答案：C
181,11
182,交换内容意义的大小是根据下面哪一项确定的？（）
183,1.0 分
184,窗体顶端
185,A、
186,人们的价值观
187, 
188,B、
189,人们的兴趣爱好
190, 
191,C、
192,法律准则
193, 
194,D、
195,道德约束
196, 
197,窗体底端
198,我的答案：A
199,12
200,中国人的人际关系模式特点不包括（）。
201,1.0 分
202,窗体顶端
203,A、
204,人与人之间常常会分圈子交往
205, 
206,B、
207,强调亲情
208, 
209,C、
210,“关系”与“人情”相互依赖
211, 
212,D、
213,交往上注重距离感，不提倡亲密
214, 
215,窗体底端
216,我的答案：D
217,13
218,在家庭各种关系中，夫妻关系的纽带是（）。
219,1.0 分
220,窗体顶端
221,A、
222,性
223, 
224,B、
225,情感
226, 
227,C、
228,契约
229, 
230,D、
231,血缘
232, 
233,窗体底端
234,我的答案：A
235,14
236,日本人的主要次级集团“家元”的缔结原理是下面哪一项？（）
237,1.0 分
238,窗体顶端
239,A、
240,“缘-约”原理
241, 
242,B、
243,亲属原理
244, 
245,C、
246,契约原理
247, 
248,D、
249,阶序原理
250, 
251,窗体底端
252,我的答案：A
253,15
254,以下说法不正确的是（）。
255,1.0 分
256,窗体顶端
257,A、
258,连带感是宗族中个人向上奋斗的重要心理动力
259, 
260,B、
261,连带感是一种对荣誉和责任的分担
262, 
263,C、
264,宗族强大的向心力和凝聚力使得离开宗族集团的人，都有一种回归宗族集团的倾向
265, 
266,D、
267,一般宗族中的人没有明确的定位
268, 
269,窗体底端
270,我的答案：D
271,16
272,造成不同社会的次级群体特点不同的主要原因是（）。
273,1.0 分
274,窗体顶端
275,A、
276,历史
277, 
278,B、
279,血缘
280, 
