,题目
0,1
1,中国的宗族集团发生变化是从下面哪个阶段开始的？（）
2,1.0 分
3,窗体顶端
4,ØA、
5,1966年文革
6,ØB、
7,清朝末年
8,ØC、
9,1949年新中国成立
10,ØD、
11,1978年改革开放
12,窗体底端
13,我的答案：C
14,2
15,家庭存在的生物学基础是（）。
16,1.0 分
17,窗体顶端
18,ØA、
19,血缘关系
20,ØB、
21,生育机制
22,ØC、
23,父子或母子之间的情感纽带
24,ØD、
25,雄性和雌性之间持续的性关系
26,窗体底端
27,我的答案：D
28,3
29,关于交往或交换，不正确的是（）。
30,1.0 分
31,窗体顶端
32,ØA、
33,交往是客体的交流，交换是主体的交流
34,ØB、
35,商品交换是等价交换
36,ØC、
37,商品交换是符号交换，包括了人情等非货币化因素
38,ØD、
39,作为交往的交换，是不等价交换
40,窗体底端
41,我的答案：C
42,4
43,提出“间人”概念是与“个人”相对应的另一种基本人际状态的学者是（）。
44,1.0 分
45,窗体顶端
46,ØA、
47,冈正雄
48,ØB、
49,中根千枝
50,ØC、
51,鸟居龙藏
52,ØD、
53,滨口惠俊
54,窗体底端
55,我的答案：D
56,5
57,种族延续属于人类的哪种需要？（）
58,1.0 分
59,窗体顶端
60,ØA、
61,生物性需要
62,ØB、
63,社会性的需要
64,ØC、
65,情感性的需要
66,ØD、
67,经验性的需要
68,窗体底端
69,我的答案：A
70,6
71,以下说法不正确的是（）。
72,0.0 分
73,窗体顶端
74,ØA、
75,连带感是宗族中个人向上奋斗的重要心理动力
76,ØB、
77,连带感是一种对荣誉和责任的分担
78,ØC、
79,宗族强大的向心力和凝聚力使得离开宗族集团的人，都有一种回归宗族集团的倾向
80,ØD、
81,一般宗族中的人没有明确的定位
82,窗体底端
83,我的答案：C
84,7
85,对于母子关系，下列描述中错误的一项是（）。
86,1.0 分
87,窗体顶端
88,ØA、
89,母子关系具有无性爱性属性
90,ØB、
91,母子关系具有依赖性属性
92,ØC、
93,母子关系具有包容性属性
94,ØD、
95,母子关系具有扩散性属性
96,窗体底端
97,我的答案：A
98,8
99,人与人之间几种重要的群体连带原理不包括（）。
100,1.0 分
101,窗体顶端
102,ØA、
103,“缘-约”原理
104,ØB、
105,亲属原理
106,ØC、
107,契约原理
108,ØD、
109,阶序原理
110,窗体底端
111,我的答案：A
112,9
113,《菊与刀》是一本关于（）国民性研究的学术著作。（）
114,1.0 分
115,窗体顶端
116,ØA、
117,中国
118,ØB、
119,日本
120,ØC、
121,韩国
122,ØD、
123,印度
124,窗体底端
125,我的答案：B
126,10
127,以下说法不正确的是（）。
128,1.0 分
129,窗体顶端
130,ØA、
131,主要次级集团的缔结原理对人的行为产生重要影响
132,ØB、
133,中国历史上非亲属自然性团体缺乏活力
134,ØC、
135,“桃园结义”体现的是拟亲属集团
136,ØD、
137,中国人脱离宗族集团跟其他次级集团接触时就不再受原宗族集团的缔结原理影响
138,窗体底端
139,我的答案：D
140,11
141,在美国人的PSH均衡模式中，第0层特别大的属于以下哪种类型？（）
142,1.0 分
143,窗体顶端
144,ØA、
145,爱国者型
146,ØB、
147,传教士型
148,ØC、
149,组织型
150,ØD、
151,遁世型
152,窗体底端
153,我的答案：B
154,12
155,以下不属于文明的物质造物的是（）。
156,1.0 分
157,窗体顶端
158,ØA、
159,机械
160,ØB、
161,运河
162,ØC、
163,社团
164,ØD、
165,道路
166,窗体底端
167,我的答案：C
168,13
169,人类饲养宠物这一行为，满足的是以下哪种需要？（）
170,1.0 分
171,窗体顶端
172,ØA、
173,生物性需要
174,ØB、
175,社会性的需要
176,ØC、
177,情感性的需要
178,ØD、
179,经验性的需要
180,窗体底端
181,我的答案：C
182,14
183,“基本人际状态”一说的提出者是（）。
184,0.0 分
185,窗体顶端
186,ØA、
187,泰勒
188,ØB、
189,弗洛伊德
190,ØC、
191,滨口惠俊
192,ØD、
193,许烺光
194,窗体底端
195,我的答案：C
196,15
197,以下说法不正确的是（）。
198,1.0 分
199,窗体顶端
200,ØA、
201,中国人身上有沉重的人情负担
202,ØB、
203,中国人有强烈的义务感
204,ØC、
205,中国人倾向于逃避人情
206,ØD、
207,人情负担过重会带来负面影响
208,窗体底端
209,我的答案：C
210,16
211,下面哪一项不是等意义交换的形式？（）
212,0.0 分
213,窗体顶端
214,ØA、
215,信用借贷型交换
216,ØB、
217,雇佣型交换
218,ØC、
219,交易型交换
220,ØD、
221,贸易型交换
222,窗体底端
223,我的答案：C
224,17
225,修订后的PSH模型增加了以下哪项？（）
226,1.0 分
227,窗体顶端
228,ØA、
229,前意识
230,ØB、
231,外部世界
232,ØC、
233,限表意识
234,ØD、
235,超意识
236,窗体底端
237,我的答案：D
238,18
239,价值命题的含义是（）。
240,0.0 分
241,窗体顶端
242,ØA、
243,相同的刺激可能会带来相同或相似性行为
244,ØB、
245,如果某种行为的后果对一个人越有价值，那么，他就越有可能重复同样的行动
246,ØC、
247,某人重复获得相同奖赏的次数愈多，那么，这一奖赏对该人（或团体）的价值就愈小
248,ØD、
249,某种行为具有很强的溢出效应，人就会倾向于重复此行为
250,窗体底端
251,我的答案：A
252,19
253,亲属原则的特点不包括（）。
254,1.0 分
255,窗体顶端
256,ØA、
257,自动性
258,ØB、
259,血缘或拟血缘性
260,ØC、
261,包容性
262,ØD、
263,差序性
264,窗体底端
265,我的答案：C
266,20
267,中国人的人际关系中，被称为“天伦”的关系不包括（）。
268,1.0 分
269,窗体顶端
270,ØA、
271,父子关系
272,ØB、
273,兄弟关系
274,ØC、
275,夫妻关系
276,ØD、
277,君臣关系
278,窗体底端
279,我的答案：D
280,21
281,中国家庭推崇的形式是（）。
282,1.0 分
283,窗体顶端
284,ØA、
285,大家庭
286,ØB、
287,小家庭
288,ØC、
289,组合家庭
290,ØD、
291,混合家庭
292,窗体底端
293,我的答案：A
294,22
295,下面哪一项是美国社会“自由结社”的特点？（）
296,1.0 分
297,窗体顶端
298,ØA、
299,自愿性
300,ØB、
301,权威性
302,ØC、
303,纪律性
304,ØD、
305,排他性
306,窗体底端
307,我的答案：A
308,23
309,讨价还价这一行为体现了契约原理的哪个特点？（）
310,1.0 分
311,窗体顶端
312,ØA、
313,实用性
314,ØB、
315,可计算性
316,ØC、
317,高度的选择意志
318,ØD、
319,基于信任与依赖
320,窗体底端
321,我的答案：B
322,24
323,心理文化学派认为，（）是人类人生中最重要的集团。
324,1.0 分
325,窗体顶端
326,ØA、
327,自由结社
328,ØB、
329,宗教集团
330,ØC、
331,亲属体系
332,ØD、
333,次级集团
334,窗体底端
335,我的答案：C
336,25
337,为了某种目的而进行的一般性交往，指的是（）。
338,1.0 分
339,窗体顶端
340,ØA、
341,情感性交往
342,ØB、
343,生物性交往
344,ØC、
345,社会性交往
346,ØD、
347,利益性交往
348,窗体底端
349,我的答案：C
350,26
351,在正规的族谱中，记载的内容包括（）。
352,1.0 分
353,窗体顶端
354,ØA、
355,宗族的出徙和迁移
356,ØB、
357,祖产和族规
358,ØC、
359,成员的名字、辈分
360,ØD、
361,以上都有
362,窗体底端
363,我的答案：D
364,27
365,契约原理在以下哪个国家得到了最为精致的发展？（）
366,1.0 分
367,窗体顶端
368,ØA、
369,日本
370,ØB、
371,中国
372,ØC、
