,题目
0,现代城市生态与环境学网络选修课考试98分
1,1
2,某地生态系统的生产力和活力指数是0.3，系统组织指数是0.5，系统弹性指数是0.6，那么该地区生态健康指数为（）。
3,窗体顶端
4,A、
5,1.4
6,B、
7,1
8,C、
9,0.9
10,D、
11,0.8
12,窗体底端
13,我的答案：C
14,2
15,生态足迹模型主要用于计算一定人口和经济规模条件下（）和废弃物吸收所必需的生物生产面积。
16,窗体顶端
17,A、
18,维持人类发展
19,B、
20,促进城市化进程
21,C、
22,维持经济发展
23,D、
24,维持资源消费
25,窗体底端
26,我的答案：D
27,3
28,下列不属于城市水环境特点的是（）。
29,窗体顶端
30,A、
31,淡水资源有限性
32,B、
33,城市水环境的系统性
34,C、
35,自净能力有限性
36,D、
37,承载能力相对性
38,窗体底端
39,我的答案：D
40,4
41,风景园林系统的功能目标有文化休憩、基础设施配套、景观形象和（）。
42,窗体顶端
43,A、
44,优化系统
45,B、
46,生态防护
47,C、
48,经济效益
49,D、
50,方便群众
51,窗体底端
52,我的答案：B
53,5
54,城市规划方法中的过程分析法包括城市生态调查、城市生态评价和（）。
55,窗体顶端
56,A、
57,城市生态分析
58,B、
59,城市生态决策分析
60,C、
61,城市生态承载力分析
62,D、
63,城市生态恢复力分析
64,窗体底端
65,我的答案：B
66,6
67,园林可以分为乔木层、亚乔木层、大灌木层、多年生草本和（）五个部分。
68,窗体顶端
69,A、
70,亚灌木层
71,B、
72,小灌木层
73,C、
74,灌木层
75,D、
76,中等灌木层
77,窗体底端
78,我的答案：B
79,7
80,目前我国城市主要绿化方式就是“见缝插绿”，艺术性差，管理人员水平参差不齐反应了城市绿化中（）的问题。
81,窗体顶端
82,A、
83,绿化水平不高
84,B、
85,绿化建设投入少
86,C、
87,绿化建设不被重视
88,D、
89,绿化建设科技含量低
90,窗体底端
91,我的答案：A
92,8
93,生态城市是贯彻生态学原理，追求城市生态系统高效，以及人与自然的真正和谐，并以此来达到人、社会、自然、经济的协调共生，实现（）的城市建构模式。
94,窗体顶端
95,A、
96,人以自然共生共进
97,B、
98,城市化进程和自然协调发展
99,C、
100,人类社会可持续发展
101,D、
102,经济环境可持续发展
103,窗体底端
104,我的答案：C
105,9
106,下列不属于城市生态与环境学学科基础的是（）。
107,窗体顶端
108,A、
109,城市学
110,B、
111,生态学
112,C、
113,景观生态学
114,D、
115,城市文化学
116,窗体底端
117,我的答案：D
118,10
119,下列不属于生态园林工程的构成的是（）。
120,窗体顶端
121,A、
122,各类生物
123,B、
124,各类植物
125,C、
126,地物
127,D、
128,生态化工程
129,窗体底端
130,我的答案：A
131,11
132,下列选项中不属于城市生态评价内容的是（）。
133,窗体顶端
134,A、
135,景观生态评价
136,B、
137,生态潜力评价
138,C、
139,生态格局评价
140,D、
141,生态敏感评价
142,窗体底端
143,我的答案：A
144,12
145,现代城市生态研究以城市（）、物流、信息流为研究主线。
146,窗体顶端
147,A、
148,能流
149,B、
150,人流
151,C、
152,资金流
153,D、
154,环境流
155,窗体底端
156,我的答案：A
157,13
158,土壤是位于地球表层，具有（）的能够生长植物的疏松表层。
159,窗体顶端
160,A、
161,一定面积
162,B、
163,肥力
164,C、
165,广泛性
166,D、
167,生产力
168,窗体底端
169,我的答案：B
170,14
171,生态城市的评价指标有社会发展指标、经济发展指标、环境与资源发展指标和（）。
172,窗体顶端
173,A、
174,可持续发展指标
175,B、
176,协调发展指标
177,C、
178,人口发展指标
179,D、
180,发展能力指标
181,窗体底端
182,我的答案：C
183,15
184,城市生态系统可持续发展的意义在于强调经济发展以（）为基础。
185,窗体顶端
186,A、
187,人与自然协调发展
188,B、
189,保护自然
190,C、
191,适应自然
192,D、
193,改造自然
194,窗体底端
195,我的答案：B
196,16
197,数理模型分析是利用特征方程、公式，结合（）分析、综合系统分析，再利用系统模型、仿真模型分析城市水温、气候等的变化。
198,窗体顶端
199,A、
200,因素
201,B、
202,因子
203,C、
204,个体
205,D、
206,差异
207,窗体底端
208,我的答案：B
209,17
210,生态功能指数包括功能、结构和（）三个方面。
211,窗体顶端
212,A、
213,清洁力
214,B、
215,协调度
216,C、
217,恢复力
218,D、
219,活力
220,窗体底端
221,我的答案：B
222,18
223,常州生态设计的“四横”不包括（）。
