,题目
0, 
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,告诫年轻学这人“在哥廷根，人们最不容易从工作中抽身出来的”是
4,窗体顶端
5,A、
6,容克
7,B、
8,闵可夫斯基
9,C、
10,阿洛伊斯·勃兰德尔
11,D、
12,奥托·瓦拉赫
13,窗体底端
14,我的答案：D
15,2
16,决心走快速美国化的人的特点不包括哪个？
17,窗体顶端
18,A、
19,经济雄厚
20,B、
21,年轻
22,C、
23,天生的语言适应能力
24,D、
25,对美国的社会充满好感
26,窗体底端
27,我的答案：A
28,3
29,贝尔纳认为德国科学的发展起点来自于谁？
30,窗体顶端
31,A、
32,彼得二世
33,B、
34,彼得一世
35,C、
36,弗里德里希一世
37,D、
38,弗里德里希二世
39,窗体底端
40,我的答案：D
41,4
42,美国本土一名教授一年薪资是多少美元？
43,窗体顶端
44,A、
45,10000.0
46,B、
47,12000.0
48,C、
49,15000.0
50,D、
51,20000.0
52,窗体底端
53,我的答案：C
54,5
55,下面关于德国教授的岗位体制，说法不正确的是
56,窗体顶端
57,A、
58,牵一发而动全身
59,B、
60,所有的人必须移位
61,C、
62,个别人需要移位
63,D、
64,每个教授和同行之间的关系非常简单
65,窗体底端
66,我的答案：C
67,6
68,霍尔波恩1934年到了美国哪所大学？
69,窗体顶端
70,A、
71,哥伦比亚大学
72,B、
73,纽约大学
74,C、
75,哈佛大学
76,D、
77,耶鲁大学
78,窗体底端
79,我的答案：D
80,7
81,流亡大学是谁建立的？
82,窗体顶端
83,A、
84,洛特菲尔斯
85,B、
86,道尔
87,C、
88,阿尔文.约翰逊
89,D、
90,卡耐基
91,窗体底端
92,我的答案：C
93,8
94,德国教授的岗位制体制特点不包括？
95,窗体顶端
96,A、
97,牵一发而动全身
98,B、
99,所有的人必须要移位
100,C、
101,终身制度
102,D、
103,保证了每个教授之间是非常简单的关系
104,窗体底端
105,我的答案：C
106,9
107,发展中国家最好的大学的特点不包括？
108,窗体顶端
109,A、
110,一定在首都
111,B、
112,不是私立性的大学
113,C、
114,完全自由的发展
115,D、
116,受到国家的重视
117,窗体底端
118,我的答案：C
119,10
120,我们中国的大学里，只有多少的人在搞科研，搞教学
121,窗体顶端
122,A、
123,四分之一
124,B、
125,三分之一
126,C、
127,二分之一
128,D、
129,三分之二
130,窗体底端
131,我的答案：B
132,11
133,丽丝梅特纳在1938年流亡到哪个国家？
134,窗体顶端
135,A、
136,法国
137,B、
138,瑞典
139,C、
140,美国
141,D、
142,英国
143,窗体底端
144,我的答案：B
145,12
146,恩里克.费米逃亡到美国哪个大学？
147,窗体顶端
148,A、
149,哥伦比亚大学
150,B、
151,哈佛大学
152,C、
153,芝加哥大学
154,D、
155,耶鲁大学
156,窗体底端
157,我的答案：C
158,13
159,因为文化大革命的冲击，而中断了十年的中国高考在哪一年得以恢复？
160,窗体顶端
161,A、
162,1974年
163,B、
164,1975年
165,C、
166,1976年
167,D、
168,1977年
169,窗体底端
170,我的答案：D
171,14
172,哥廷根大学最突出的学科是
173,窗体顶端
174,A、
175,文学
176,B、
177,哲学
178,C、
179,物理学
180,D、
181,数学
182,窗体底端
183,我的答案：D
184,15
185,什么可以检验一个国家是否落后
186,窗体顶端
187,A、
188,教育
189,B、
190,人才
191,C、
192,战争
193,D、
194,经济
195,窗体底端
196,我的答案：C
197,16
198,1933年4月7日，《重设公职人员法》公布后，解聘了多少名大学教师？
199,窗体顶端
200,A、
201,1000.0
202,B、
203,2010.0
204,C、
205,1520.0
206,D、
207,1145.0
208,窗体底端
209,我的答案：D
210,17
211,德国的知识分子是一批通过什么与政治保持距离的人
212,窗体顶端
213,A、
214,科研成绩
215,B、
216,学术符号
217,C、
218,教授学生
219,D、
220,传道授业
221,窗体底端
222,我的答案：B
223,18
224,对德国后来教育的发展特别是教育的发展最为重要的人物是
225,窗体顶端
226,A、
227,威廉三世
228,B、
229,沙恩霍斯特
230,C、
231,威廉·冯·洪堡
232,D、
233,亚历山大·冯·洪堡
234,窗体底端
235,我的答案：C
236,19
237,1933年希特勒上台之前德国有多少名诺贝尔奖获得者？
238,窗体顶端
239,A、
240,21.0
241,B、
242,31.0
243,C、
