,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,中国洪涝灾害最多的地区是哪里？
4,1.0 分
5,窗体顶端
6,A、
7,东北地区
8,B、
9,华北地区
10,C、
11,东南沿海
12,D、
13,西南地区
14,窗体底端
15,正确答案： C 我的答案：C
16,2
17,不属于太阳系八大行星的是（）。
18,1.0 分
19,窗体顶端
20,A、
21,水星
22,B、
23,木星
24,C、
25,火星
26,D、
27,冥王星
28,窗体底端
29,正确答案： D 我的答案：D
30,3
31,大气上升运动的主要方式不包括（）
32,1.0 分
33,窗体顶端
34,A、
35,热力对流
36,B、
37,动力抬升
38,C、
39,大气波动
40,D、
41,蒸发
42,窗体底端
43,正确答案： D 我的答案：D
44,4
45,海陆分布的变化会通过以下哪种变化影响全球与区域气候？
46,1.0 分
47,窗体顶端
48,A、
49,洋流的变化
50,B、
51,经度的变化
52,C、
53,大气成分的变化
54,D、
55,海拔的变化
56,窗体底端
57,正确答案： A 我的答案：A
58,5
59,有助于保证都江堰枯水期也有足够的灌溉水量的是（）。
60,1.0 分
61,窗体顶端
62,A、
63,深淘滩
64,B、
65,低作堰
66,C、
67,宝瓶口
68,D、
69,弯道环流
70,窗体底端
71,正确答案： A 我的答案：A
72,6
73,影响地球表层环境的能量主要有三方面，其中不包括以下哪一项？
74,1.0 分
75,窗体顶端
76,A、
77,太阳辐射能
78,B、
79,风能
80,C、
81,地热能
82,D、
83,地球自转能
84,窗体底端
85,正确答案： B 我的答案：B
86,7
87,以下对降水和气温不具有调节作用的是哪一项？
88,1.0 分
89,窗体顶端
90,A、
91,湖泊
92,B、
93,水库
94,C、
95,沼泽
96,D、
97,岩石
98,窗体底端
99,正确答案： D 我的答案：D
100,8
101,路南石林与桂林石林区别：
102,1.0 分
103,窗体顶端
104,A、
105,峰是圆滑的
106,B、
107,峰是尖锐的
108,C、
109,峰是连体的
110,D、
111,无区别
112,窗体底端
113,正确答案： B 我的答案：B
114,9
115,地球上人类生存的原因是：
116,1.0 分
117,窗体顶端
118,A、
119,地球的形状及其地理意义
120,B、
121,地球的质量及其环境效应
122,C、
123,日地距离及其环境意义
124,D、
125,以上都是
126,窗体底端
127,正确答案： D 我的答案：D
128,10
129,地球转动的能量不包含以下哪一项？
130,1.0 分
131,窗体顶端
132,A、
133,地转偏向力
134,B、
135,潮汐能
136,C、
137,机械能
138,D、
139,风能
140,窗体底端
141,正确答案： D 我的答案：D
142,11
143,黄土的地貌可分为（）。
144,1.0 分
145,窗体顶端
146,A、
147,沟谷地貌和沟间地貌
148,B、
149,纹沟和细沟
150,C、
151,细沟和冲沟
152,D、
153,沟间地貌和切沟
154,窗体底端
155,正确答案： A 我的答案：A
156,12
157,以下不属于平流层的特征的是哪一项？
158,1.0 分
159,窗体顶端
160,A、
161,气温随高度的升高而上升
162,B、
163,天气现象复杂多变
164,C、
165,气流以水平运动为主
166,D、
167,水汽、尘埃含量少
168,窗体底端
169,正确答案： B 我的答案：B
170,13
171,区域的内部不包括以下哪一项？
172,1.0 分
173,窗体顶端
174,A、
175,建筑
176,B、
177,地貌
178,C、
179,岩石
180,D、
181,土壤
182,窗体底端
183,正确答案： A 我的答案：A
184,14
185,属于地下喀斯特的是（）
186,1.0 分
187,窗体顶端
188,A、
189,石芽
190,B、
191,溶洞
192,C、
193,溶沟
194,D、
195,峰林
196,窗体底端
197,正确答案： B 我的答案：B
198,15
199,地理学不需要（）学科基础。
200,1.0 分
201,窗体顶端
202,A、
203,文科
204,B、
205,理科
206,C、
207,工科
208,D、
209,商科
210,窗体底端
211,正确答案： D 我的答案：D
212,16
213,冰川气候区的主要地貌特征是
214,1.0 分
215,窗体顶端
216,A、
217,多边形地面
218,B、
219,刃脊
220,C、
221,泥流阶地
222,D、
223,石海
224,窗体底端
225,正确答案： B 我的答案：B
226,17
227,岩石圈中含量最高的元素成分是（）。
228,1.0 分
229,窗体顶端
230,A、
231,氢
232,B、
233,硅
234,C、
235,铝
236,D、
237,氧
238,窗体底端
239,正确答案： D 我的答案：D
240,18
241,地壳最后的地区是哪儿？
242,1.0 分
243,窗体顶端
244,A、
245,平原
246,B、
247,盆地
