,题目
0,首页
1,
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,下列不属于商业金融场所礼仪的是（）。
5,1.0 分
6,窗体顶端
7,A、
8,耐心等号
9,B、
10,着正装
11,C、
12,不跨过一米线
13,D、
14,不左顾右盼
15,窗体底端
16,正确答案： B 我的答案：B
17,2
18,公务注视的安全范围是（）。
19,1.0 分
20,窗体顶端
21,A、
22,全身
23,B、
24,上半身
25,C、
26,脖颈以上
27,D、
28,额头
29,窗体底端
30,正确答案： D 我的答案：D
31,3
32,下列关于使用公共卫生间礼仪的说法不正确的是（）。
33,1.0 分
34,窗体顶端
35,A、
36,排队等候
37,B、
38,便后冲净
39,C、
40,遇到熟人要热情的打招呼
41,D、
42,洗完手后应把台面弄干净
43,窗体底端
44,正确答案： C 我的答案：C
45,4
46,在远距离交往的民族，一般关系的两人交往，保持的距离一般为多少厘米之外（）。
47,1.0 分
48,窗体顶端
49,A、
50,10cm
51,B、
52,30cm
53,C、
54,50cm
55,D、
56,65cm
57,窗体底端
58,正确答案： C 我的答案：C
59,5
60,英国人忌讳的图案不包括（）。
61,1.0 分
62,窗体顶端
63,A、
64,大象
65,B、
66,人像
67,C、
68,孔雀
69,D、
70,熊猫
71,窗体底端
72,正确答案： D 我的答案：D
73,6
74,在文明礼貌用语中，对方来信叫做什么（）。
75,1.0 分
76,窗体顶端
77,A、
78,留函
79,B、
80,留书
81,C、
82,拜书
83,D、
84,惠书
85,窗体底端
86,正确答案： D 我的答案：D
87,7
88,简历正文最好写几页（）。
89,1.0 分
90,窗体顶端
91,A、
92,4
93,B、
94,3
95,C、
96,2
97,D、
98,1
99,窗体底端
100,正确答案： D 我的答案：D
101,8
102,和其他几个相比，时间观念不是很强的国家的是（）。
103,1.0 分
104,窗体顶端
105,A、
106,德国
107,B、
108,英国
109,C、
110,中国
111,D、
112,日本
113,窗体底端
114,正确答案： C 我的答案：C
115,9
116,英国人忌讳一根火柴连点几根烟（）。
117,1.0 分
118,窗体顶端
119,A、
120,1
121,B、
122,2
123,C、
124,3
125,D、
126,4
127,窗体底端
128,正确答案： C 我的答案：C
129,10
130,如果使用私家轿车接客人，下列哪个位置是最好的（）。
131,1.0 分
132,窗体顶端
133,A、
134,后排右侧
135,B、
136,后排左侧
137,C、
138,后排中间
139,D、
140,副驾驶座位
141,窗体底端
142,正确答案： D 我的答案：D
143,11
144,女性的职业装是从哪种衣服演化而来的？（）
145,1.0 分
146,窗体顶端
147,A、
148,礼服
149,B、
150,便装
151,C、
152,男士西服
153,D、
154,补正装
155,窗体底端
156,正确答案： C 我的答案：C
157,12
158,下列哪种颜色不适合做为面试的职业装的颜色（）。
159,1.0 分
160,窗体顶端
161,A、
162,深蓝色
163,B、
164,黑色
165,C、
166,大红色
167,D、
168,深灰色
169,窗体底端
170,正确答案： C 我的答案：C
171,13
172,内衣系列属于服装的哪种类别？（）
173,1.0 分
174,窗体顶端
175,A、
176,便服
177,B、
178,礼服
179,C、
180,职业装
181,D、
182,补正装
183,窗体底端
184,正确答案： D 我的答案：D
185,14
186,关于电话形象的塑造，下列说法错误的是（）。
187,1.0 分
188,窗体顶端
189,A、
190,吐字清晰
191,B、
192,音调平缓
193,C、
194,用词委婉
195,D、
196,速度适中
197,窗体底端
198,正确答案： B 我的答案：B
199,15
200,刀叉怎么样摆放表明还没有吃完，要接着吃？（）
201,0.0 分
202,窗体顶端
203,A、
204,并排放
205,B、
206,八字放
207,C、
208,交叉放
209,D、
210,放在盘子边
211,窗体底端
212,正确答案： B 我的答案：A
213,16
214,中国第一个佛教寺院是下列哪一个（）。
215,1.0 分
216,窗体顶端
217,A、
218,南京极乐寺
219,B、
220,洛阳白马寺
221,C、
222,恒沙寺
223,D、
224,龙山寺
225,窗体底端
226,正确答案： B 我的答案：B
227,17
228,圆脸的人忌用哪种耳饰?（）
229,1.0 分
230,窗体顶端
231,A、
232,链式耳环
233,B、
234,有坠的耳环
235,C、
236,圆环状耳环
237,D、
238,耳钉
239,窗体底端
240,正确答案： C 我的答案：C
241,18
242,“李老师”这样的称谓属于工作中的哪种称谓（）。
243,1.0 分
244,窗体顶端
245,A、
246,职务性称谓
247,B、
248,行业性称谓
249,C、
250,职称性称谓
251,D、
252,学衔性称谓
253,窗体底端
254,正确答案： B 我的答案：B
255,19
256,新教是从哪种宗教里分离出来的（）。
257,1.0 分
258,窗体顶端
259,A、
260,佛教
261,B、
262,伊斯兰教
263,C、
264,天主教
265,D、
266,东正教
267,窗体底端
268,正确答案： C 我的答案：C
269,20
270,下列关于谦称的说法不正确的是（）。
271,1.0 分
272,窗体顶端
273,A、
274,对年长者在其称呼前加“家”
275,B、
276,对年幼的亲属在其称呼前加“舍”
277,C、
278,对平辈亲属在其称呼前加“令”
279,D、
280,对自己的子女在其称呼前加“小”
281,窗体底端
282,正确答案： C 我的答案：C
283,21
284,亲密注视的范围为（）。
285,1.0 分
286,窗体顶端
287,A、
288,脖颈以上
289,B、
290,眼睛及眼睛周围
291,C、
292,从脸到腰
293,D、
294,全身
295,窗体底端
296,正确答案： C 我的答案：C
297,22
298,哪种佛教在不丹、尼泊尔等地也叫做喇嘛教（）。
299,1.0 分
300,窗体顶端
301,A、
302,南传佛教
303,B、
304,北传佛教
305,C、
306,藏传佛教
307,D、
308,印传佛教
309,窗体底端
310,正确答案： C 我的答案：C
311,23
312,在舞会上，来宾中所有的男性要共同邀请哪一位跳舞（）。
313,1.0 分
314,窗体顶端
315,A、
316,女主宾
317,B、
318,没人邀请的女性
319,C、
320,女主人
321,D、
322,没有特定的人
323,窗体底端
324,正确答案： C 我的答案：C
325,24
326,下列哪个数字是日本人不忌讳的？（）。
327,1.0 分
328,窗体顶端
329,A、
330,4
331,B、
332,6
333,C、
334,9
335,D、
336,3
337,窗体底端
338,正确答案： D 我的答案：D
339,25
340,下列哪种服装也称为正式服装？（）
341,0.0 分
342,窗体顶端
343,A、
344,便服
345,B、
346,礼服
347,C、
348,职业装
349,D、
350,补正装
351,窗体底端
352,正确答案： B 我的答案：C
353,26
354,下列信仰哪种宗教的国家有单手递接物品的礼仪？（）
355,1.0 分
