,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,《兰亭集序》中的“之”字各不相同，其中一共有（）个之字
4,1.0 分
5,窗体顶端
6,A、
7,10.0
8,B、
9,20.0
10,C、
11,30.0
12,D、
13,40.0
14,窗体底端
15,我的答案：B
16,2
17,以下摄影作品，出自布里格曼的是（）
18,1.0 分
19,窗体顶端
20,A、
21,周恩来
22,B、
23,奥黛丽赫本
24,C、
25,爱恩斯坦
26,D、
27,枯松的灵魂
28,窗体底端
29,我的答案：D
30,3
31,对于不同发展阶段的美国西部片，有反英雄主义的是（）
32,1.0 分
33,窗体顶端
34,A、
35,早起西部片
36,B、
37,成年西部片
38,C、
39,心理西部片
40,D、
41,史诗性的西部片
42,窗体底端
43,我的答案：C
44,4
45,将中国国画中的意境运用到油画中的大师是（）
46,1.0 分
47,窗体顶端
48,A、
49,赵无极
50,B、
51,丁绍光
52,C、
53,贝聿铭
54,D、
55,谭盾
56,窗体底端
57,我的答案：A
58,5
59,《掷铁饼者》的作者是
60,1.0 分
61,窗体顶端
62,A、
63,米隆
64,B、
65,菲迪亚斯
66,C、
67,米开朗琪罗
68,D、
69,达芬奇
70,窗体底端
71,我的答案：A
72,6
73,以下不属于悬疑片大师希区柯克的作品的是（）
74,1.0 分
75,窗体顶端
76,A、
77,后窗
78,B、
79,神经病患者
80,C、
81,两杆大烟枪
82,D、
83,三十九级台阶
84,窗体底端
85,我的答案：C
86,7
87,以下不属于生活舞蹈的是（）
88,1.0 分
89,窗体顶端
90,A、
91,探戈
92,B、
93,霹雳舞
94,C、
95,体育舞蹈
96,D、
97,现代舞
98,窗体底端
99,我的答案：D
100,8
101,中国第一图腾是（）
102,1.0 分
103,窗体顶端
104,A、
105,龙
106,B、
107,凤
108,C、
109,蛇
110,D、
111,象
112,窗体底端
113,我的答案：A
114,9
115,中国电影有三次高潮，第一次高潮是在（）
116,1.0 分
117,窗体顶端
118,A、
119,20世纪三四十年代
120,B、
121,20世纪五六十年代
122,C、
123,20世纪七八十年代
124,D、
125,20世纪八九十年代
126,窗体底端
127,我的答案：A
128,10
129,关于“典型”和“意境”说法正确的是（）
130,1.0 分
131,窗体顶端
132,A、
133,典型重再现，意境重表现
134,B、
135,典型重书写，意境重写实
136,C、
137,典型重抒发艺术家内心世界，意境重描绘鲜明的人物形象
138,D、
139,二者区别不大
140,窗体底端
141,我的答案：A
142,11
143,以下不属于动态艺术的是（）
144,1.0 分
145,窗体顶端
146,A、
147,音乐
148,B、
149,舞蹈
150,C、
151,戏剧
152,D、
153,绘画
154,窗体底端
155,我的答案：D
156,12
157,我国发现的最早的乐器距今约有（）年历史
158,1.0 分
159,窗体顶端
160,A、
161,2000.0
162,B、
163,4000.0
164,C、
165,5000.0
166,D、
167,7000.0
168,窗体底端
169,我的答案：D
170,13
171,电视诞生于1936年11月2日的（）公司
172,1.0 分
173,窗体顶端
174,A、
175,ABC
176,B、
177,FOX
178,C、
179,CNN
180,D、
181,BBC
182,窗体底端
183,我的答案：D
184,14
185,在中国电视真正普及是在二十世纪（）年代
186,1.0 分
187,窗体顶端
188,A、
189,60.0
190,B、
191,70.0
192,C、
193,80.0
194,D、
195,90.0
196,窗体底端
197,我的答案：C
198,15
199,《星球大战》影片类型是（）
200,1.0 分
201,窗体顶端
202,A、
203,西部片
204,B、
205,喜剧片
206,C、
207,科幻片
208,D、
209,悬疑片
210,窗体底端
211,我的答案：C
212,16
213,以下不属于中国传统艺术精神的是（）
214,1.0 分
215,窗体顶端
216,A、
217,儒家美学
218,B、
219,道家美学
220,C、
221,禅宗美学
222,D、
223,集体美学
224,窗体底端
225,我的答案：D
226,17
227,“17年中国电影”所指的时期是（）
228,1.0 分
229,窗体顶端
230,A、
231,1932-1949年
232,B、
233,1949-1966年
234,C、
235,1966-1983年
236,D、
237,1983-2000年
238,窗体底端
239,我的答案：B
240,18
241,以下作品被认为是开创印象派先河的是（）
242,1.0 分
243,窗体顶端
244,A、
245,鲁本斯夫妇
246,B、
247,夜巡
248,C、
249,教皇英诺森十世肖像
250,D、
251,饭前的祈祷
252,窗体底端
253,我的答案：B
254,19
