,题目
0,一、单选题
1, 
2,1 
3,下面关于提香描述正确的一项是：（）
4,A、 
5,著作《春》 
6,B、 
7,提出知识就是力量 
8,C、 
9,总统为他弯腰捡笔 
10,D、 
11,威尼斯画派的代表人物 
12,我的答案：D 
13,2 
14,下面哪一部著作被誉为“群经之首，大道之源”：（）
15,A、 
16,《易经》 
17,B、 
18,《诗经》 
19,C、 
20,《道德经》 
21,D、 
22,《古兰经》 
23,我的答案：A 
24,3 
25,下面哪一位提出人要从痛苦中解脱出来有彻底的解脱和暂时的解脱两种途径：（）
26,A、 
27,休谟 
28,B、 
29,叔本华 
30,C、 
31,康德 
32,D、 
33,黑格尔 
34,我的答案：B 
35,4 
36,下面关于希腊精神的描述正确的一项是：（）
37,A、 
38,康德提出希腊精神是东方人的精神家园 
39,B、 
40,维科认为希腊精神是一种诗性的智慧 
41,C、 
42,康德提出希腊精神就是言必称希腊 
43,D、 
44,尼采提出希腊精神是酒神精神和日神精神的交相辉映 
45,我的答案：D 
46,5 
47,下面哪一项不属于心气骄傲的体现：（）
48,A、 
49,气度 
50,B、 
51,自尊 
52,C、 
53,气质 
54,D、 
55,风范 
56,我的答案：B 
57,6 
58,下面哪一位是真善美三位一体的创造者：（）
59,A、 
60,荷马 
61,B、 
62,柏拉图 
63,C、 
64,尼采 
65,D、 
66,苏格拉底 
67,我的答案：B 
68,7 
69,下面哪一位是经验主义美学家：（）
70,A、 
71,叔本华 
72,B、 
73,弗洛伊德 
74,C、 
75,柏拉图 
76,D、 
77,休谟 
78,我的答案：D 
79,8 
80,“美在物体的形式”的看法源自于（）
81,A、 
82,雅典 
83,B、 
84,希腊 
85,C、 
86,罗马 
87,D、 
88,埃及 
89,我的答案：B 
90,9 
91,下面哪一位提出艺术就是对审美的肯定：（）
92,A、 
93,别林斯基 
94,B、 
95,列宁 
96,C、 
97,卡拉扬 
98,D、 
99,尼采 
100,我的答案：D 
101,10 
102,在文艺复兴三杰中，最年轻的一位是
103,A、 
104,达芬奇 
105,B、 
106,米开朗基罗 
107,C、 
108,乔托 
109,D、 
110,拉斐尔 
111,我的答案：D 
112,11 
113,亚里士多德是下面哪一艺术起源说的代表人物：（）
114,A、 
115,“言志说” 
116,B、 
117,“模仿说” 
118,C、 
119,“冲动说” 
120,D、 
121,“技艺说” 
122,我的答案：B 
123,12 
124,下面哪一个不是拉斐尔的作品：（）
