,题目
0,一、单选题
1, 
2,1
3,《西游记》总共一百回，关于故事结构的叙述，下列选项错误的是（）。
4,A、
5,《西游记》一至七回主要内容是悟空出世大闹三界，交代了故事的来龙去脉
6,B、
7,《西游记》八至十二回讲述了唐僧出世及取经的源起，侧重交代故事源起
8,C、
9,《西游记》十三到一百回详尽描述了西天取经故事，侧重展示西天取经的艰难历程
10,D、
11,《西游记》首尾呼应，以修道成仙的故事贯穿始终
12,我的答案：D
13,2
14,西游记故事的演变经历了多个阶段，其中不包括（）。
15,A、
16,唐朝玄奘西天取经的历史故事阶段
17,B、
18,宗教故事
19,C、
20,变文、说唱、杂剧中的世俗的故事
21,D、
22,《山海经》的神话传说
23,我的答案：D
24,3
25,下列关于唐宋传奇，说法错误的是（）。
26,A、
27,唐宋传奇是小说的萌芽
28,B、
29,唐宋传奇以情节曲折、引人入胜见称
30,C、
31,唐宋传奇主要是盛行于唐宋两代的小说
32,D、
33,唐宋传奇的出现标志着我国小说的发展已经趋于成熟
34,我的答案：A
35,4
36,孙悟空形象源于印度史诗《罗摩衍那》中的猴子国大将哈奴曼，持这一观点的学者有（）。
37,A、
38,郑振铎、胡适、陈寅恪
39,B、
40,胡适、郭沫若、鲁迅
41,C、
42,陈寅恪、郭沫若、郑振铎
43,D、
44,郭沫若、郑振铎、鲁迅
45,我的答案：A
46,5
47,百回本《西游记》中最重要的人物是取经五众，他们分别代表金木水火土，五行中的火代表的是（）。
48,A、
49,孙悟空
50,B、
51,猪八戒
52,C、
53,沙悟净
54,D、
55,唐僧
56,我的答案：D
57,6
58,《西游记》的艺术特色是（）。
59,A、
60,充满浪漫主义色彩的形象塑造
61,B、
62,整齐严密的结构和灵活多变的情节
63,C、
64,善于把幽默诙谐的喜剧赋予人物的性格之中
65,D、
66,以上都是
67,我的答案：D
68,7
69,佛教八戒不包括（）。
70,A、
71,不杀生
72,B、
73,不饮酒
74,C、
75,不淫欲
76,D、
77,不结亲
78,我的答案：D
79,8
80,关于志怪小说，下列选项错误的是（）。
81,A、
82,志怪小说是中国古典小说形式之一，以记叙神异鬼怪故事传说为主题内容
83,B、
84,志怪小说产生和流行于魏晋南北朝时期
85,C、
86,志怪小说对后世文学有着深远影响
87,D、
88,志怪小说在清代的时候已经失传
89,我的答案：D
90,9
91,关于孙悟空的形象的叙述，错误的是（）。
92,A、
