,题目
0,1超现实主义画派分为哪两类？（）0.0 分
1,A、
2,偏执狂批判活动；心理自动化
3,B、
4,偏执狂独立活动；心理自动化
5,C、
6,偏执狂批判活动；心理主观化
7,D、
8,偏执狂独立活动；心理被动化
9,正确答案： A 我的答案：C
10,2下面哪一个是埃及最大的室外雕像？（）1.0 分
11,A、
12,兽首雕像
13,B、
14,狮身人面像
15,C、
16,公主雕像
17,D、
18,神灵雕像
19,正确答案： B 我的答案：B
20,3下面关于西方绘画描述不正确的一项是？（）1.0 分
21,A、
22,注重明暗关系
23,B、
24,走的是写实主义的道路
25,C、
26,注重描物
27,D、
28,重在抒情
29,正确答案： D 我的答案：D
30,4下面关于塞尚描述错误的一项是？（）0.0 分
31,A、
32,塞尚把绘画由对客体的模仿转向了对人的心灵的表达
33,B、
34,他最崇拜德国古典主义画家普桑
35,C、
36,《圣维克托尼尔山》
37,D、
38,重视色彩视觉的真实性
39,正确答案： B 我的答案：A
40,5下面哪一位不是荷兰画派的代表画家？（）1.0 分
41,A、
42,委拉斯开兹
43,B、
44,哈尔斯
45,C、
46,伦勃朗
47,D、
48,维米尔
49,正确答案： A 我的答案：A
50,6下面哪一位被看做是美术史上浪漫主义的先驱？（）1.0 分
51,A、
52,戈雅
53,B、
54,拉斐尔
55,C、
56,大卫
57,D、
58,路易勒南
59,正确答案： A 我的答案：A
60,7下面哪一项是法国浪漫主义出现的标志？（）1.0 分
61,A、
62,画作《圣母玛利亚》在卢浮宫的出现
63,B、
64,画作《梅杜萨之筏》在卢浮宫的出现
65,C、
66,画作《哀悼基督》在卢浮宫的出现
67,D、
68,画作《国王和王后》在卢浮宫的出现
69,正确答案： B 我的答案：B
70,8《阿卡迪亚的牧羊人》是谁的代表作1.0 分
71,A、
72,列尼
73,B、
74,布格罗
75,C、
76,卡拉奇
77,D、
78,普桑
79,正确答案： D 我的答案：D
80,9下面哪一部雕塑作品是罗丹的?（）1.0 分
81,A、
82,《掷铁饼者》
83,B、
84,《波塞冬》
85,C、
86,《思想者》
87,D、
88,《希腊人与巨人之战》
89,正确答案： C 我的答案：C
90,10“高贵的单纯和静穆的伟大”是对下面哪一项最好的概括？（）1.0 分
91,A、
92,古典主义
93,B、
94,现实主义
