,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,《拿破仑加冕典礼》是下面哪一位的作品？（）
3,1.0 分
4,窗体顶端
5,A、
6,大卫
7,B、
8,赫尔岑
9,C、
10,普桑
11,D、
12,布歇
13,窗体底端
14,我的答案：A
15,2
16,《自由引导人民前进》是下面哪一位的不朽之作？（）
17,1.0 分
18,窗体顶端
19,A、
20,德拉克洛瓦
21,B、
22,卡拉瓦乔
23,C、
24,普桑
25,D、
26,籍里柯
27,窗体底端
28,我的答案：A
29,3
30,世界上公认的第一张抽象艺术的作品是（）：（）
31,0.0 分
32,窗体顶端
33,A、
34,《是什么使今天的家庭变得如此不一样如此具有吸引力》
35,B、
36,《着落时的飞机轮胎》
37,C、
38,《绿色的可口可乐瓶》
39,D、
40,《舞蹈》
41,窗体底端
42,我的答案：B
43,4
44,阿尔忒弥斯是希腊神话中的哪一个神？（）
45,1.0 分
46,窗体顶端
47,A、
48,海神
49,B、
50,爱神
51,C、
52,太阳神
53,D、
54,月亮神
55,窗体底端
56,我的答案：D
57,5
58,下面哪一个不是高更的代表作？（）
59,1.0 分
60,窗体顶端
61,A、
62,《我们从哪里来？我们是什么？我们到哪里去？》
63,B、
64,《向日葵》
65,C、
66,《两个塔希提妇女》
67,D、
68,《雅各与天使搏斗》
69,窗体底端
70,我的答案：B
71,6
72,下面哪一个不是多立克式的别样称呼?
73,0.0 分
74,窗体顶端
75,A、
76,多立安
77,B、
78,陶多丽
79,C、
80,陶立安
81,D、
82,多立斯
83,窗体底端
84,我的答案：B
85,7
86,谁第一个打破了绘画的写实主义，成为印象派创始人
87,1.0 分
88,窗体顶端
89,A、
90,列宾
91,B、
92,毕沙罗
93,C、
94,塞尚
95,D、
96,莫奈
97,窗体底端
98,我的答案：D
99,8
100,下面哪一个不是古希腊雕塑古典盛期后期作品的风格?（）
101,1.0 分
102,窗体顶端
103,A、
104,优美的
105,B、
106,崇高的
107,C、
108,个性化的
109,D、
110,温柔的
111,窗体底端
112,我的答案：B
113,9
114,下面哪一个不是戈雅的作品？（）
115,1.0 分
116,窗体顶端
117,A、
118,《1808年5月3日夜枪杀起义者》
119,B、
