,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,在康德看来，真正能够实现人类自由的是？
3,1.0 分
4,窗体顶端
5,A、
6,自然科学
7,B、
8,文学
9,C、
10,伦理学
11,D、
12,政治学
13,窗体底端
14,我的答案：C
15,2
16,下列哪个问题是前期困扰奥古斯丁最大的问题？
17,1.0 分
18,窗体顶端
19,A、
20,上帝是否存在
21,B、
22,上帝如何造人
23,C、
24,上帝为何不允许亚当、夏娃吃智慧之果
25,D、
26,上帝为什么允许恶的存在
27,窗体底端
28,我的答案：D
29,3
30,根据笛卡尔的观点，以下哪一选项是不被怀疑的？
31,1.0 分
32,窗体顶端
33,A、
34,几何学
35,B、
36,上帝
37,C、
38,直观感受
39,D、
40,怀疑本身
41,窗体底端
42,我的答案：D
43,4
44,水是万物的本原是谁的观点
45,1.0 分
46,窗体顶端
47,A、
48,柏拉图
49,B、
50,苏格拉底
51,C、
52,泰勒斯
53,D、
54,康德
55,窗体底端
56,我的答案：C
57,5
58,贝克莱的哲学研究最终目的是（）
59,1.0 分
60,窗体顶端
61,A、
62,证明世界是观念的世界
63,B、
64,批判洛克
65,C、
66,证明世界是客观的
67,D、
68,证明上帝存在
69,窗体底端
70,我的答案：D
71,6
72,（）分为理论学和政治学。
73,0.0 分
74,窗体顶端
75,A、
76,社会哲学
77,B、
78,公民哲学
79,C、
80,自然哲学
81,D、
82,伦理学
83,窗体底端
84,我的答案：A
85,7
86,在康德看来，人要享受幸福的首要前提是？
87,1.0 分
88,窗体顶端
89,A、
90,拥有判断力
91,B、
92,拥有实践力
93,C、
94,拥有德行
95,D、
96,拥有自由
97,窗体底端
98,我的答案：C
99,8
100,（）是单纯经验的判断不带有任何普遍性和必然性。
101,0.0 分
102,窗体顶端
103,A、
104,分析判断
105,B、
106,先天综合判断
107,C、
108,直觉判断
109,D、
110,后天综合判断
111,窗体底端
112,我的答案：C
113,9
114,根据康德的观点，科学知识属于下列哪种判断？
115,1.0 分
116,窗体顶端
117,A、
118,后天分析理论判断
119,B、
120,先天分析实践判断
121,C、
122,先天综合理论判断
123,D、
124,先天综合实践判断
125,窗体底端
126,我的答案：D
127,10
