,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1现代宪政最早产生在（）。1.0 分
2,A、
3,英国
4,B、
5,美国
6,C、
7,西班牙
8,D、
9,德国
10,正确答案： B 我的答案：B
11,2西方人的“宪政”，其本质是一个（）。1.0 分
12,A、
13,政治制度
14,B、
15,管理方式
16,C、
17,防御制度
18,D、
19,国家形式
20,正确答案： C 我的答案：C
21,3中华人民共和国民法通则第二条提到民法是调整（）的财产和人身关系。1.0 分
22,A、
23,平等主体的公民之间
24,B、
25,法人之间
26,C、
27,公民和法人之间
28,D、
29,以上都有
30,正确答案： D 我的答案：D
31,4关于道家和酒神的关系，描述错误的是（）。1.0 分
32,A、
33,都是感性的东西
34,B、
35,都是自然的东西
36,C、
37,道家较之酒神对自然更加偏重极端
38,D、
39,都是反文明的
40,正确答案： C 我的答案：C
41,5关于民族心理结构，解释不当的一项是（）。1.0 分
42,A、
43,狄俄尼索斯崇拜偏重感性
44,B、
45,阿波罗崇拜偏重理性
46,C、
47,儒家与狄俄尼索斯一样
48,D、
49,道家偏重感性
50,正确答案： C 我的答案：C
51,6中国在民族文化结构上比较发达的是（）。1.0 分
52,A、
53,体育、科学
54,B、
55,科学、艺术
56,C、
57,体育、工艺
58,D、
59,艺术、工艺
60,正确答案： D 我的答案：D
61,7林樱设计的越战老兵纪念碑是呈V字，灵感的单词来源不包括（）。1.0 分
62,A、
63,Vietnam
64,B、
65,virgin
66,C、
67,versus
68,D、
69,victim
70,正确答案： C 我的答案：C
71,8下列音乐作品属于古希腊时期的是（）。1.0 分
72,A、
73,《唱经歌集》
74,B、
75,《慈悲经》
76,C、
77,《红色小提琴》
78,D、
79,《塞基洛斯的墓志铭》
80,正确答案： D 我的答案：D
81,9“缘起性空”是（）的观点。1.0 分
82,A、
83,基督教
84,B、
85,犹太教
86,C、
87,道教
88,D、
89,佛教
90,正确答案： D 我的答案：D
91,10古典主义音乐的分期起止时间大概是（）。1.0 分
92,A、
93,1600——1750
94,B、
95,1750——1810
96,C、
97,1810——1900
98,D、
99,1900——1930
100,正确答案： B 我的答案：B
101,11下列关于个人主义的表现，说法错误的是（）。1.0 分
102,A、
103,市场经济是对个人经济追求的承认与规范
104,B、
105,基督教是个人的灵魂拯救
106,C、
107,宪政是对个人的尊重
108,D、
109,文学艺术是个性的表现
110,正确答案： C 我的答案：C
111,12西方二元化的政治观念是将（）分开以相互制约和监督。1.0 分
112,A、
113,世俗权利和精神权利
114,B、
115,世俗权利和宗教权利
116,C、
117,精神权利和物质权利
118,D、
119,物质权利和世俗权利
120,正确答案： A 我的答案：A
121,1319世纪史学家划分人类社会的三个阶段不包括（）。1.0 分
122,A、
123,蒙昧时期
124,B、
125,混沌时期
126,C、
127,野蛮时期
128,D、
129,文明时期
130,正确答案： B 我的答案：B
131,14城邦民主的特征表现为（）。1.0 分
132,A、
133,间接性、广泛性
134,B、
135,直接性、广泛性
136,C、
137,直接性、狭隘性
138,D、
139,间接性、狭隘性
140,正确答案： C 我的答案：C
141,15个人主义的社会中公共道德是以（）为基点的。1.0 分
142,A、
143,责任
144,B、
145,个人
146,C、
147,自由
148,D、
149,平等
150,正确答案： B 我的答案：B
151,16下列不属于新石器时代的标志是（）。1.0 分
152,A、
153,磨光石器
154,B、
155,畜牧业的出现
156,C、
157,制陶
158,D、
159,冶炼
160,正确答案： B 我的答案：B
161,17据传亚伯拉罕是（）的祖先。1.0 分
162,A、
163,希伯来和希腊民族
164,B、
165,阿拉伯民族
166,C、
167,希伯来和阿拉伯民族
168,D、
169,阿拉伯和古罗马
170,正确答案： C 我的答案：C
171,18西方意识形态的主流不包括（）。1.0 分
172,A、
173,社会民主主义
174,B、
175,自由主义
176,C、
177,共和主义
178,D、
179,保守主义
180,正确答案： C 我的答案：C
181,19中国古代哲学中（）字被理解为西方的上帝。1.0 分
182,A、
183,成
184,B、
185,道
186,C、
187,生
188,D、
189,诚
190,正确答案： D 我的答案：D
191,20线型文字B是（）的文字。1.0 分
192,A、
193,古罗马文明
194,B、
195,东正教文明
196,C、
197,迈锡尼文明
198,D、
199,拜占庭文明
200,正确答案： C 我的答案：C
201,21尤斯塔斯教堂前面有一个没有基座的雕塑，名字是（）。1.0 分
202,A、
203,布道
204,B、
205,祈祷
206,C、
